GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29001000002,29,001,000002,577,194,8,3,19,528,203,9,4,30
29001000003,29,001,000003,351,443,13,9,14,322,434,22,15,29
29001000004,29,001,000004,427,316,4,5,8,396,309,12,8,24
29001000005,29,001,000005,588,416,6,3,11,528,423,14,14,23
29001000006,29,001,000006,705.8459056588151,228.90662033562407,8.377506296623727,4.2333076037574084,17.45690385062245,663.512829621241,226.93848138523052,16.755012593247454,8.19928847484155,29.5737472857078
29001000007,29,001,000007,1031.4023263072386,461.7567460010096,12.613299926855763,7.761034687614586,15.531780732121538,953.7919794310927,462.7241777378246,25.226599853711527,6.795761030108945,52.38806318105316
29001000008,29,001,000008,699.7315209918621,533.3211949317057,15.008759290638878,6.005483914275352,11.010996794276148,664.6759577059726,507.3226552541457,23.01772134135585,6.004776700696852,38.037088835672236
29001000009,29,001,000009,198,393,7,2,9,180,381,20,9,8
29001000010,29,001,000010,297,265,4,3,14,277,257,21,3,14
29001000011,29,001,000011,64.02024704208405,243.01543873166068,10.000434485881632,9.000173794352653,3.0003186229798637,60.019233241693584,244.0146856227992,11.00066621168517,6.000173794352653,1.0011006975668013
29003000002,29,003,000002,3.231046931407942,1.7644404332129966,0.058664259927797835,0.027075812274368234,0.0970216606498195,2.7143501805054155,1.9607400722021662,0.07671480144404333,0.036101083032490974,0.3023465703971119
29003000003,29,003,000003,295.9638989169675,161.62274368231047,5.373646209386282,2.4801444043321297,8.887184115523466,248.63447653429603,179.60379061371842,7.027075812274368,3.306859205776173,27.69494584837545
29003000004,29,003,000004,125.934413089247,54.53852535361091,0.9916095518838347,1.9832191037676694,6.941266863186843,109.07705070722182,66.43783997621692,0.9916095518838347,0.9916095518838347,13.882533726373685
29003000005,29,003,000005,176.2239182910324,54.95402475268247,1.9546247331482232,0.989786379048124,6.87029259512481,147.86106963959313,69.65113228871618,0.9814703707321157,0.9814703707321157,13.74058519024962
29003000006,29,003,000006,752.0519802145576,412.5357904043722,13.71123365039631,6.333956175378661,22.690507263644808,631.7477679018834,458.06092085600324,18.025172766287245,8.450210125674529,70.50215693392455
29003000007,29,003,000007,393.12198764607626,213.06972105462114,7.087900268141165,3.256341918445473,11.882310957420858,330.31029433073974,237.13937315680883,9.207509069964873,4.333959246965328,36.67175801241979
29003000008,29,003,000008,460.29429429429433,257.0198198198198,11.706906906906907,4.257057057057057,14.367567567567567,388.45645645645646,281.49789789789793,10.11051051051051,6.385585585585585,52.68108108108108
29003000009,29,003,000009,262.1269841269841,150.77777777777777,8.396825396825397,2.1904761904761902,7.301587301587301,231.8253968253968,153.33333333333331,9.492063492063492,2.1904761904761902,25.19047619047619
29003000010,29,003,000010,184.36249560537632,73.6799496984612,3.869716310138735,1.9275766016713092,3.9085512615950457,151.41893609541066,89.21221299726858,3.864861941206696,4.818941504178273,15.517700192011251
29003000011,29,003,000011,328.3240740740741,140.91203703703704,13.106481481481481,2.0277777777777777,11.092592592592592,291.93981481481484,145.94444444444446,14.12037037037037,3.0277777777777777,33.31944444444444
29003000012,29,003,000012,247.13555147408732,87.1320885435992,3.016972649623138,0.11421754146511583,10.416998498107969,212.0418847632404,109.1405993120108,2.079299617889378,0.24207185817737126,19.500100980504197
29003000013,29,003,000013,452.5489417989418,260.31018518518516,14.496693121693122,3.7817460317460316,12.605820105820106,400.23478835978835,264.72222222222223,16.387566137566136,3.7817460317460316,43.49007936507937
29003000014,29,003,000014,398.6648298784221,221.69051430070846,10.079799702615237,3.646846846846847,12.495001311991603,336.5126388524447,243.05066036910696,8.695241843785533,5.47027027027027,45.469535554972445
29003000015,29,003,000015,84.95906378932192,25.747338916241045,1.4369277136152394,0.4328593996840442,0.9401409530821024,69.44736882467522,30.70375312504793,0.5250924093927821,0.8657187993680884,6.982361692663998
29003000016,29,003,000016,128.20783645655877,37.68270868824531,3.0319420783645654,0,2.598807495741056,109.58304940374786,43.746592844974444,3.0319420783645654,1.299403747870528,10.828364565587734
29003000017,29,003,000017,81.44256756756756,33.064414414414415,3.4918918918918918,0.4743243243243243,1.4445945945945946,71.51126126126127,37.35427927927928,2.428603603603604,0.9198198198198199,7.796846846846846
29003000018,29,003,000018,89.4391785150079,26.46129541864139,1.5876777251184835,0.5292259083728278,0.5292259083728278,72.5039494470774,31.22432859399684,0.5292259083728278,1.0584518167456556,7.40916271721959
29003000019,29,003,000019,216.99091627172197,84.72906793048973,9.447077409162716,1.2045813586097947,3.537914691943128,190.69431279620852,96.15363349131123,6.454581358609794,2.4091627172195893,20.364139020537124
29003000020,29,003,000020,75.20833333333333,29.583333333333336,3.3333333333333335,0.4166666666666667,1.25,66.25,33.541666666666664,2.2916666666666665,0.8333333333333334,7.083333333333333
29003000021,29,003,000021,145.3526405451448,42.72189097103918,3.4373935264054514,0,2.94633730834753,124.23722316865417,49.59667802385008,3.4373935264054514,1.473168654173765,12.27640545144804
29005000002,29,005,000002,352,126,2,3,2,305,150,7,4,8
29005000004,29,005,000004,603.0004883054589,214.0001498661063,11.000015879852324,9.00000099249077,3.000008932416932,559.0004565457543,220.00016177599554,17.000018857324633,6.0000009924907705,20.000012902380014
29005000005,29,005,000005,491.99951169454107,150.99985013389372,15.999984120147676,0.9999990075092298,8.999991067583068,459.9995434542457,162.99983822400446,18.999981142675367,0.9999990075092298,12.999987097619988
