GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PRELJoh,G16PREGSte,G16PREOth,G16RRCDYar,G16RRCRChr,G16RRCLMil,G16RRCGSal
48001000001,48,001,000001,267.8263109031288,807.549442890824,19.57981914333725,5.136667165391151,3.0572771776908474,242.7720907865323,771.1888128946387,49.2983193379744,22.378827433826473
48001000002,48,001,000002,178.2153846153846,1297.7230769230769,21.661538461538463,4.923076923076923,5.907692307692308,198.8923076923077,1181.5384615384614,63.01538461538461,15.753846153846153
48001000003,48,001,000003,88.17368909687123,597.450557109176,14.420180856662748,1.863332834608849,0.9427228223091527,90.2279092134677,560.8111871053612,24.701680662025602,6.6211725661735255
48001000004,48,001,000004,96,869,17,2,1,112,804,31,9
48001000005,48,001,000005,9.17809187279152,182.34063604240282,2.069964664310954,0,0,11.241696113074205,162.20070671378093,8.069964664310953,1.0063604240282686
48001000006,48,001,000006,333.57874859009974,348.18439031001884,12.005171821242632,2.997164056032751,0.9995134519306844,304.6258896783331,343.1372762590306,30.99179850864773,12.997803774376804
48001000007,48,001,000007,452.24097788125727,129.64144353899883,3.0541327124563447,3.010477299185099,2.0104772991850988,420.24097788125727,124.52968568102445,11.11175785797439,20.029685681024446
48001000008,48,001,000008,98,49,2,1,0,94,42,7,2
48001000009,48,001,000009,166.3124689071058,675.6760357675149,21.75433980727567,2.134958252071966,1.1192769351683043,160.74079098165393,630.2234582726616,38.95750200801909,17.082306052517012
48001000010,48,001,000010,37.83377872795297,299.79690005344736,3.096205237840727,0.012827365045430254,0,35.865847140566544,280.5595938001069,8.141101015499734,3.0641368252271515
48001000011,48,001,000011,129.16622127204704,588.2030999465526,14.903794762159274,1.9871726349545697,0,134.13415285943344,551.4404061998931,21.858898984500268,9.935863174772848
48001000013,48,001,000013,268.16907581534076,750.359701286475,30.01129185077012,7.000622595892803,0.9996350694989208,244.18418836616735,705.2172676890058,54.062898597350994,24.016658543176952
48001000015,48,001,000015,85.38416319056518,525.557452471063,7.269976352866402,1.0016970678091697,0.09007998683548107,87.29051825364344,474.85817787056004,26.632148225955252,8.179696344282938
48001000016,48,001,000016,78,413,13,5,2,82,380,24,7
48001000017,48,001,000017,118.54978276880041,372.5562735958293,9.964472230189843,0.9976803362980282,0.9958306663794625,117.54686170106645,348.6498637580072,19.927094790461123,2.9939658438533674
48001000018,48,001,000018,188.4917193376687,1095.2533167337049,17.048199700781915,1.9977638645148832,3.0056710675304474,201.43205810322482,1031.9571604778519,39.20897728029723,9.093665174550173
48001000019,48,001,000019,252.2172376797453,950.6108809805138,25.796740928971314,0.9558811313570269,1.9106990611550763,255.08098266810012,877.0480811247442,39.17482396173378,19.10911701466872
48001000020,48,001,000020,153.68874536442766,487.2473094806477,15.975405426982437,4.990600485742449,1.0003508249884636,137.72774672141173,473.25169263014243,20.978553756824738,14.971336722260682
48001000021,48,001,000021,139.3326991705773,943.8692405567964,31.099573244042585,6.003704118164356,5.998735682010243,139.30804352286896,879.6084087271996,64.10574641196888,17.094615658552918
48001000022,48,001,000022,107,584,7,0,5,104,562,23,7
48001000023,48,001,000023,91,768,16,4,5,106,719,34,6
48001000024,48,001,000024,44.963414634146346,517.9573170731708,4.439024390243902,0.10975609756097561,0.054878048780487805,62.46951219512196,486.95731707317077,12.713414634146343,2.219512195121951
48003000001,48,003,000001,215,872,37,6,3,208,802,49,44
48003000002,48,003,000002,222,1392,51,6,10,184,1348,73,45
48003000003,48,003,000003,211,944,29,5,2,202,877,47,39
48003000004,48,003,000004,190,716,30,3,0,164,674,29,40
48005000001,48,005,000001,119.90198959730962,151.68676312165803,2.048277276418304,1.9986954005991446,0.024790937909579695,103.97876479890512,159.5914756126546,8.02890744058803,1.0162739572528514
48005000002,48,005,000002,844.4732331649728,286.73471046741656,21.570157691953078,3.9322722602909628,5.89383645565486,803.2676091444113,302.4201755732779,12.8083451745179,10.828702781279002
48005000003,48,005,000003,197.61939809283314,907.087213677115,24.40636649760356,2.122226993377159,11.121266995046764,188.64180005954466,893.4167986887958,26.340663003506172,8.363973443866637
48005000004,48,005,000004,316.4181297527549,404.52642154599204,10.069686860554192,3.0023592263019983,4.007901232983244,294.31047239950925,411.5794823865025,12.979311927534894,9.991219494974633
48005000005,48,005,000005,406.79925016707364,604.1835163948433,21.365124655054704,3.0050116415675157,7.100628039416256,370.7026992893905,593.5759981779817,34.39464920217803,17.224366859565002
48005000006,48,005,000006,38,238,5,1,1,41,232,7,0
48005000007,48,005,000007,60.84095213836149,659.4405966803149,13.248165400430986,0.07039003391415606,11.17549434787372,55.52372511400001,658.1523279910582,14.57115357988561,5.7810342514916755
48005000008,48,005,000008,64.2457693871771,742.9376195832632,14.730704193805996,4.140371652175775,4.18945570668518,53.87957667068415,727.537210290324,27.649936597281684,7.25473902671816
48005000009,48,005,000009,44.11520249930846,133.25969376962755,6.008786631303187,1.0048814618351043,6.002928877101063,31.111297329840376,147.26164635436157,4.007810338936166,2.0029288771010627
48005000010,48,005,000010,311,379,12,5,4,294,378,15,9
48005000011,48,005,000011,123.24701828467349,1194.2900526097155,11.025087890716312,3.0041382261987017,6.010474832258806,126.25328114471336,1140.234759143823,23.041511528749066,5.009532669461062
48005000012,48,005,000012,79.12833377992806,458.3073343043661,9.957596511021713,1.9986336414420627,3.979481434789825,85.0264125397356,442.42498026139543,11.974016000558077,3.9839278968134
48005000013,48,005,000013,139,243,11,2,4,126,236,16,8
