GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOVAC,G16PREOKAH,G16PREIMCM,G16PREIFUE,G16PREORIV,G16PREOWRI,G16USSRGRA,G16USSDJUD,G16USSLALD,G16USSOHEN,G16USSILUI,G16USSOWRI
19107107020,19,107,107020,154.50381679389312,40.6412213740458,5.374045801526718,1.3435114503816794,0.6717557251908397,0,0,0.33587786259541985,0,0,1.6793893129770991,153.16030534351145,40.6412213740458,5.374045801526718,2.351145038167939,1.3435114503816794,0
19107107021,19,107,107021,115.44263432063711,30.366432071298025,4.0153959763699865,1.0038489940924966,0.5019244970462483,0,0,0.25096224852312415,0,0,1.2548112426156208,114.43878532654462,30.366432071298025,4.0153959763699865,1.7567357396618692,1.0038489940924966,0
19107107022,19,107,107022,190.05354888546975,49.99234655465617,6.610558222103296,1.652639555525824,0.826319777762912,0,0,0.413159888881456,0,0,2.06579944440728,188.40090932994391,49.99234655465617,6.610558222103296,2.8921192221701917,1.652639555525824,0
19109109001,19,109,109001,81.64785858393165,25.434321635626564,0.9215333925951653,0.36861335703806614,0.18430667851903307,0.36861335703806614,0.36861335703806614,0.9215333925951653,0,0,0.18430667851903307,88.83581904617394,18.61497453042234,0.18430667851903307,1.8430667851903306,0.18430667851903307,0
19109109002,19,109,109002,57.08418928840877,17.782433683522374,0.644291075489941,0.2577164301959764,0.1288582150979882,0.2577164301959764,0.2577164301959764,0.644291075489941,0,0,0.1288582150979882,62.10965967723032,13.014679724896808,0.1288582150979882,1.288582150979882,0.1288582150979882,0
19109109003,19,109,109003,44.24,16.94,1.54,0.27999999999999997,0.42,0,0.27999999999999997,0.27999999999999997,0,0,0.98,48.160000000000004,14.14,0.98,1.4,0.5599999999999999,0
19109109004,19,109,109004,48.754285714285714,18.66857142857143,1.6971428571428573,0.30857142857142855,0.46285714285714286,0,0.30857142857142855,0.30857142857142855,0,0,1.08,53.074285714285715,15.582857142857142,1.08,1.542857142857143,0.6171428571428571,0
19109109005,19,109,109005,59.362857142857145,22.730714285714285,2.0664285714285713,0.3757142857142857,0.5635714285714286,0,0.3757142857142857,0.3757142857142857,0,0,1.315,64.62285714285714,18.97357142857143,1.315,1.8785714285714286,0.7514285714285714,0
19109109006,19,109,109006,121.42465170711705,46.49488245747204,4.226807496133822,0.768510453842513,1.1527656807637696,0,0.768510453842513,0.768510453842513,0,0,2.6897865884487957,132.18379806091224,38.80977791904691,2.6897865884487957,3.842552269212565,1.537020907685026,0
19109109007,19,109,109007,42.21820543574009,16.16583182824225,1.46962107529475,0.2672038318717727,0.4008057478076591,0,0.2672038318717727,0.2672038318717727,0,0,0.9352134115512045,45.95905908194491,13.493793509524522,0.9352134115512045,1.3360191593588635,0.5344076637435454,0
19109109008,19,109,109008,237.11103723404256,73.86303191489361,2.6761968085106385,1.0704787234042552,0.5352393617021276,1.0704787234042552,1.0704787234042552,2.6761968085106385,0,0,0.5352393617021276,257.98537234042556,54.059175531914896,0.5352393617021276,5.352393617021277,0.5352393617021276,0
19109109009,19,109,109009,67.15691489361701,20.920212765957448,0.7579787234042553,0.3031914893617021,0.15159574468085105,0.3031914893617021,0.3031914893617021,0.7579787234042553,0,0,0.15159574468085105,73.06914893617021,15.311170212765957,0.15159574468085105,1.5159574468085106,0.15159574468085105,0
19109109010,19,109,109010,40.78301886792453,13.075471698113207,0.9339622641509434,0.3113207547169811,0,0,0,0.3113207547169811,0,0,0,42.028301886792455,12.141509433962264,0.6226415094339622,0.9339622641509434,0,0
19109109011,19,109,109011,90.77966489039035,29.13408220355035,2.081927407219982,0.6912879904213699,0.0016126871911744385,0,0.003225374382348877,0.688062616039021,0,0,0.006450748764697754,93.5786832830905,27.011837616551006,1.3809632936515652,2.08837815598468,0.00967612314704663,0
19109109012,19,109,109012,116.4850041029568,42.61992586712257,3.2109889413458377,0.5840964571737877,0.2917399139648949,0,0.5834798279297898,6.16629243997861e-4,0,0,1.1669596558595796,124.94792812491474,32.11543907665436,0.8764530003826805,4.3779485972054175,1.7504394837893695,0
19109109013,19,109,109013,88.21820809248555,32.28034682080925,2.4320809248554913,0.4421965317919075,0.22109826589595374,0,0.4421965317919075,0,0,0,0.884393063583815,94.6300578034682,24.320809248554912,0.6632947976878613,3.316473988439306,1.3265895953757225,0
19109109014,19,109,109014,193.73410404624278,70.89017341040463,5.341040462427745,0.9710982658959537,0.48554913294797686,0,0.9710982658959537,0,0,0,1.9421965317919074,207.8150289017341,53.410404624277454,1.4566473988439306,7.283236994219653,2.913294797687861,0
19109109015,19,109,109015,276.04137115839245,112.96217494089834,7.955082742316785,1.591016548463357,0,1.591016548463357,1.591016548463357,1.591016548463357,0,0,1.591016548463357,287.17848699763596,97.84751773049645,6.364066193853428,7.955082742316785,3.182033096926714,0
19109109016,19,109,109016,70.95862884160756,29.037825059101653,2.044917257683215,0.408983451536643,0,0.408983451536643,0.408983451536643,0.408983451536643,0,0,0.408983451536643,73.82151300236407,25.152482269503544,1.635933806146572,2.044917257683215,0.817966903073286,0
19109109017,19,109,109017,237.22068463219227,103.18135469774217,12.053896576839039,0.48215586307356156,0.48215586307356156,1.4464675892206846,0.48215586307356156,0.48215586307356156,0,0,3.375091041514931,251.20320466132557,91.60961398397669,5.7858703568827385,9.64311726147123,0.48215586307356156,0.48215586307356156
19109109018,19,109,109018,212.85360524399127,92.58266569555717,10.815731973780045,0.43262927895120173,0.43262927895120173,1.297887836853605,0.43262927895120173,0.43262927895120173,0,0,3.0284049526584123,225.39985433357612,82.19956300072833,5.19155134741442,8.652585579024036,0.43262927895120173,0.43262927895120173
19109109019,19,109,109019,7.525127458120903,3.2731245447924255,0.3823743627093955,0.01529497450837582,0.01529497450837582,0.04588492352512746,0.01529497450837582,0.01529497450837582,0,0,0.10706482155863074,7.968681718863802,2.906045156591406,0.18353969410050985,0.3058994901675164,0.01529497450837582,0.01529497450837582
19109109020,19,109,109020,74,26,2,1,1,0,0,0,0,0,0,81,22,1,1,0,0
19109109021,19,109,109021,83.3997135317137,35.96277242670979,3.7480271593341308,0.06993220505930928,0.06992399066434368,0.20975965040058267,1.0698856334283717,0.06994041945427487,0,0,3.489328219757593,87.42751058325989,38.28436929226696,2.838990637512766,1.398455170101977,1.0698733118359232,0.06992399066434368
