GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOFUE,G20PREOKIN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSRERN,G20USSDGRE,G20USSLSTE,G20USSOHER,G20USSOWRI
19001001001,19,001,001001,155.6651406147809,53.29300196206671,1.7351209941138,0,0,0.49574885546108566,0,0,0,0.24787442773054283,151.94702419882276,52.54937867887508,3.718116415958143,1.487246566383257,0
19001001002,19,001,001002,99.39568345323741,34.02877697841727,1.1079136690647482,0,0,0.3165467625899281,0,0,0,0.15827338129496404,97.02158273381295,33.55395683453237,2.3741007194244603,0.9496402877697842,0
19001001003,19,001,001003,85.3924807954797,29.234686896541614,0.9518270152362386,0,0,0.27195057578178244,0,0,0,0.13597528789089122,83.35285147711632,28.82676103286894,2.0396293183633682,0.8158517273453474,0
19001001004,19,001,001004,11.949572834343726,4.0910161773629,0.13319587554204793,0,0,0.038055964440585115,0,0,0,0.019027982220292557,11.664153101039338,4.033932230702022,0.28541973330438836,0.11416789332175534,0
19001001005,19,001,001005,114.26428480768593,46.642978234560346,1.806072301390262,0,0.46353522867737945,0.07455853499018966,0,0.30902348578491967,0,0.19179101038755467,108.45169653691588,47.76723437521474,3.803935613168079,1.7687930338951672,0.30902348578491967
19001001006,19,001,001006,138.45982694684795,58.86897404202719,2.3547589616810876,0,0.7064276885043262,0,0,0.47095179233621753,0,0.23547589616810877,130.45364647713225,60.75278121137206,4.944993819530284,2.3547589616810876,0.47095179233621753
19001001007,19,001,001007,149.36217552533992,63.504326328800985,2.5401730531520395,0,0.7620519159456118,0,0,0.5080346106304079,0,0.25401730531520395,140.72558714462298,65.53646477132261,5.334363411619283,2.5401730531520395,0.5080346106304079
19001001008,19,001,001008,56.692212608158215,24.10383189122373,0.9641532756489493,0,0.28924598269468477,0,0,0.19283065512978986,0,0.09641532756489493,53.41409147095179,24.875154511742892,2.0247218788627936,0.9641532756489493,0.19283065512978986
19001001009,19,001,001009,123.92336217552534,52.6885043263288,2.107540173053152,0,0.6322620519159455,0,0,0.4215080346106304,0,0.2107540173053152,116.75772558714462,54.374536464771325,4.425834363411619,2.107540173053152,0.4215080346106304
19001001010,19,001,001010,85.43100065402224,29.247874427730544,0.9522563767168084,0,0,0.27207325049051667,0,0,0,0.13603662524525834,83.39045127534337,28.83976455199477,2.0405493786788753,0.81621975147155,0
