GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRREY,G18GOVDHUB,G18GOVLPOR,G18GOVOSIE,G18GOVOWRI,G18ATGDMIL,G18ATGLBAT,G18ATGOWRI,G18SOSRPAT,G18SOSDDEJ,G18SOSLOFE,G18SOSOWRI,G18TRERDAV,G18TREDFIT,G18TRELHIR,G18TREOWRI,G18AUDRMOS,G18AUDDSAN,G18AUDLPER,G18AUDOWRI,G18AGRRNAI,G18AGRDGAN,G18AGRLSTE,G18AGROWRI
19103103053,19,103,103053,377.91206112443336,1504.1564762397745,14.007466806662155,11.01347638088597,2.001320340140117,1584.4365633581683,192.41262011875628,2.0084226374147764,421.9943758370759,1424.0503954046098,32.02822773951653,0,325.7978314364504,1505.225496021113,43.03637739744651,0.9997723829107261,363.8406736422993,1450.1811965828258,55.035421566693884,0,376.91583989016,1443.086908889243,46.049899140728,0.9997723829107261
19103103054,19,103,103054,617.0907130885857,1608.6355647911842,19.27926154168549,5.512092594556346,0,1751.5961052458283,265.0957757886837,8.340572079651183,689.2157615147497,1484.4674365942788,31.217774650136995,3.0849666663299997,522.6869321814846,1622.8302123737053,48.30027236630785,2.085143019912796,572.61874385379,1579.2393254882168,36.47338006345818,2.085143019912796,620.9190162200978,1504.4306639525912,51.64172621387302,1.9996472928344082
19103103055,19,103,103055,449.62275860939627,1009.6172237051109,15.73170452126353,2.9775083105441564,0,1093.7695236379714,236.30226636317488,3.95621202941032,481.375947729543,942.7238443021599,29.464604450849066,0.9683544303797468,410.0399397383202,1005.2722174005601,34.306376602747804,0.9683544303797468,420.20990060097927,992.0833510734111,35.264381744641135,0.9787037188661634,449.73660078274685,948.0209851474609,39.19989519707862,1.9367088607594936
19103103056,19,103,103056,219.83479491979938,531.8884233017179,13.041047156259285,4.657516841521173,0,579.395095085234,125.75295472107167,2.7945101049127037,234.73884881266713,500.217308779374,25.150590944214333,0,197.47871408049772,535.6144367749349,25.150590944214333,0,203.99923765862738,525.3678997235883,24.2190875759101,0.9315033683042346,219.83479491979938,504.87482562089514,31.671114522343977,0
19103103057,19,103,103057,221.97158082695125,812.307697751068,24.84454813370858,5.333392592485944,0.006501173203294802,857.2205572389262,133.16101215270928,5.161237641839287,239.9921886762496,788.1970757563877,18.709770884464472,0,200.67853419788673,828.3096009043252,18.7149968739278,0.993792781923505,211.02917957444046,807.7188802688453,24.67344834156976,0.058303067877751996,227.09201912423262,779.4165433830285,40.99955156301314,0.006898864873760294
19103103058,19,103,103058,197,877,15,2,0,895,129,3,212,831,30.999999999999996,0,172,859,38,0,192,848,28,0,192,834,37,0
19103103059,19,103,103059,533.8480892698764,1232.1208873404946,13.020949994680482,3.0096779246814234,0,1365.1712097950624,260.90898171990375,3.0125398809003805,579.9010855743596,1141.1459547508687,26.024728252047222,0.9965480770495743,476.8101684680961,1239.2340977783517,23.0350840208985,0,496.8756419513786,1209.1716620061648,30.00805860402656,0.002861956218957209,551.8174361751772,1151.2373615949984,34.0114226495386,0.9965480770495743
19103103060,19,103,103060,338.59985074949196,1106.2903168557623,28.1542284342919,0.055081583675677434,1,1176.8521490092544,190.48720275924327,7.033048950205407,390.77611181725416,1020.9157620867678,38.29744055184866,1,296.3354591478487,1107.334382122703,36.29744055184866,2,308.41257336499467,1080.2132026386164,47.28642423511352,1.0110163167351356,341.59985074949196,1034.9708436704434,45.37455476899461,2
19105105001,19,105,105001,126.90004199916002,78.84670306593868,1.76522469550609,0.7845443091138178,0,140.62956740865184,39.42335153296934,1.1768164636707266,137.687526249475,66.09785804283915,3.138177236455271,0,106.10961780764386,95.32213355732885,3.3343133137337255,0,108.46325073498531,91.00713985720286,4.903401931961361,0,126.90004199916002,72.17807643847124,4.903401931961361,0
19105105002,19,105,105002,355.73493444473365,225.88374087935807,5.6318415742979795,2.142941243224325,0,398.9745515982066,110.62863281880962,3.170186066170131,386.3874231753503,189.45321181100527,9.058610186457189,0,296.3029639589969,273.4739812078556,9.547287818387147,0,305.62417873970156,259.3264843313164,13.573117845027223,0,355.4529497997069,208.2104159885567,13.429474356419057,0.10508145036134267
19105105003,19,105,105003,236.97756097560975,121.7619512195122,9.164878048780489,4.582439024390244,0,240.25073170731707,68.73658536585366,0.6546341463414634,240.25073170731707,115.21560975609756,9.81951219512195,0,197.69951219512194,153.8390243902439,9.164878048780489,0,197.69951219512194,155.14829268292684,7.855609756097561,0,224.53951219512194,129.61756097560976,9.164878048780489,0
19105105004,19,105,105004,126.17113712251853,64.79949110934827,4.864162071677812,2.430467695813445,0,127.89473971076029,36.60544271954409,0.3518192137603809,127.95281995167689,61.274845611642604,5.225661325590959,0,105.26526514010378,81.8740719010099,4.870615431779656,0,105.297531940613,82.52285676766498,4.186337084564427,0,119.61886594315911,68.90838787269055,4.883522151983344,0
19105105006,19,105,105006,58.96232734520248,28.818665612542784,1.4906206351315232,0.6624980600584548,0,58.79670283018786,17.55619859154905,0.3312490300292274,61.77794410045091,25.174926282221282,2.318743210204592,0,49.5217299893695,36.60301781822963,1.8218696651607507,0,51.17797513951563,34.44989912303965,2.153118695189978,0,59.45920089024632,26.996795947382033,2.4843677252192053,0
19105105007,19,105,105007,127.35851966075559,62.24826522744796,3.2197378565921357,1.4309946029298382,0,127.00077101002313,37.92135697764071,0.7154973014649191,133.4402467232074,54.377794911333844,5.008481110254433,0,106.9668465690054,79.06245181187356,3.935235158057055,0,110.54433307632999,74.41171935235158,4.650732459521974,0,128.43176561295297,58.313030069390905,5.366229760986893,0
19105105008,19,105,105008,182.05375657852196,113.1153170704263,2.5324324717259623,1.1255255429893165,0,201.750453580835,56.55765853521315,1.6882883144839749,197.52973279462503,94.82552699684992,4.502102171957266,0,152.22732968930507,136.75135347320196,4.783483557704595,0,155.603906318273,130.56096298676073,7.034534643683228,0,182.05375657852196,103.54834995501712,7.034534643683228,0
19105105009,19,105,105009,807.6749554477642,721.137550831282,26.04773958340292,5.9368726046427405,0,1110.832080631965,274.88201303651044,6.949534705630468,912.6199071253197,597.771104871795,31.260645205011073,0,685.9918589650238,822.2234013079928,29.29192103504788,0,713.9100857279203,797.9319220212632,28.42571870414194,0,808.956940092791,686.1324580152134,36.569362192750106,0.8949185496386574
