GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
220010002-3,22,001,0002-3,813.4149184149184,91.08391608391608,5.3165501165501166,1,4.022843822843823,784.0032634032634,17.314063714063714,26.954312354312354,28.863714063714063,9.264646464646464,3.3485625485625485,3.264646464646465,0.16783216783216784,1.6742812742812743,3,4.022843822843823,1.6742812742812743,3.758197358197358,1,1
220010002-5,22,001,0002-5,446,43,5,1,2,453,5,13,10,0,5,0,1,0,1,0,3,1,0,1
220010003-1,22,001,0003-1,428.76508576767867,123.0322376480196,5.477717509260996,0.03783783783783784,1.9029940516261463,396.51459301277595,9.790850098771699,44.67112298088207,38.79351564712937,6.777935469156375,6.3879524277237625,0.8818565400843882,2.9814068253635426,0.45038772950165357,2.3533817811278,0.5612903225806452,7.885245126711031,9.043500012875269,0.6280250442357425,0.2060156931124673
220010003-2,22,001,0003-2,761,43,4,1,0,744,20,16,13,0,0,0,3,0,0,1,9,0,0,0
220010003-3,22,001,0003-3,961.106368788143,281.23548387096776,10.062088055797734,1.4012162162162163,4.616817785527463,909.25943766347,20.02410200523104,106.63773321708805,91.17129904097646,14.663356582388841,11.359250217959895,3.94,8.48877506538797,1.089054054054054,3.735871839581517,3.423709677419355,13.538291194420227,2.214119442022668,1.7979032258064516,1.0210113339145597
220010003-4,22,001,0003-4,421.5597038204535,562.6036792592228,9.12644272603392,0,1.6772151898734178,410.22197048055295,21.969905925232723,285.8346878129669,102.25918993908947,14.087532220197344,27.112290466105172,7.071450852911721,2.7953586497890295,0.559071729957806,3.2285048186639087,0,16.756965308903446,16.142524093319544,1.5512896287904907,3.9688715953307394
220010003-5,22,001,0003-5,572.5039379935531,97.19977884645476,7.460343622536798,0.8873994638069705,0,542.6786075672067,22.079980388270517,50.30123825121791,25.62059648866588,1.8370557369524625,5.155642023346303,2.046692607003891,3.6621983914209113,0,0.007782101167315175,0,3.9574383743128068,3.588508361064458,0.8951815649742857,1.8059273322832017
220010003-7,22,001,0003-7,816.8742301392302,132.10454545454544,7.358890253890254,3.5609459459459463,2.8514578214578217,789.8221334971336,21.014686049686052,53.59570843570844,38.43843297843298,6.107908817908818,9.683854763854765,0.758989898989899,2.7344594594594596,1.250981435981436,2.6744594594594595,1.0634848484848485,3.098954408954409,3.9104408954408956,0.015,1.772972972972973
220010004-1,22,001,0004-1,601.3617245005257,45.451104100946374,3.0410094637223977,0,0.04100946372239748,560.8286014721346,9.396424815983176,25.17770767613039,15.13669821240799,6.027339642481598,3.0410094637223977,0,1.0683491062039958,1,1,3,4.068349106203995,5.0820189274447944,0,1
220010004-2,22,001,0004-2,596,81,3,0,4,586,8,36,32,6,2,2,1,1,0,1,3,4,0,0
220010004-4,22,001,0004-4,1025.1727690321263,66.92521917963202,9.792205650978048,0.9678546470999301,1.0562142265460523,974.7141066982955,29.83074961306763,20.79217110180714,21.646366568928325,3.9218917745195943,7.818546955979252,1.9357092941998602,4.965456200799335,1.0058040478988648,0.012649800266311585,0,4.965456200799335,4.022838146759342,0.9678546470999301,0.9678546470999301
220010004-5,22,001,0004-5,646.4121976866456,28.141955835962147,2.558359621451104,0,2.558359621451104,613.1535226077813,24.73080967402734,11.086225026288117,8.527865404837014,1.7055730809674028,2.558359621451104,0,4.263932702418507,0,0,0,4.263932702418507,5.116719242902208,0,0
220010004-6,22,001,0004-6,596.2586750788644,44.66561514195583,4.151419558359621,1,0.15141955835962145,581.2902208201892,18.46372239747634,20.65615141955836,7.504731861198738,4.100946372239748,0.15141955835962145,2,1.252365930599369,1,0,0,4.252365930599369,6.302839116719243,0,1
220010005-1,22,001,0005-1,273.7012987012987,38.96103896103896,2.922077922077922,0,0.974025974025974,253.24675324675323,8.766233766233766,14.61038961038961,17.532467532467532,1.948051948051948,2.922077922077922,0,2.922077922077922,0,0,0.974025974025974,0.974025974025974,2.922077922077922,0,0
220010005-2,22,001,0005-2,345,53,4,0,1,333,1,25,20,0,2,2,0,1,3,3,1,3,0,0
220010005-3,22,001,0005-3,574.5632891252526,26.24051728409335,3.8775529753745026,0,0.981217896840471,555.0493412830804,10.772366371028568,6.826464289450069,14.534251628211692,0.010515247108307046,1.9466629230184815,1.9308900523560208,0.9917331439487781,0,0,0.9654450261780104,2.922623196304799,3.893325846036963,0,0
220010005-4,22,001,0005-4,396,33,7,0,3,379,6,18,7,0,2,2,4,0,1,1,4,3,0,0
220010005-5,22,001,0005-5,218.9565685073059,23.907588391345897,3.283504128201764,0.03214535290006988,1.0194955526337584,208.43100371179912,5.901111585670539,11.53590460797204,8.605999361671044,0.12858141160027953,0.25716282320055905,0.06429070580013976,0.1607267645003494,2.994195952101135,0.9873501997336884,0,0.1607267645003494,0.12858141160027953,0.03214535290006988,0.03214535290006988
220010006-1,22,001,0006-1,110.53662227602905,266.47810734463275,2.1118845843422114,0.8150726392251816,0.125,103.44582324455206,4.182102502017757,107.28712671509282,64.54146489104116,10.809422921711057,8.78087167070218,4.598769168684423,2.070217917675545,0.6900726392251816,4.307102502017757,2.070217917675545,5.728914447134786,10.601089588377723,3.575363196125908,0.7317393058918482
220010006-2,22,001,0006-2,247,60,1,0,1,233,3,18,24,8,3,2,3,0,0,1,1,1,0,2
220010006-3,22,001,0006-3,192.30266343825664,197.8135593220339,4.286924939467312,3.095641646489104,0,192.25060532687652,6.573849878934625,80.77239709443099,50.512106537530265,5.434624697336562,6.147699757869249,0.5738498789346247,3.2869249394673123,0.09564164648910412,0.5738498789346247,4.286924939467312,5.765133171912833,7.434624697336562,1.4782082324455206,1.0956416464891041
220010006-4,22,001,0006-4,311,199,8,1,0,300,3,67,65,10,5,2,0,0,1,10,9,11,3,1
220010006-5,22,001,0006-5,199.28571428571428,86,0.6428571428571429,0.2142857142857143,1,192.92857142857142,2.2857142857142856,38.85714285714286,19.071428571428573,3.2142857142857144,2.5714285714285716,1.2857142857142858,0.6428571428571429,0.2142857142857143,2.2857142857142856,3.642857142857143,1.7142857142857144,3.2142857142857144,1.0714285714285714,1.2142857142857142
220010006-6,22,001,0006-6,8.875,550.7083333333334,0.9583333333333334,2.875,2.875,18.375,1.9583333333333333,277.0833333333333,121.875,21.541666666666668,23.5,12.541666666666668,0,0,4.833333333333333,0,5.791666666666667,6.75,2.875,2.9583333333333335
220010006-7,22,001,0006-7,483.260336906585,81.20980091883614,8.362940275650843,0,4.120980091883614,461.17151607963245,12.725880551301685,23.604900459418072,35.8468606431853,4,5,0,3.362940275650842,1,2,0,2.120980091883614,4.120980091883614,1,2
220010006-8,22,001,0006-8,293.62399419490765,59.16064584454008,0.9140358839878071,0.7790927021696252,0.7790927021696252,272.80082257486106,4.138361238120853,18.135041240810473,17.32895990227721,3.116370808678501,3.9494407835753993,1.7201172225210688,2.364266742872512,0.7790927021696252,0.026988636363636364,0.8060813385332616,2.3912553792361484,4.003418056302672,0.8060813385332616,0.8060813385332616
