GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3100300008P,31,003,00008P,78.99854757030771,21.999595525908475,4.999908074070108,87.9983821036339,19.99963229628043,73.9986394962376,22.999577140722497,79.99852918512173,82.9984740295638,70.99869465179553,22.999577140722497
3100500001P,31,005,00001P,202,24,6,196,31,192,19,198,199,175,28
3100700001P,31,007,00001P,262.9999993152525,38.9999998984595,11.999999968756768,253.99999933868492,61.999999838576635,271.9999992918201,37.9999999010631,280.9999992683877,281.999999265784,259.9999993230633,41.99999989064869
31009000001,31,009,000001,223.0444542862374,34.00549949932834,6.001680402572548,215.0458291610695,49.00672161029019,203.043537703016,34.004430152236715,210.0430794114053,210.04292664753507,197.04139900883277,34.00565226319857
3101100001P,31,011,00001P,305,76,16,323,78,270,84,304,308,251,89
3101100002P,31,011,00002P,78,11,1,87,10,67,13,73,73,57,22
3101100003P,31,011,00003P,84,29,4,89,28,71,29,75,76,62,36
3101100004P,31,011,00004P,211,49,9,225,47,211,38,226,228,193,52
3101100005P,31,011,00005P,247,53,12,265,51,248,45,276,275,237,58
3101100006P,31,011,00006P,258,85,6,266,84,256,69,289,290,253,69
3101100007P,31,011,00007P,216,88,11,241,80,195,73,221,226,178,90
3101100008P,31,011,00008P,103,17,6,109,16,99,15,99,101,87,23
