GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34001005101,34,001,005101,282,383,8,9,0,0,0,1,0
34001005102,34,001,005102,256,283,12,7,4,0,0,0,2
34001005103,34,001,005103,383.69585097013237,562.873084300775,22.042329519585724,10.012506151466257,0.005810190729394994,1.0013958699148606,0,0.9999433222325119,0.9999433222325119
34001005201,34,001,005201,295.93887621041677,371.64417012470943,11.798227623006648,3.932742541002216,1.966371270501108,0,0.983185635250554,0,0
34001005202,34,001,005202,460.10438959400557,229.08146402559973,2.9120568967051597,4.853420726488775,0.970684570136983,1.0620980702272839e-6,5.310490351136419e-7,0,0
34001005203,34,001,005203,253,321,17,5,0,0,0,0,0
34001010101,34,001,010101,653,126,7,8,2,3,0,1,0
34001010102,34,001,010102,411.97616209773537,57.82121573301549,0,2.710369487485101,0.9034564958283671,0,0,0.9034564958283671,0
34001010103,34,001,010103,390.50059594755663,65.75446960667462,9,1.0822407628128725,0.027413587604290822,1,0,0.027413587604290822,1
34001010104,34,001,010104,369.98534201954396,33.148208469055376,2.0114006514657983,10.034201954397394,0,0,0,0,0.02280130293159609
34001010201,34,001,010201,507.40050377833757,131.54827875734676,4.945424013434089,3.9563392107472715,0.9890848026868179,0.9890848026868179,0,0,0.9890848026868179
34001010202,34,001,010202,622.6942731277534,31.26872246696035,0.8933920704845815,0.8933920704845815,0,0,0,0,0.8933920704845815
34001010203,34,001,010203,593.3203848527027,16.583069063984272,1.0952072780496205,3.0724059751180244,0,0,0,0,2.083806626583822
34001010301,34,001,010301,687,23,0,2,0,0,2,0,0
34001010302,34,001,010302,211.59949622166246,41.45172124265323,2.054575986565911,1.0436607892527288,1.0109151973131822,0.0109151973131822,0,0,0.0109151973131822
34001010303,34,001,010303,330.0310317062494,16.781238900317767,1.8645821000353073,0.9322910500176537,0,0,0,1.8645821000353073,0.9322910500176537
34001010304,34,001,010304,749,21,2,3,0,0,0,0,1
34001010401,34,001,010401,405.9517926314288,133.53772256031937,2.7538397781508173,0.4449578637589529,1.5443037974683544,0,0,0.20953598068246285,0.036730015657687125
34001010402,34,001,010402,345.49370627771884,16.194921854716473,0.20177237699335193,1.0511666569403724,0.03362872949889199,0,0.016814364749445997,0,0
34001010403,34,001,010403,448.560754521167,62.60369630253281,0.061957868649318466,0.03558648279355408,1,0,0,0.061957868649318466,1.0309789343246591
34001010404,34,001,010404,176.04328018223237,67.36674259681094,1.9066059225512528,1.9066059225512528,1.9066059225512528,0,0,0,2.5421412300683373
34001010501,34,001,010501,534.24,186.6,8.336,5.448,0.112,0,0,0,1.112
34001010502,34,001,010502,526.0073527291601,272.756675124708,5.413014330613304,3.685166229347481,4.549090279980392,0,0,0.8639240506329113,1.4578587699316627
34001010601,34,001,010601,350.76,155.4,2.664,3.552,0.888,0,0,0,0.888
34001010602,34,001,010602,410.4310709101661,215.52775388419977,7.797752808988764,2.9356405569593034,0,0,0,0.9747191011235955,0
34001010603,34,001,010603,348.6574681821362,146.21119633444422,3.7490050342165184,4.686256292770648,0,0,0,0,0.9372512585541296
