GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34001005101,34,001,005101,213,352,4,7,11,0,3,0
34001005102,34,001,005102,302,320,4,6,7,1,0,3
34001005103,34,001,005103,271.57146958867963,486.7713558302926,6.008375219489164,11.009544378334072,19.014901146923563,3.9997732889300477,1.0013958699148606,1.0013958699148606
34001005201,34,001,005201,202.53624086161412,329.3671878089356,2.949556905751662,4.91592817625277,4.91592817625277,1.966371270501108,0,4.91592817625277
34001005202,34,001,005202,354.2997857873984,187.3420476895728,5.310490351136419e-7,1.9413680781758957,10.677528147310673,0.9706861632840883,0,4.853420726488775
34001005203,34,001,005203,194,275,9,2,8,0,0,8
34001010101,34,001,010101,467,127,1,8,12,4,0,1
34001010102,34,001,010102,262.90584028605485,41.55899880810489,0.9034564958283671,0,9.938021454112038,0,0,1.8069129916567341
34001010103,34,001,010103,275.97735399284863,41.26102502979738,4.027413587604291,0,4.301549463647199,0,0,2.054827175208582
34001010104,34,001,010104,263.87296416938113,44.12540716612378,1,2.0114006514657983,9.045602605863193,0,0,2.022801302931596
34001010201,34,001,010201,286.83459277917717,121.6574307304786,0,5.934508816120907,15.825356842989086,2.9672544080604535,0,1.9781696053736357
34001010202,34,001,010202,453.8431718061674,58.0704845814978,0.8933920704845815,4.466960352422907,12.507488986784141,0,0,5.360352422907489
34001010203,34,001,010203,303.2838640244515,17.804108252378423,0.1066079295154185,1.5216389961112944,5.446908407352667,0,0,2.616846274160915
34001010301,34,001,010301,431,19,2,1,9,1,0,3
34001010302,34,001,010302,102.16540722082284,38.34256926952141,0,0.0654911838790932,3.174643157010915,0.0327455919395466,3,1.0218303946263645
34001010303,34,001,010303,208.8331952039544,16.781238900317767,0.9322910500176537,0,13.05207470024715,0.9322910500176537,0,3.7291642000706147
34001010304,34,001,010304,430,25,4,5,9,0,1,8
34001010401,34,001,010401,269.78448553263837,121.23708964892698,5.444957863758953,4.544303797468355,4.41928351034686,1.7171097624931302,1.1360759493670887,1.691223860099103
34001010402,34,001,010402,237.6341482487219,15.471904170490292,0.05044309424833798,0.08407182374722998,1.0679810216898185,1.0175379274414804,0,1.0679810216898185
34001010403,34,001,010403,359.03587782432066,56.60369630253281,2.030978934324659,4,14.438312629014124,1.0355864827935541,1,0.12852328576753178
34001010404,34,001,010404,114.39635535307518,52.749430523918,0,0.6355353075170843,1.9066059225512528,0,0,3.1776765375854215
34001010501,34,001,010501,331.648,131.36,1.784,1.112,19.56,2.112,0,3.896
34001010502,34,001,010502,304.0466826216084,211.67462010899337,2.5917721518987342,3.820160895014561,13.188330786309505,4.319620253164557,0.8639240506329113,5.278019664946224
34001010601,34,001,010601,203.352,137.64,6.216,0.888,4.44,0.888,0,7.104
34001010602,34,001,010602,274.6796435675501,173.61483253588517,0.9747191011235955,0,6.834516961453685,0.011483253588516746,0,0.9862023547121123
34001010603,34,001,010603,214.6305382088957,129.34067368046988,0,3.7490050342165184,2.811753775662389,0,0,3.7490050342165184
34001010604,34,001,010604,223.02293517543774,228.7311348301684,1.0076549924296756,1.2439027672019214,5.256015568508461,0,0,1.2586499582131574
34001015101,34,001,015101,388.81514411311645,801.1324841959093,4.850985380842302,6.780115693402093,9.772792291429647,4.791476758921092,0.012048928524345005,1.964541077432312
34001015201,34,001,015201,285.26062322946177,542.2776203966006,4.707271010387157,5.64872521246459,15.063267233238905,0,0.9414542020774316,3.7658168083097263
34001015301,34,001,015301,336.448758752387,593.2122851686823,2.9513049013367283,7.8701464035646085,7.8701464035646085,1.9675366008911521,0,0.9837683004455761
34001015401,34,001,015401,344,486,4,11,15,1,1,3
34001020001,34,001,020001,288,360,2,3,21,1,0,3
34001020002,34,001,020002,295,373,7,7,12,7,1,0
34001025001,34,001,025001,273.8316246953276,476.5555067615183,7.028731367769845,4.0215485258273835,19.04309705165477,1,0.007182841942461251,4.0215485258273835
34001025002,34,001,025002,253.18094499678068,491.4633169938677,3.9715242768927186,2.978717267042985,5.9570889236765545,4.937291563090969e-5,0.9929057556809952,2.9784210295492
34001025003,34,001,025003,369,221,2,5,10,3,3,5
34001025004,34,001,025004,199,308,11,5,7,0,2,0
34001030101,34,001,030101,93.52410700655213,172.85730056568244,1.251854751093693,3.0362978138376957,1.443560164277494,3.1374864868497694,0.2413287813142052,1.0361936471142321
34001040001,34,001,040001,233.09297556187423,487.5359459101053,1.1778221173156254,9.129515226451232,9.329071426392082,0.00236849250615129,0.01937984496124031,1.0193940998034088
34001040002,34,001,040002,292.02927163108615,404.19332883290974,3.020422056172344,6.008168822468938,4.03267528987575,1.0081688224689376,0,2.020422056172344
34001040003,34,001,040003,352.32547997958125,460.4792966231552,5.125505555150421,0.0502022220601684,8.200808888240674,6.050202222060168,0,4.125505555150421
