GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35001000001,35,001,000001,341.261303386698,375.7853320616766,67.6566208783777,9.653213974319932,7.411289008194582,0.21696027808382043,0.08407441389682693,0.021953215692126344,329.75875044987356,424.8190969104351,431.5457447180575,327.55310908466504,383.58089963296607,365.37243688993584
35001000002,35,001,000002,82.37228622685899,85.1531253475926,17.43742375302518,1.0378859646595593,2.700382601604021,0.04362628692688273,0,0.08725257385376546,85.04733238470739,97.85122480189737,115.04073348866979,66.51455372478722,99.10489333432989,78.8430041736442
35001000003,35,001,000003,176.80366714764045,194.29759411390148,43.843197401207505,9.578938284430329,4.392597365462424,0.06839594789064654,0.5336636725340337,0,182.8107594412961,229.6705687024551,246.45528115849731,168.0652979063171,214.31848657909325,196.30896081884748
35001000004,35,001,000004,207.50338294993233,301.5372124492557,68.95060893098783,7.066305818673884,7.066305818673884,0.033152909336941816,0,0,225.5974289580514,354.56495263870096,348.0067658998647,224.45399188092017,305.0507442489851,259.9127198917456
35001000005,35,001,000005,195.90717703349284,318.7425837320574,38.26124401913876,3.482296650717703,3.2526315789473683,1.0688995215311006,0,0,186.50430622009569,357.15406698564595,305.511004784689,235.66507177033495,240.14545454545456,291.4794258373206
35001000006,35,001,000006,109.74509803921569,147.87933634992459,29.401206636500753,2.328808446455505,3.20211161387632,0.5822021116138762,0.2911010558069381,0,115.85822021116138,171.45852187028657,174.95173453996983,107.99849170437406,135.9441930618401,140.01960784313727
35001000007,35,001,000007,128.86994367639528,190.15770609318997,36.441372247823864,2.6502816180235533,1.6564260112647209,0,0,0,122.9068100358423,221.9610855094726,186.18228366615463,158.35432667690733,151.3973374295955,187.17613927291347
35001000008,35,001,000008,110,170,42,2,1,0,0,0,108,212,172,141.00000000000003,131,178
35001000009,35,001,000009,192,250,66,3,4,0,2,0,193,299,260,234,217,268
35001000010,35,001,000010,230.27551881957092,296.6078621732133,80.43677663813381,9.034811094830483,1.1740554741524145,1,1.069622189660966,0,239.24070772474045,358.3484169147374,319.5825728284668,276.31985166448544,278.215418379994,307.3737062594839
35001000011,35,001,000011,94.95827123695976,233.85245901639345,39.684053651266765,4.251862891207153,0.4724292101341282,0,0.4724292101341282,0,95.4307004470939,262.1982116244411,170.07451564828614,186.1371087928465,125.19374068554397,224.40387481371087
35001000012,35,001,000012,184,394,51,9,4,0,3,0,177,450,310,315,238,382
35001000013,35,001,000013,160.49661705006767,336.4627875507442,86.04939106901217,1.9336941813261164,1.9336941813261164,0.9668470906630582,0,0,192.4025710419486,366.43504736129904,320.99323410013534,246.54600811907983,263.9492557510149,289.0872801082544
35001000014,35,001,000014,186,317,68,12,3,0,4,0,198,359,269,280,215,335
35001000015,35,001,000015,245.14260819053152,338.8149869300029,74.73860005808888,7.97211733952948,0.996514667441185,0.996514667441185,0,0,237.17049085100203,409.56752831832705,381.66511762997385,260.0903282021493,293.97182689514955,329.8463549230322
35001000016,35,001,000016,133.3536332179931,221.6553633217993,51.35916955017301,8.109342560553634,0.9010380622837371,0.9010380622837371,0,0,135.15570934256056,262.2020761245675,205.43667820069203,188.31695501730104,139.66089965397924,247.78546712802768
35001000017,35,001,000017,146.9880564507561,252.15024317975235,56.763680336674106,7.170149095158834,0.5975124245965695,1.7925372737897085,2.390049698386278,0,132.05024583584185,321.4616844329544,228.84725862048612,219.88457225153758,177.46119010518115,260.5154171241043
35001000018,35,001,000018,230.20271497022523,431.0208882821103,56.740484577592916,6.256197573807734,2.4440757946000726,0.03415967650769789,0.017079838253848945,0,225.83466898561764,469.4974648289184,373.09525916780314,318.18563513197137,285.1404471498872,410.7305310317949
35001000019,35,001,000019,235.90641944056782,220.67399775498865,56.24225882712872,4.6870197415959565,5.467891417826772,0.39060067745063726,1.1716921394617588,1.569898430756831e-5,237.85931293493087,263.63716796246183,317.1465407621179,182.0064616624454,283.55610702213914,209.34737875711986
35001000020,35,001,000020,163.39328063241106,208.42292490118578,38.16798418972332,4.717391304347826,6.00395256916996,0.42885375494071143,0,0.42885375494071143,167.6818181818182,237.58498023715416,237.15612648221344,165.53754940711462,193.41304347826087,207.56521739130434
35001000021,35,001,000021,289.86934673366835,374.08040201005025,76.76381909547739,7.447236180904523,6.301507537688442,3.4371859296482414,0,0,287.00502512562815,442.25125628140705,431.9396984924623,291.0150753768844,335.1256281407035,376.3718592964824
35001000022,35,001,000022,278,317,93,10,12,2,0,0,293,384,436,240,355,306
35001000023,35,001,000023,190.48246753246752,244.4435064935065,57.73831168831169,5.935714285714286,0.5396103896103895,2.158441558441558,0,0,179.15064935064936,304.34025974025974,284.3746753246753,194.25974025974025,215.30454545454543,255.2357142857143
35001000024,35,001,000024,99.48381292428743,130.44765028024034,31.56313743381007,2.1974336188095616,1.5981335409524084,0.9988334630952553,0.5993000778571532,0.19976669261905106,102.68008000619224,154.81918677976458,148.42665261595494,106.67541385857326,118.66141541571633,131.24671705071654
35001000025,35,001,000025,336.96343402225756,410.6518282988871,89.42766295707472,5.007949125596184,7.154213036565977,0.7154213036565977,0,0.7154213036565977,348.4101748807631,472.8934817170111,490.77901430842604,320.5087440381558,407.07472178060414,394.912559618442
