GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBAR,G18USSDTRA,G18USSLPOR,G18USSOWRI,G18HALRCHE,G18HALDHUN,G18HALLBRU,G18HALCCUM,G18HALOWRI,G18GOVRGOR,G18GOVDTHR,G18GOVLSTR,G18GOVCRAM,G18GOVOWRI,G18SOSRBUC,G18SOSDBYR,G18SOSLCAR,G18SOSOWRI,G18AUDRRAC,G18AUDDDOC,G18AUDOWRI,G18TRERMEI,G18TREDLOW,G18TREOWRI,G18SPIRBAL,G18SPIOWRI
56015001004,56,015,001004,358.4733436930294,126.94878341387763,7.317947897583748,0,341.04789036787463,132.93588466080843,6.013223579756513,6.3221752982318655,5.413778121598438e-5,362.3392286926017,112.92732158394975,2.3007134683039805,11.039291774801029,3.5839218184221138,405.95091468408003,83.90877014112681,3.318002035364964,0,348.35608415741297,126.94937892947101,0.291825564758017,367.79943927201606,119.0990500879608,2.0042815384293338,424.76672309564873,1.5840300939845458
56015001005,56,015,001005,143.22758707367402,51.9336670686986,7.653382515387162,0,129.56083258191123,54.120347787380645,8.200052695057673,8.200052695057673,0,144.86759761268556,47.56030563133451,2.1866807186820463,6.013371976375628,1.6400105390115347,161.26770300280091,36.626902037924275,3.2800210780230694,0,145.41426779235607,54.120347787380645,0,157.98768192477783,44.28028455331144,0,178.21447857258676,1.0933403593410231
56015001006,56,015,001006,217,101,8,0,213,95,7,4,0,212.00000000000003,101,4,7,2,252.00000000000003,67,7,0,205,112,0,236.00000000000003,88,1,281,3
56015001007,56,015,001007,185,87,10,0,168,84,10,15,1,167,89,7,17,2,203,71,11,0,193,86,1,198,84,0,239,4
56015001008,56,015,001008,485.0172853540031,113.9150296242094,10.171026547664418,0.5471698113207547,473.11021046442363,112.91056041006266,8.857803994026519,9.59049731934306,1.088803357102302,468.1336699186999,110.61600172793524,6.815469517936217,16.521510456900394,5.638267320728877,515.2191831704451,81.26807803706843,11.542285605324992,0,463.40924517384536,124.79376099783063,0.2566356884863286,489.886200882196,113.92253646556118,0.7393010690365152,533.6233795802915,8.131801780951694
56015001009,56,015,001009,385.35988271105685,108.1137897216129,8.525248365806153,0.031196910188454153,375.610078658486,105.31363614659546,5.725094790788708,9.625016411817057,0.9749804052570874,391.9663671765373,90.0883125847435,5.662700970411799,10.444012266131875,2.893744305582808,414.58597414799607,72.21881999881639,10.475209176320329,0,385.23509507030303,97.88815582680022,0,401.59138358835435,95.65742282458994,0.9437834950686332,436.66735745683604,3.8999216210283496
56015001010,56,015,001010,86.074443229722,44.060788945369616,5.967541304042497,0.41671629873199817,85.28628282597673,41.951269508247044,3.051627935604639,6.8177296782074706,0.03730660641226127,87.54572403178024,39.34594511270993,2.633289677763284,7.653320420388234,1.7230857227579983,92.43250326451702,37.44969246123553,6.457248856489661,0,90.51501938948363,43.67636762058445,0.8063939313152856,91.52917757641922,46.00633856972157,1.2571729182408318,113.45635669260825,2.177108627902258
56015001301,56,015,001301,118.43142144638404,27.07231920199501,3.0124688279301743,0,112.4214463840399,26.07231920199501,2.0099750623441395,9.011221945137157,0,110.41147132169576,26.07730673316708,1.0037406483790523,9.021197007481296,2.006234413965087,122.46134663341645,24.047381546134662,1.0112219451371571,0,112.43266832917706,31.063591022443887,0,128.4364089775561,19.074812967581046,0.0012468827930174563,131.47381546134662,2.0012468827930174
56015001501,56,015,001501,158.18936497646388,28.363510625405173,7.022560638967065,0,151.5289201079565,29.10345337691093,3.0596051854516495,8.689784721808099,0,155.4679444982004,27.12197565015322,1.8659323367427223,5.944433180273123,1.1936728487089272,165.75727003937757,22.371215318589023,5.041082912209357,0,156.7828475739604,28.03101075525307,0,153.24969115437665,37.150594510992825,0.7878048780487805,167.2891275952747,0.40586797066014674
56015001502,56,015,001502,28.434146341463418,5.3048780487804885,1.4853658536585368,0,26.31219512195122,5.941463414634147,0.6365853658536585,2.1219512195121952,0,27.37317073170732,5.517073170731708,0.42439024390243907,1.273170731707317,0.21219512195121953,29.707317073170735,4.45609756097561,1.0609756097560976,0,27.79756097560976,5.941463414634147,0,26.73658536585366,7.851219512195122,0.21219512195121953,29.495121951219513,0
56015001601,56,015,001601,155.63546616229183,19.58998016330673,2.78239608801956,1.0377358490566038,154.38012640125478,16.251187895003923,2.631867878396457,3.1882640586797066,1,154.455598099368,16.619320016607464,2,5.78239608801956,0.5941320293398533,160.8321262167274,14.393320108871153,3.2259999077363104,0,159.86146607002814,13.431055957927757,0,155.4178622503114,21.401716104627024,0.03773584905660377,161.87825806153987,0.6318678783964571
56015001701,56,015,001701,72,10,2,0,71,8,2,3,0,61,12,1,8,0,73,8,3,0,73,7.000000000000001,1,66,14,3,78,0
56015001801,56,015,001801,151.40043890028502,9.028100975458598,1.3380168292430996,0.6690084146215498,149.0624220710419,8.690084146215497,2.6760336584861992,1.3380168292430996,0,145.37936316869107,8.028100975458598,2.0070252438646494,4.014050487729299,3.0070252438646494,150.73143048566345,6.021075731593948,3.6760336584861992,0,144.37936316869107,9.028100975458598,0,144.05539682717728,15.704134633944797,0,147.39341365642036,0.6690084146215498
56015001802,56,015,001802,56.59956109971498,3.9718990245414023,0.6619831707569004,0.3309915853784502,55.937577928958085,3.309915853784502,1.3239663415138008,0.6619831707569004,0,53.620636831308936,3.9718990245414023,0.9929747561353506,1.9859495122707012,0.9929747561353506,56.268569514336534,2.9789242684060517,1.3239663415138008,0,53.620636831308936,3.9718990245414023,0,54.94460317282273,5.295865366055203,0,55.606586343579636,0.3309915853784502
56015002001,56,015,002001,23.080645161290324,0.8548387096774194,1.7096774193548387,0,23.080645161290324,0.8548387096774194,1.7096774193548387,0,0,23.080645161290324,0.8548387096774194,1.7096774193548387,0,0,23.080645161290324,0.8548387096774194,1.7096774193548387,0,23.93548387096774,1.7096774193548387,0,23.93548387096774,1.7096774193548387,0,24.79032258064516,0
56017000101,56,017,000101,513.9999999999999,155,25.999999999999996,3,482.99999999999994,155,22,25,0.9999999999999999,515,155,7.999999999999999,14.999999999999998,0,525,127,33,0,573,108.99999999999999,3.9999999999999996,557,127,0,588,10
