GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
56021002-11,56,021,002-11,408.8449603285897,255.40457091442406,20.00804787650577,9.997923726354392,6.015834829128418,427.8666362986367,265.40249464077846,3.9942893210229613,391.8814311380391,226.36057037042866,46.98170121720775,25.02531037537845,2.995716990767221
56021002-12,56,021,002-12,670.7614654651524,403.644067713543,34.62632933817158,15.829179126021295,6.925265867634316,715.2810317570872,408.59068619042466,4.946618476881655,653.9429626437548,370.00706207074774,56.39145063645086,33.63700564279525,1.9786473907526618
56021002-13,56,021,002-13,601.622201819804,418.24233409945754,20.95926530947038,10.963409847070498,4.030569730446792,637.5190502174415,406.3418265274423,6.959369098000295,619.5388928634334,376.2994347222323,37.89051387942103,12.066554897386052,5.891517523991569e-4
56021003-10,56,021,003-10,432.6159325663577,250.89036409266018,28.805575501882295,9.999968496890824,6.977115225576389,460.31862896843853,267.9474673429925,1.0114282108126762,415.4673784270366,237.03901589161973,32.034193273421415,32.87415106738019,1.9771309771309773
56021003-11,56,021,003-11,158.87704430541945,83.5788916145323,7.198376278040946,3.198376278040946,1.0661254260136486,170.74479345339216,78.97564417061419,1.1322508520272971,165.54641717535122,69.90951874460053,9.198376278040946,6.198376278040946,0
56021003-12,56,021,003-12,427,244,17,5,4,449,243,3,408,229,41,14,1
56021003-13,56,021,003-13,458.9478030703866,244.40185579542526,17.358086349106905,5.55458763171421,8.331881447571316,475.6115659655293,248.5677965192109,3.471617269821381,459.6421265243509,206.21406582739004,41.65940723785658,14.5807925332498,3.471617269821381
56021004-10,56,021,004-10,201.51460032270998,47.415639038014646,2.96356333296455,1.9756392875648832,2.7840431260077692e-5,193.61271134280068,52.35446581272207,1.975597526917993,189.66104300163326,42.47653385899462,10.865828158695852,5.927015304204059,4.176064689011654e-5
56021004-11,56,021,004-11,63.20776795009451,51.71544650462278,0.9576934537893108,2.8730803613679323,0,70.869315580409,46.92697923567623,0,70.869315580409,45.011592328097606,0.9576934537893108,0.9576934537893108,0
56023000101,56,023,000101,501.6679920477137,81.99005964214712,12.043737574552683,5.095427435387674,1.8528827037773359,490.5506958250497,98.66600397614314,0.46322067594433397,454.4194831013916,94.96023856858847,24.5506958250497,15.286282306163022,0
56023000102,56,023,000102,276.6709741550696,45.21769383697813,6.642147117296222,2.8101391650099403,1.021868787276342,270.53976143141153,54.41451292246521,0.2554671968190855,250.61332007952285,52.37077534791253,13.53976143141153,8.43041749502982,0
