GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16PREIFUE,G16PREGSTE,G16PREOWRI,G16HALRCHE,G16HALDGRE,G16HALLSTR,G16HALCCUM,G16HALOWRI
56013000102,56,013,000102,167.08074534161491,101.91925465838509,17.543478260869566,0.8354037267080745,0.8354037267080745,4.1770186335403725,4.1770186335403725,151.20807453416148,127.81677018633539,8.354037267080745,5.012422360248447,0
56013000103,56,013,000103,298.0371489481659,250.16941664611156,31.72304785228514,1.931806969942563,4.7837793791183625,8.632840304450474,15.36921667430142,259.62346277176783,309.69576535466365,18.24197910426724,17.317655660876,0.004158004158004158
56013000104,56,013,000104,233,177,29,9,2,8,18,224.00000000000003,219,15.000000000000002,14.000000000000002,2
56013000105,56,013,000105,401,241,48,4,2,7,19,366,306,24,21,2
56013000106,56,013,000106,269.68975069252076,249.50969529085873,43.11634349030471,6.016620498614959,4.011080332409972,9.022160664819944,11.049861495844876,265.5623268698061,300.6925207756233,12.105263157894736,9.044321329639889,1
56013000201,56,013,000201,207.20445365932468,43.8864505358393,5.813964133771339,1.935483870967742,3.870967741935484,3.8935053045398247,8.738058053745489,177.2211481501427,74.84584522591416,10.66102105659971,3.879314987344499,0.0025041736227045075
56013000301,56,013,000301,356.3114924411734,74.08418500151696,27.222200346030533,6.371413850878879,1.4063782410752275,5.757608435200361,12.788957908729207,310.6255023045925,123.54262106741035,20.943732592559524,22.149186992240278,1.0808814941084612
56013000302,56,013,000302,147.04874336544376,33.27115088419181,13.708619547707519,1.8362992837692114,0.7345197135076845,3.335339922738419,6.318420594699915,127.3512065751672,55.94401305376074,8.71698761292292,9.72876354732293,0.38226046273076153
56013000303,56,013,000303,619.8645939489821,133.14863086571307,40.74159447451784,8.839400522367352,2.5575089624294494,11.048033676244383,21.509403789731724,548.4418909718333,206.26669545557348,40.454719032808256,30.63702408451592,3.2411626780406153
56013000304,56,013,000304,291.346929884559,87.47491065348362,22.09622263719687,3.307511075727937,0.6726133519784459,6.4165034042574955,12.698413256847722,267.4038133445701,116.09340718884246,17.78028089413419,14.386261594656233,2.0967212359351333
56013000305,56,013,000305,565.9935001435548,177.05879724102633,36.15188616563158,6.579910247559057,1.643737539418465,5.49827196038949,29.3492250988645,503.24558327032355,245.37363567350982,34.52518847707916,26.852597529725482,2.3162507869465956
56013000306,56,013,000306,601.30100442004,161.61063735550493,47.06044514541997,4.835313667075569,1.536,3.733834115440284,22.13485740989544,556.2862689019997,221.60911704344102,33.280347709822095,20.353492896132302,4.913375262054507
56013000401,56,013,000401,110.8182452156223,302.2087704972295,10.889346720165983,3.969811759784932,9.648173207036535,33.05225974998104,25.27844994586665,149.1085125133358,305.57127989657954,17.313120705588037,10.999389742883507,0.027385892116182572
56013000501,56,013,000501,485.9428708641712,214.3282735147327,49.36106518454771,5.280499194782992,2.1776690006991735,9.324868580128623,20.27744829982202,436.0613037115499,290.21245291779684,23.36944137589569,27.376204940706465,1.0201515257695033
56013000601,56,013,000601,755.434883801443,289.7644979866496,69.5506311836633,8.1749183660541,3.4031680305918535,12.403635756844059,29.563842735610596,683.5367922494529,394.86657937974866,39.92667553064447,38.76257296898957,1.1164241164241164
56013000701,56,013,000701,810.2067683671945,188.56859794901902,41.90117598002765,4.991110899801021,6.981823427582228,8.98481845280458,26.936031612252023,741.3552311945668,233.46198396943905,44.91385684948861,36.916206328947204,8.97663012117715
56013000801,56,013,000801,181.76629109104337,230.69353496638846,16.507955837458617,0.413312693498452,1.6753554502369667,15.620161145818255,27.605279024923963,183.47532816580548,241.98896690807658,15.101871393312802,11.284747947678461,0.05309726737545031
56013000901,56,013,000901,326.4774381368268,17.807860262008735,10.88258127122756,0,0,0.9893255701115964,7.914604560892771,287.8937409024745,43.53032508491024,15.829209121785542,10.88258127122756,0.9893255701115964
56013001001,56,013,001001,602.1865284974093,74.49222797927462,20.49740932642487,0.2072538860103627,0.02072538860103627,3.062176165803109,9.2279792746114,527.1295336787565,121.54922279792747,25.4559585492228,24.51813471502591,4.020725388601036
56013001201,56,013,001201,78.57368421052632,9.266842105263159,2.054736842105263,1,0,0.01368421052631579,0.034210526315789476,66.3,16.39,2.123157894736842,5.082105263157895,0.006842105263157895
56013001301,56,013,001301,131.6399686681594,405.97291496886595,9.300793581719928,0,0.054502369668246446,27.084845200136087,34.3339353108261,151.4757237576055,396.34117486490123,19.150543164357657,10.176763800647208,2.954924874791319
56013001401,56,013,001401,403.46538338745523,43.831975102159134,14.813750741830068,3.1211808863790353,1.2099871959026889,3.2222457965869866,13.492994608548152,340.84521114191085,80.49827557402217,29.233928045750748,27.566722747119456,1.214839209488327
56013001501,56,013,001501,214.550576184379,23.034571062740078,7.897567221510884,1.645326504481434,0.6581306017925737,1.645326504481434,7.23943661971831,180.98591549295776,42.778489116517285,15.46606914212548,14.807938540332907,0.6581306017925737
56013001601,56,013,001601,189.0831589341165,61.28739206462658,7.522668185635718,2.122726138316376,0.6062512473148588,6.307118037310303,7.515253679554057,171.7992065243833,70.15998573729351,17.470582501780562,9.295891609851992,0.1331962030318838
56013001701,56,013,001701,463.6013683552248,107.24471449613398,23.156215641648192,4.169293184028146,1.6878547425985926,7.636148816923068,21.346540611057435,429.3378570357245,148.54814695865983,18.557446116582454,21.999017544093846,2.198756753982028
56013001801,56,013,001801,949.5914703313518,178.8326421904276,51.448883346082646,8.704635814938765,2.168211540032383,5.680277340018848,32.354045700246154,857.6906070337069,274.75933528786493,41.968148598001,38.40826588202577,3.786261631161547
56013001901,56,013,001901,106.73570209287989,21.626405499289092,0.16859935331583753,0.03463414557967716,0.07230377133522868,1.1800164630260184,1.1834544615377547,91.2166288113252,28.567791808265305,3.1267079559253803,2.1008443030707777,0.995983986706668
56013002001,56,013,002001,253.84447430298957,26.066341954988243,6.794815810099653,2.8846153846153846,0,2.8904378009181504,3.8927331765759714,211.3097077594894,50.256186317321685,11.631620199305788,12.564046579330421,0.9673608778412272
56013002101,56,013,002101,453.3830815671266,78.18106459387538,22.186819140301868,2.382336377896123,0.9259326385310367,5.561586382373666,12.697057153375539,387.6829121771739,121.84690615633221,29.789101248130347,23.530846528603348,2.0423614294675025
