GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45001000001,45,001,000001,279.0001727739825,538.0001590435998,0,249.0001613319969,562.000167625089,0,230.00015446680555,9.000003432595678,569.0001653366919,7.000006865191358,5.72099279820623e-7,243.00015046211058,12.000010869886317,567.0001653366919,0,637.0002008068473,8.00000343259568,592.0001767786774,1.0000005720992797,45.00002917706327,75.00003718645318,588.0001750623796,4
45001000002,45,001,000002,405.16672550844294,230.53462276146772,0,396.92649115952656,240.84037556917946,0,385.75177526940564,12.174715890120991,240.68749916532357,4.17471589012099,0,396.99200961832196,13.087357945060495,231.6219807065282,0,334.4082022120727,7.109197431325619,246.05877043183068,0,79.61150561542347,72.58966612915835,260.9932519730353,3.087357945060495
45001000003,45,001,000003,301.9997606144729,277.9997796384883,0,281.99977646781906,292.9997677484787,0,269.99978597982675,5.999995243996151,288.9997709191479,11.999990487992301,0.9999992073326918,262.9997915284979,18.99998493932114,288.9997709191479,0,350.9997217737748,5.999995243996151,308.99975506580176,0.9999992073326918,50.999959573967274,64.99994847662497,305.9997574438037,0
45001000004,45,001,000004,128,298,0,129,300,0,121,2,299,7,0,116.99999999999999,9,301,0,324,0,303,2,29,24,301,0
45001000005,45,001,000005,157.4982723848344,495.18639136859855,0.9994304482896916,136.11112386513454,514.463885159623,0,127.88809401230016,5.113278164499937,501.49032314207835,15.108249158766297,1.0000969596591334,133.2262923978392,10.113762962795604,507.2065886947294,0.027698458023986294,545.1532567976717,1.1682872419113763,526.4774173720594,3.9997213272670917,13.590259719136306,35.807981893504156,528.3985149855224,0.11146034346538693
45001000006,45,001,000006,77.9748384481437,187.43391100274746,0.0015721879468537337,73.8675173754554,190.51634654711697,0.0012503983890010586,74.80293718487675,4.082562754395382,181.4308851997724,4.067611496823525,0,70.87103710452584,5.064052344511242,185.46766681628694,0.002608059963953009,203.78126244828195,3.027041925299579,191.52302728861267,2.0411869273020593,10.162555881847146,23.2905051113864,185.56140968624723,0.009021828412577574
45001000007,45,001,000007,574.4512711864406,374.5275423728814,0.01059322033898305,569.3241525423729,383.65466101694915,0,557.271186440678,10.095338983050848,379.60169491525426,7.021186440677966,0,560.292372881356,12.052966101694915,383.62288135593224,0,445.84533898305085,4.010593220338983,389.7076271186441,0.0211864406779661,75.27542372881356,85.2542372881356,387.66525423728814,0
45001000008,45,001,000008,131,429,4,110,449,1,108,7,436,6,1,105,8,442,2,481,3,457,1,21,29,456,1
45001000009,45,001,000009,61,251,1,59,253,1,59,3,248,2,0,57,1,255,0,268,3,252,2,10,20,255,1
45001000010,45,001,000010,312.8270177600567,512.498492198587,0,289.4626631733308,530.8021819853518,0,278.4023119050492,10.344725213244669,506.3972622696654,10.182255676282848,0,299.4215232362911,7.162103750002381,512.681270427669,0,573.22646979812,4.060717055241003,538.7408378667518,2.040512873680615,42.40397912064792,65.66679024677272,534.8019729642322,0
45001000011,45,001,000011,146.74149659863946,272.66156462585036,0.9914965986394558,137.81802721088437,277.61904761904765,0,136.8265306122449,8.923469387755102,265.72108843537416,3.9659863945578233,0,141.78401360544217,6.940476190476191,271.6700680272109,0,306.37244897959187,7.931972789115647,285.55102040816325,0,33.7108843537415,27.761904761904763,285.55102040816325,0
45001000012,45,001,000012,140.49759851584326,473.81959823371676,0.0011478974925075134,122.33924980239513,489.00667459634013,0.0011478974925075134,119.1860437282162,16.802066343207674,469.0998252116639,9.09115918585831,0.0011478974925075134,120.41939726910991,8.06074905028317,482.81862833605663,0,510.4530420127334,3.1151427675987273,486.4294912028259,1.9616784107445602,20.064523220057943,33.440707622363455,489.05267644213325,0.04485394830056472
45001000013,45,001,000013,124.2576959173468,468.5318714920355,0,110.42139172531563,478.44592550878093,0,102.50460718141713,3.98650279157642,479.4204563599334,3.9383179064394294,0.008031577036332038,114.20711882222676,4.02666067675808,469.71521419197063,0.9665084282781102,503.0583816443633,5.887393339987312,479.63327713161266,0.024094731108996112,20.629975998145593,28.719428005622746,476.54503038328903,3.874065290148773
45001000014,45,001,000014,135.54872881355934,329.4724576271187,0.989406779661017,123.67584745762711,341.34533898305085,0,118.72881355932203,8.904661016949152,336.39830508474574,1.978813559322034,0,120.70762711864407,4.947033898305085,338.3771186440678,0,359.15466101694915,0.989406779661017,346.2923728813559,1.978813559322034,25.72457627118644,23.74576271186441,342.33474576271186,0
45001000015,45,001,000015,139.2910954760482,331.4167444085285,0,128.7241847847618,344.86553983380213,0,121.03915882746257,7.685025957299211,338.1411421211653,7.685025957299211,0,131.606069518749,3.8425129786496055,335.2592573871781,0,369.84187419502456,4.803141223312007,354.4718222804261,0,26.89759085054724,25.936962605884837,351.58993754643893,3.8425129786496055
45003000000,45,003,000000,11.971537654846955,12.963934587402504,0.012759170653907496,11.592673308426733,13.28955015184287,0,11.24448886849752,0.4689159074523169,12.86038648926176,0.33468790282056327,0,11.204736623626314,0.42768892967162614,13.315805859605426,0,15.251802451333813,0.4922221493959057,13.342061567367983,0.012759170653907496,2.327620108802517,2.920440890520198,13.36463044285683,0.012759170653907496
45003000001,45,003,000001,259.956,472.104,0.996,221.112,507.96,0.996,201.192,12.948,503.976,10.956,0.996,232.068,11.952,484.056,3.984,564.732,14.94,525.888,0.996,24.9,95.616,522.9,3.984
45003000002,45,003,000002,396.27466504263094,113.79171741778319,0,392.2819732034105,119.78075517661388,0,378.30755176613883,21.959805115712545,108.8008526187576,4.990864799025578,0,382.3002436053593,20.96163215590743,109.79902557856272,0,159.7076735688185,17.967113276492082,120.778928136419,0,43.91961023142509,91.83191230207065,117.78440925700366,1.9963459196102313
