GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PREASKE,G16USSDDIX,G16USSRSCO,G16USSLBLE,G16USSASCA,G16USSOWRI
45001000001,45,001,000001,257.47882012719623,534.1825432822754,18.538465543156498,0.6866114029075261,3.4330507214455523,2.059831348226179,2.0598302040276195,230.01441893242608,556.8406663729908,11.67237210965531,1.3732216616164925,1.3732193732193732
45001000002,45,001,000002,481.45001538134323,326.306752981751,7.588529139110489,0,1.6863398086912198,1.6863398086912198,0.8431699043456099,437.60518035537154,338.11113164258956,5.90218933041927,4.21584952172805,0
45001000003,45,001,000003,327.9997400051229,361.9997130544344,6.999994451328842,2.9999976219980753,3.999996829330767,3.999996829330767,1.9999984146653835,303.99975902913826,367.99970829843056,12.999989695324992,3.999996829330767,0
45001000004,45,001,000004,201,356,6,1,2,3,0,184,342,19,5,0
45001000005,45,001,000005,162.68827705521403,643.3108552158889,9.183272922216267,1.0753781318035665,3.98728499846729,2.061969942397475,6.660185699079755e-4,158.85829351874153,627.7567736197919,14.267539270051447,8.925572199996097,0
45001000006,45,001,000006,96.07452569427439,278.8671773497588,4.057514489566089,1.0328878942011903,3.022950086101256,0.026155176065071072,0.006629899611859314,105.15920699369877,261.62610372886377,2.0922038603915207,2.0446220545938987,2.0019689255099387
45001000007,45,001,000007,789.1622713906056,522.8078973439638,8.132385085939834,3.019059300844459,4.018320202544385,4.007681904672045,3.008421002972119,749.1173672375022,510.63591545973486,10.19473667657373,8.01536380934409,0
45001000008,45,001,000008,144.3904664560117,524.2705780548989,8.454475010854358,4.21996458262981,1.3317373406017334,1.2492783861578787,0.04766269477543538,143.15405450496084,518.831787592262,10.529549986331547,1.1684988422017464,0
45001000009,45,001,000009,67,324,3,2,3,3,0,78,301,6,3,0
45001000010,45,001,000010,351.7743936815715,659.5573014221844,16.69281415423256,8.883873013063832,12.827869275347801,9.800702118160515,1.9522352852921823,343.6217459649504,684.8452840977396,18.78338936047336,4.999165288329269,0.039525691699604744
45001000011,45,001,000011,206.2312925170068,322.23639455782313,2.9744897959183674,0.9914965986394558,4.957482993197279,0,0,173.51190476190476,331.15986394557825,3.9659863945578233,4.957482993197279,0
45001000012,45,001,000012,162.91172768816637,616.1055863830655,5.0745032320390075,4.801558961158861,6.739736737357061,1.9381777761982009,0.014628493112213784,193.2685614122528,564.2154552272982,11.96479639548306,5.838793216567115,1.923549283085987
45001000013,45,001,000013,125.80850847887298,628.4934329006003,10.145234080714989,2.956300532968547,1.1424508473250097,2.9448012142207474,0.008765010251092605,129.68492453044834,602.8796643913221,15.228424616851918,1.1550743355947541,0
45001000014,45,001,000014,162.83772860939442,390.19210265603624,12.867614914060166,1.980940699155541,1.9816797974556148,0.9923180953279552,0.9915789970278813,155.88263276249785,373.36408454026514,18.80526332342627,1.9846361906559105,0
