GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREISTE,G16PREIMCM,G16PREOOTH,G16USSRLEE,G16USSDSNO,G16USSAFON,G16USSIBAR,G16GOVRHER,G16GOVDWEI,G16GOVLKAM,G16GOVASCH,G16ATGRREY,G16ATGDHAR,G16ATGLMCC,G16ATGAISB,G16AUDRDOU,G16AUDDMIT,G16AUDAGRE,G16TRERDAM,G16TREDHAN,G16TRECPRO
49035DRP008,49,035,DRP008,206,73,6,2,65,6,275,71,7,3,277,75,2,2,275,60,11,6,265,67,9,260,69,13
49035DRP009,49,035,DRP009,363.77120822622106,224.55012853470436,36.826221079691514,14.37120822622108,158.08329048843189,4.4910025706940875,528.1419023136247,211.9753213367609,16.167609254498714,18.862210796915168,509.27969151670953,242.51413881748073,25.14961439588689,11.676606683804627,475.14807197943446,204.78971722365037,59.28123393316195,23.353213367609253,461.6750642673522,235.32853470437018,49.401028277634964,435.6272493573265,241.6159383033419,52.99383033419023
49035DRP010,49,035,DRP010,389,225,44,5,181,4,578,231,11,21,579,249,13,4,552,196,52,21,524,219,40,519,212,39
49035DRP011,49,035,DRP011,490.14061851233356,204.5185446866675,17.23941326491955,4.3007356350752985,242.7422231348101,6.190882489324237,741.2547548438716,167.890454473819,16.74103016187154,21.674853691283303,746.2488718090152,175.636485726755,21.895000954681425,13.403382830281888,724.6209285867988,143.5101594014905,51.60441449236709,14.747354168624016,660.4279848190499,197.41854332283688,37.01647317951345,644.4821012386612,192.53516144723642,40.061031798468264
49035DRP013,49,035,DRP013,431.00644031119583,217.44469060745016,21.356174970374568,4.853676129630584,245.59601215930755,1.9414704518522334,696.9878922149519,189.29336905559276,10.678087485187284,10.678087485187284,687.2805399556906,215.50322015559792,13.590293162965635,6.795146581482817,658.1584831779072,175.70307589262714,38.82940903704467,17.473234066670102,621.2705445927147,198.0299860889278,36.88793858519244,603.7973105260446,204.82513267041062,33.975732907414084
49035DRP015,49,035,DRP015,449.8529411764706,220.03676470588235,26.404411764705884,6.845588235294118,236.66176470588235,5.867647058823529,675.7573529411765,229.81617647058823,18.580882352941178,15.647058823529411,688.4705882352941,227.86029411764707,21.514705882352942,8.801470588235295,655.2205882352941,186.78676470588235,63.56617647058824,9.779411764705882,607.3014705882352,241.5514705882353,40.095588235294116,588.7205882352941,237.63970588235296,45.963235294117645
49035DRP017,49,035,DRP017,521,156,31,2,204,4,729,153,12,16,734,170,15,4,716,131,42,13,684,174,25,669,157,36
49035DRP019,49,035,DRP019,501,214,25,3,157,6,686,173,25,14,673,208,16,8,651,164,44,19,626,174,51,615,174,44
49035DRP020,49,035,DRP020,451,169,20,4,168,2,630,145,17,13,609,182,18,13,597,137,51,12,559,165,39,536,168,50
49035DRP024,49,035,DRP024,455,242,28,5,190,3,653,228,16,17,652,235,28,5,629,196,50,21,566,249,42,555,229,54
49035DRP025,49,035,DRP025,349,297,39,8,143,5,507,285,28,15,515,283,37,7,468,257,64,20,456,284,42,445,290,34
49035DRP027,49,035,DRP027,308.7671601615074,231.06864064602962,37.16016150740242,4.053835800807537,158.09959623149393,6.756393001345895,468.2180349932705,224.9878869448183,17.566621803499327,11.485868102288022,454.02960969044415,244.5814266487214,28.37685060565276,8.783310901749664,445.24629878869445,200.66487213997308,51.3485868102288,16.890982503364736,406.0592193808883,231.06864064602962,51.3485868102288,412.8156123822342,212.8263795423957,49.99730820995962
49035DRP028,49,035,DRP028,369.42803361697025,257.1144857082934,26.91812305249281,9.282111397411313,117.88281474712367,1.8564222794822627,504.0186488794343,227.41172923657717,13.92316709611697,10.210322537152445,497.5211709012464,239.4784740532119,27.84633419223394,8.353900257670182,491.0236929230585,206.9910841622723,26.91812305249281,20.42064507430489,450.1824027744487,228.3399403763183,36.20023444990412,448.3259804949664,231.1245737955417,25.061700773010546
49035DRP029,49,035,DRP029,448.1774600504625,260.2952060555088,16.635407905803195,4.892767031118587,147.7615643397813,3.9142136248948693,614.5315391084945,233.87426408746845,17.613961312026913,14.67830109335576,616.488645920942,252.4667788057191,10.764087468460891,6.849873843566022,618.4457527333893,192.77502102607232,41.09924306139613,8.806980656013456,547.011354079058,261.27375946173254,27.399495374264088,521.5689655172414,258.3380992430614,38.16358284272498
49035DRP030,49,035,DRP030,301.9455578355189,205.7310553322366,22.09434103569098,4.964641243992274,106.43823045239112,1.0819800467970095,402.6603388446961,194.75570078051896,8.990934373443272,7.063966968071212,401.5137244283841,201.73348858923674,19.099756776747487,7.020877388394492,381.554617099836,162.8541643992608,44.10250291202852,18.94176165126618,369.63373283696427,180.96530188517752,33.99368050872431,360.5997088838443,180.99402827162868,34.087041264690534
49035DRP031,49,035,DRP031,501.07934928805884,233.71841262153396,36.57276330042249,5.000229077830829,187.21508935671673,3.0215840404747802,704.359511475163,209.65297326661715,24.851019232720166,16.957885677072255,712.2311984370347,222.782248431635,21.76509541091654,9.93611837433281,695.6379048541592,188.2016326704257,42.98052347556885,20.74360300157409,663.7357276330042,207.3176802269834,41.701671940911005,647.5205286461827,207.25334044565454,43.89478291602988
49035DRP032,49,035,DRP032,66.52228661162579,48.9375951001955,0.9839285714285714,0.33928571428571425,19.585507522478135,0.06785714285714285,81.32677467238895,46.0546362320048,3.2047954451432,3.0690811594289142,78.39340779867432,50.988819116767274,1.9164794340953524,2.102601725333562,79.05453008991253,41.71371849562339,4.578417736381409,4.340917736381409,72.16993919962613,46.08856480343337,7.613570324381753,70.30483747429257,50.683461973910134,1.814693719809638
49035EMG001,49,035,EMG001,194.02052446936833,744.142348785991,24.457869412297963,11.734266682043375,82.10162048411661,3.578609202056966,281.2612286484422,689.6644730684482,15.115008674458096,52.31226392296008,287.2197081219471,748.9403356190738,13.72386628994781,7.557200256592258,268.11457272019817,664.2178757692126,67.82786261117008,22.87493173516002,272.12169887598566,693.6491360399981,34.807065626845635,259.9965533691252,699.6124711079704,30.02607822225937
49035FUR001,49,035,FUR001,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0
