GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,G20GOVRCOX,G20GOVDPET,G20GOVLCOT,G20GOVADUE,G20GOVOWRI,G20ATGRREY,G20ATGDSKO,G20ATGLBAU,G20AUDRDOU,G20AUDCOST,G20AUDUFAB,G20TRERDAM,G20TRELSPE,G20TRECPRO
49001BEA4UN,49,001,BEA4UN,26.373976917108834,3.3812790919370297,0.16906395459685147,0,0,0,0,0,0,0,24.007081552752908,3.0431511827433266,1.1834476821779605,0.33812790919370295,0.8453197729842574,25.021465280334017,3.550343046533881,0.8453197729842574,24.514273416543464,3.0431511827433266,0.16906395459685147,23.330825734365504,0.8453197729842574,3.550343046533881
49001BEV1I-,49,001,BEV1I-,674.5771059721042,58.30682730537704,2.001511627067309,0.029510627724342844,0,0,0.9712451858093116,0.029510627724342844,1.0007558135336545,0,613.9146395069677,39.79414751955144,15.099869086177845,10.831250182524142,11.86151662378214,622.0977497815829,55.30455986477608,18.01360464360578,596.3141836515027,50.27127016938346,14.716230925761389,602.3777397881533,19.83805250432703,40.32273328949561
49001BEV2I-,49,001,BEV2I-,484.1333313370884,58.633240002743065,5.086779562539736,2.04621098554786,0.9943575914440159,0,2.9830727743320478,0.057495802659828114,1.051853394103844,0,449.5540898832081,47.58031489153923,19.92771868531321,13.214127702071348,8.357331350170924,445.3872431632256,64.42689814342766,21.91643386820124,432.4200276180205,43.200413907144366,26.140776390843552,430.89127885641113,34.61309934633413,44.72916266875377
49001BEV3I-,49,001,BEV3I-,7.490442148085419,0.616646569091778,0.03627332759363399,0.018136663796816995,0,0,0,0.018136663796816995,0.018136663796816995,0,6.619882285838204,0.5803732414981438,0.3264599483427059,0.09068331898408498,0.12695664657771896,6.873795578993642,0.562236577701327,0.3264599483427059,6.547335630650936,0.45341659492042496,0.09068331898408498,6.692428941025472,0.2539132931554379,0.308323284545889
49001BEV3UE,49,001,BEV3UE,94.63471282551284,7.790751176918733,0.45827948099521953,0.22913974049760977,0,0,0,0.22913974049760977,0.22913974049760977,0,83.63600528162758,7.3324716959235126,4.124515328956976,1.145698702488049,1.6039781834832685,86.8439616485941,7.103331955425904,4.124515328956976,82.71944631963713,5.728493512440245,1.145698702488049,84.55256424361801,3.207956366966537,3.8953755884593666
49001BEV3UN,49,001,BEV3UN,116.3105252131687,9.630186935202842,0.5651258564731052,0.27872169904321076,0,0,0,0.27872169904321076,0.27872169904321076,0,102.82432924168101,9.057378620343052,5.070767791484579,1.4089734119894213,1.9894641852358939,106.77252777860606,8.801704296459892,5.055402874711212,101.73248982066822,7.106326727040576,1.4012909536027374,103.90848620430712,3.9405160785383693,4.899600509854942
49001BEV3US,49,001,BEV3US,43.94778250896266,3.667006964011451,0.21998270438609227,0.10869315557604403,0.0025963932340042103,0,0.007789179702012631,0.10350036910803562,0.10609676234203982,0,38.896680208288814,3.431445900221333,1.9123381153907208,0.5512549575822328,0.745273729628283,40.33270340963129,3.3720842160913693,1.9175309018587292,38.4385400468786,2.696557743529067,0.5850080696242875,39.26135021327487,1.5372825374686416,1.8737475771327907
49001BEV3UW,49,001,BEV3UW,130.19171533166337,10.824646465473128,0.6164343338776072,0.28947211053504407,0.003046015321979848,0,0.02636009470870917,0.2833800798910843,0.30364814395583384,0,115.44145403327903,9.897161211036558,5.41704646029868,1.6459411348116255,2.2146932667266648,119.53132146508648,9.941116171503444,5.474804637170949,113.94615457587119,8.090759126681514,1.7544275289684421,116.31043547681251,4.415326614277888,5.657590030769102
49001BEV4UE,49,001,BEV4UE,13.782330345710626,1.7669654289372598,0.088348271446863,0,0,0,0,0,0,0,12.545454545454545,1.590268886043534,0.618437900128041,0.176696542893726,0.44174135723431496,13.075544174135723,1.855313700384123,0.44174135723431496,12.810499359795134,1.590268886043534,0.088348271446863,12.192061459667093,0.44174135723431496,1.855313700384123
49001BEV4US,49,001,BEV4US,122.55807740059502,15.382450060307676,0.7582008810235824,1.1501727907157152e-4,0,0,0.011532765447918744,1.1501727907157152e-4,0.011647782726990316,0,111.56038346090212,13.693286851099872,5.319399001729282,1.5972461374616675,3.8137248841765348,116.06368771981008,16.082412027696307,3.8841866669338345,113.5570495604321,13.819342150073478,0.9084718836837408,108.48282908236497,3.906792128713386,15.907810304070523
49001GRN1UN,49,001,GRN1UN,31.34935143552957,3.13506186707149,0.3483250797596336,0,0,0,0,0.696629213483146,0,0,28.56276127047056,3.135040921035369,0.6966815785734489,0.3483250797596336,0.348314606741573,28.21442571769287,4.179995214278148,1.0450171313511432,28.21442571769287,1.741782494069077,1.0449857122969615,30.652607018847757,1.7416987099245922,0.34847170201248173
49001GRN1US,49,001,GRN1US,58.651685393258425,5.865168539325843,0.651685393258427,0,0,0,0,1.303370786516854,0,0,53.43820224719101,5.865168539325843,1.303370786516854,0.651685393258427,0.651685393258427,52.78651685393258,7.820224719101124,1.955056179775281,52.78651685393258,3.258426966292135,1.955056179775281,57.348314606741575,3.258426966292135,0.651685393258427
49001MIL1I-,49,001,MIL1I-,57.042736049299755,21.866382152231573,0.9507122674883293,0.9507122674883293,0,0.9507122674883293,0,0,0,0,50.387750176881454,19.014245349766586,1.9014245349766585,2.8521368024649876,2.8521368024649876,50.387750176881454,18.063533082278255,9.507122674883293,53.239886979346444,12.35925947734828,5.704273604929975,53.239886979346444,9.507122674883293,8.556410407394964
