GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33001ALTO01,33,001,ALTO01,2209.0898899941535,1156.8154021101047,115.62492213830599,24.119264032865246,2.011571750097051,49.223927561936904,2211.638097938401,1197.4786960852819,49.25789174879164,69.36926625587813,0.015311209977871072,2173.6171852747652,1168.2213764095006,135.70922323771916,14.022659620647135
33001BARN01,33,001,BARN01,1520.6633009682066,925.3579529060221,125.04130423473391,19.996110951866115,0.003663111430710829,23.110860031256255,1454.9733109838776,1034.1412337356214,51.99753032507772,61.99115506938879,0.006466704589301799,1454.8410519385905,1018.1617017036989,116.01925154299617,0.015941723131023107
33001BELM01,33,001,BELM01,2166.7016126582016,1258.4476326550414,156.2295537641878,27.76060894139407,6.917276856027018,47.53155633588636,1984.7869529965005,1486.8318334848943,68.20704478809974,104.84861617837028,3.9577626139083364,2021.0467082868565,1396.06503075248,167.18807253095025,9.914720085597237
33001CENT01,33,001,CENT01,359.68710586106795,324.36018187929136,23.393926286239925,7.954873276661451,0.979592148772812,13.026490092239944,369.61187867009033,328.4989085367327,15.002544042972255,12.131514466068069,1.9709850558687314,384.90232320137267,307.16255700938433,21.249723931256796,1.9968340219619138
33001GILF01,33,001,GILF01,2535.2619655078097,1993.7784611727698,161.32937114936593,31.583010719528488,1.199876554182899,79.58606942235335,2525.309775973063,2089.903812985443,53.577089509617906,84.43142611647738,2.0925419501452933,2581.4477301244756,1932.0126839864897,165.0542317750348,12.23259769918454
33001GILM01,33,001,GILM01,1329.8845931891856,786.1378546296042,107.73297113273888,20.946441446697005,1.0010170215904801,31.922183719768114,1238.0850556314942,895.9066804980567,43.89417974046034,75.80840545731482,1.9956445852924296,1238.1067013882969,864.9543786463822,99.76799198286712,3.993065871508842
33001LACO01,33,001,LACO01,944.8977520462648,702.360537353479,74.18455470352528,10.558103400652406,0.03071679823710281,28.11130309270956,958.8511485411371,745.1670520706157,22.666640435052688,28.714719157987464,2.5038518623900408,970.3110919165171,695.4438882494485,58.234534246880564,3.1415836981636387
33001LACO02,33,001,LACO02,612.598368917985,469.47147838465827,46.03799547043115,7.00740792190796,3.000238965222837,10.018878252604159,571.5966961614251,518.4934631851593,22.012665156810385,37.019834113495506,4.7793044567488675e-4,582.6098392486812,469.4561846103967,78.03895133132251,0.0028675826740493203
33001LACO03,33,001,LACO03,526.3151125401929,555.0707395498392,42.69774919614148,10.456591639871382,0,14.813504823151126,548.0996784565916,573.3697749196142,18.29903536977492,18.29903536977492,3.485530546623794,544.6141479099679,547.2282958199357,42.69774919614148,0.8713826366559485
33001LACO04,33,001,LACO04,621.1454858642837,481.5188997041675,52.07942122695167,18.662217920848722,2.946615310663802,14.74407803229537,545.517235455882,589.5639577408018,11.798990680967082,34.38969452131232,2.9462497954549014,574.9834555255763,534.5502217652315,55.027044863723475,4.91199798145164
