GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRSUN,G18GOVDKEL,G18GOVIJAR,G18GOVOWRI
33001ALTO01,33,001,ALTO01,1938.9009573165897,748.7432556024742,16.183711942575094,0.007656886334113421
33001BARN01,33,001,BARN01,1248.011082870804,699.9880807761542,42.959408913777516,1.0005966939769566
33001BELM01,33,001,BELM01,1796.7877064098127,849.1933028340659,33.69072286201345,0.015981147870788488
33001CENT01,33,001,CENT01,375.2817113546316,227.06096305090077,11.994925917048269,0.9997100574137365
33001GILF01,33,001,GILF01,2325.2912153677225,1414.6780693568037,34.46821080269531,1.0268609841407474
33001GILM01,33,001,GILM01,1113.3844203763442,591.53215568025,27.925904543692855,0.9965746319379799
33001LACO01,33,001,LACO01,890.802910108816,494.5060305134551,15.523690179348804,0.0014849745542528609
33001LACO02,33,001,LACO02,509.54938104730326,346.3343123467496,16.008124817576473,2.3896522283744338e-4
33001LACO03,33,001,LACO03,501.04501607717043,398.2218649517685,10.456591639871382,0
33001LACO04,33,001,LACO04,513.0636888788608,367.49553999100584,14.736401148352,1.9636946869349081
33001LACO05,33,001,LACO05,418.9056277457637,271.648859725892,18.026023785797808,0.003469838106374249
33001LACO06,33,001,LACO06,859.260316901919,483.10035694157784,11.66853573203072,3.511722873841337e-4
33001MERE01,33,001,MERE01,1980.7933086835706,1218.4564373238702,42.06075593985702,1.0092672961174427
33001NEWH01,33,001,NEWH01,655.3645628757254,455.58083731742386,21.919898804233995,1.9633590165535826
33001SANB01,33,001,SANB01,930.6932129005751,589.2186693480813,21.46113841628897,3.006868155271535
33001TILT01,33,001,TILT01,826.6344352211822,551.948246251252,21.96018673389225,1.9884896094849247
33003ALBA01,33,003,ALBA01,120.69080501863732,149.39852180640275,4.939261824409867,0.0016850109851473411
33003BART01,33,003,BART01,771.438529899836,905.8095682437748,18.913129802746607,1.0731928514122426e-4
33003BROO01,33,003,BROO01,250.31774291515305,128.52413626527564,6.96111255255537,0.005077761376972759
33003CHAT01,33,003,CHAT01,111.2196412881521,89.79474795871204,2.464552614363935,0.009633260098022647
33003CONW01,33,003,CONW01,1857.4842261919648,2101.197220051204,49.61213114510166,0.993056506883039
33003EATO01,33,003,EATO01,122.51210687195383,134.85774742621268,2.0887225641498186,0.0029976867621627776
33003EFFI01,33,003,EFFI01,380.8927459505811,253.55795933900657,9.215123814262357,0.021602036250939028
33003FREE01,33,003,FREE01,435.3625000783557,340.69051422152546,9.821681551330633,0.9785727649918898
