GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33003CHAT01,33,003,CHAT01,137.65356843284508,151.81498364837609,8.788918586575226,145.1339256168191,138.2888440496685,7.04686047956299,1.001078064829424,95.59891788563012,196.88172066481243,4.582307865199055,0.05779956058813588
33003CONW01,33,003,CONW01,3354.0277008528574,2361.7868141978497,88.26740391560277,3511.8180764603167,2092.11700421671,112.94914403030144,0.9979753994459118,2086.2202669083226,3531.563902082228,63.45677017517488,5.933257028080738
33003EATO01,33,003,EATO01,194.05848445706638,121.44836020855574,4.148034588872966,203.38638115900514,107.96449234945412,6.180917089754473,0.0013520365049856345,132.79732557516527,178.54668210553385,4.111215090176738,0.008112219029913808
33003EFFI01,33,003,EFFI01,402.8093284381173,538.0663758074875,9.318604419906164,450.7952209968126,477.65629981232473,17.478018179814526,1.9960127695048218,278.2211633343618,656.4020230234507,13.334179012270175,1.0010162522559365
33003FREE01,33,003,FREE01,528.3366689785574,529.0846321529275,13.753121232683533,572.5812682836307,467.14717276725344,20.640988680572256,0.003987230495178298,327.05230363908555,719.5634862737445,14.74082320073655,0.005019842550884375
33003HALE01,33,003,HALE01,30.957510824582524,84.8834974222424,0.9986293814381458,33.95339896889696,85.88212680368055,0.9986293814381458,0,19.97258762876292,97.8656793809383,0,0
33003HART01,33,003,HART01,23,20,0,21,19,2,0,17,26,0,0
33003JACK01,33,003,JACK01,567.0002279250293,212.00012822856453,7.0000038153389195,577.0002347262857,205.0001182755065,5.000003151801716,0,424.00014863233355,328.00020436945863,33.00000232238021,0
33003MADI01,33,003,MADI01,918.9014515568184,754.1757439387229,16.86975659215476,988.3649235367179,683.7196187433008,15.877561259485718,0,590.4386052210963,1064.7765650883646,14.885127827732816,0
33003MOUL01,33,003,MOUL01,1611.6312336408814,2003.7312552711805,44.08636359577437,1706.862372223101,1905.1627406774805,35.34048734607354,0.02718480806582767,859.0196073508199,2748.1339848343555,15.250368782763601,0.0027811131918286736
33003OSSI01,33,003,OSSI01,964.0624197478191,1480.9218982916045,33.84884817086542,1070.2512023573497,1316.0815853194629,57.731139046866915,0.007582613585759048,566.7504198823143,1851.3485629469217,35.80678143225462,2.9812175402678593
33003SAND01,33,003,SAND01,718.0013997545323,413.00174162604424,12.000038373332973,741.0014826060467,387.00165615816627,11.000030524242137,1,526.0007456636293,584.0023887399775,12.000013081818059,2
33003TAMW01,33,003,TAMW01,900.0967906964303,838.8335609292869,31.039484465071485,963.1933082777161,752.7151075340726,50.04387162785721,2.004387162785721,644.7107203712868,1095.210856928859,24.030710139500048,1
33003TUFT01,33,003,TUFT01,872.2974009421034,1011.806253783474,13.115442591881942,918.6001139590985,939.3440127276735,23.187179921814018,5.929064398627533,491.6621488808502,1385.3105259011213,10.166705757900798,2.9882696340208765
