GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDBOL,G20USSRMAR,G20USSLBUC
20001000010,20,001,000010,32,134,4,35,133,2
20001000020,20,001,000020,17.856382978723403,100.19414893617021,1.9840425531914894,24.800531914893618,88.28989361702128,5.952127659574468
20001000030,20,001,000030,11,60,0.9999999999999999,11,55.99999999999999,1.9999999999999998
20001000040,20,001,000040,45,237,2,50,204,26
20001000050,20,001,000050,12,65,0,13,61,1
2000100006A,20,001,00006A,29.857464337357836,141.86533839887022,4.163374278467781,32.2662048702026,133.1168067043086,8.61725770592848
2000100006B,20,001,00006B,0,0,0,0,0,0
2000100006C,20,001,00006C,3.7808641975308643,13.762345679012347,0.15123456790123457,4.537037037037037,12.55246913580247,0.4537037037037037
2000100006D,20,001,00006D,0.033114723865483434,0.18146868678284922,0.0052983558184773495,0.03576390177472211,0.17087197514589453,0.010596711636954699
20001000070,20,001,000070,136.68615204685761,272.8537029622368,8.737080692914558,149.28684437664472,244.72616842151024,22.316603728964317
20001000080,20,001,000080,132.38297271907786,283.24361124099767,11.055491491965816,137.49718072832803,262.01142786846253,28.969476815430987
20001000130,20,001,000130,21.374282907435717,76.74174592738106,0.8988754854764436,25.54536979483592,69.98392925772858,2.671028526232693
20001000140,20,001,000140,88,284,6,100,259,19
20001000150,20,001,000150,16,76,1,17,73,4
2000100016A,20,001,00016A,33.31308115888212,108.12461615062561,2.9748775293897793,32.40720740680165,101.86936926748234,9.069339241815307
2000100016C,20,001,00016C,4.325153374233129,11.901840490797547,0.27607361963190186,4.754601226993866,10.950920245398773,0.9202453987730062
20001000170,20,001,000170,35,107,0,40,98,4
20001000180,20,001,000180,43,110,1,47,96.00000000000001,11
20001000190,20,001,000190,19,68,1,20,68,1
2000100020A,20,001,00020A,68.71582094815564,238.1483040265884,6.944795888089959,68.86818009107715,230.9922824637818,11.976418434087398
2000100020B,20,001,00020B,0.9298433717839044,1.767246174443093,0.0761275275144717,1.005970899298376,1.5769273556569137,0.18488113824943128
2000100020C,20,001,00020C,0,0,0,0,0,0
20001000210,20,001,000210,136.67484662576686,376.09815950920245,8.723926380368098,150.24539877300614,346.0490797546013,29.079754601226995
20001170010,20,001,170010,171.1381596857904,313.23652327271833,6.930316815375741,174.13279056945325,280.6194647190759,29.670184338580256
20001170020,20,001,170020,175.10936234405673,444.73798277155316,7.959516470184397,183.06887881424115,416.8796751259078,28.85324720441844
20001170030,20,001,170030,170.4951177066628,325.5315590655408,13.970032995117432,184.43532214469002,290.6181991123397,33.91354546086313
2000117003B,20,001,17003B,0,0,0,0,0,0
2000117003C,20,001,17003C,1.0756302521008403,3.630252100840336,0.10084033613445378,1.042016806722689,3.4285714285714284,0.3025210084033613
20001170040,20,001,170040,165.22298453256755,364.82351643769016,13.043492438193768,194.03963326771574,314.01551052718406,31.02986317358267
20001190010,20,001,190010,0.028766089151248897,0.15763816854884394,0.0046025742641998225,0.031067376283348807,0.14843302002044428,0.009205148528399645
20001190020,20,001,190020,0,0,0,0,0,0
20003000010,20,003,000010,26.052709352787204,121.92667977104412,1.5631625611672324,29.17903447512167,105.77399997231606,11.46319211522637
2000300002A,20,003,00002A,133.8422501894756,391.739893217624,9.841832777722807,144.6758253661722,345.47748710841915,39.366349406839085
2000300002B,20,003,00002B,0.0141378480424695,0.06445195431125801,0.001247457180217897,0.018711857703268456,0.05613557310980537,0.004574009660798956
2000300002C,20,003,00002C,0.004992705843755499,0.022760864875944184,4.4053286856666167e-4,0.006607993028499925,0.019823979085499772,0.001615287184744426
20003000030,20,003,000030,106.93789559800784,376.4701534310278,22.78376128485927,122.22274051641239,338.1189987513097,40.88069984068434
20003000040,20,003,000040,88.00000768776634,268.0000350471701,6.0000006783323245,92.00001017498487,237.0000305249546,32.000002487218524
20003000050,20,003,000050,16.878052687471143,69.49990285580033,5.955736462908911,19.857212189684198,62.549300915650434,6.94937863101017
20003000060,20,003,000060,17.434063595590587,58.81090786245892,1.394725087647247,17.89897195813967,52.30219078677176,5.811354531863529
20003000080,20,003,000080,11.84873949579832,56.28151260504202,0,9.873949579831933,49.36974789915966,5.92436974789916
20003000100,20,003,000100,7.424822835265989,35.63914960927674,0,8.167305118792587,34.649173231241285,0.7424822835265988
20003000110,20,003,000110,18.411464518103934,93.69136050072858,1.039789392211178,20.597580875650287,84.44662582559774,10.042252422195856
20003000120,20,003,000120,9.526209677419356,47.631048387096776,0.9072580645161291,9.97983870967742,43.54838709677419,4.536290322580646
20003000130,20,003,000130,11.473790322580646,57.368951612903224,1.092741935483871,12.02016129032258,52.4516129032258,5.463709677419355
2000300014A,20,003,00014A,33.34089129137298,148.36270675273914,2.943124362455317,43.57736649044913,129.30442411484697,10.73348184013654
20003000160,20,003,000160,24.098551151414473,112.79180762391384,1.4368374388327676,26.947015945046395,97.85625212852428,10.612438136874468
20003000170,20,003,000170,49,126,6,49,116,13
20003000180,20,003,000180,19,114,5,21,105,8
20003000190,20,003,000190,22.57517716473401,108.36085039072326,0,24.832694881207413,105.35082676875872,2.257517716473401
20003000200,20,003,000200,57.56593640440941,194.18909213754108,4.605274912352753,59.10102804186033,172.69780921322825,19.18864546813647
20003000210,20,003,000210,26.90709503868277,122.3197198316814,0.076554098093531045,30.14757147892035,114.78883123811417,4.384340375588076
20003000220,20,003,000220,36,110,2,40,94,14
20003000230,20,003,000230,3.8652126947600562,16.97932719483882,0.5521732421085794,3.174996142124332,15.87498071062166,1.3804331052714487
