GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20189000030,20,189,000030,25.839255023699852,98.51244525101438,13.8892855103343,0.007508535886235536,0.003003414354494214,110.49867006057012,18.99451971797071,2.9229399689963893,122.3366120249233,12.990444034192329,11.978287625796995,119.34605131079971,112.43219355276612,21.890428957776653
20189000040,20,189,000040,1.9999999999999998,25.999999999999996,3,0,0,27,1.9999999999999998,0.9999999999999999,29,0.9999999999999999,1.9999999999999998,27,30,0.9999999999999999
20189000050,20,189,000050,22.01340255800863,80.39677455968369,16.270775803745508,2.8713133771315604,0.9571044590438534,95.71044590438534,23.927611476096335,2.8713133771315604,106.23859495386773,17.227880262789363,15.313671344701655,104.32438603578002,105.28149049482388,17.227880262789363
20189000060,20,189,000060,31.015698455844706,142.75438072615407,15.092573956347445,4.002390644409024,0.014472095144888465,165.75043130530534,22.136687343288514,3.0127785522422665,167.8895060241168,22.03525117969746,15.077970363625726,167.8601673410965,171.83400828794626,17.08640173340268
20189000070,20,189,000070,7.175774399034536,26.602086642542293,3.1705248974031033,0,1,30.786550284552735,6.114859808588467,0.046975845838729234,32.81786751511189,4.130518423868043,4.139207666843951,33.793519656856404,31.77089166927316,5.161835654427196
20189000080,20,189,000080,87.23877620108054,224.60296794616426,52.461307876880824,4.937841527147321,1.9751366108589283,283.1237643878454,71.26897828141335,7.933930205274843,299.93550978052775,62.39178436337237,53.46806763777733,302.92289584272186,296.98107548888225,61.385024602475866
20189000090,20,189,000090,22,115,32,4,2,146,20,7,149,24,17,151,151,17
20189000100,20,189,000100,5,51,2,1,0,50,6,2,54,4,4,53,53,4
20189000110,20,189,000110,6.839897090953839,44.37040300997975,3.539822752155828,0.10920877473861215,0.02272771123765704,47.96954933294921,4.793307816275124,1.09882086690537,51.23967248434576,3.634345335188357,2.5172265384950028,48.19461155460094,51.257970414133744,2.5831947814831375
20189190010,20,189,190010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20189190020,20,189,190020,4.791728067590136,0,0,0,0,2.875036840554082,1.9166912270360545,0,2.875036840554082,1.9166912270360545,0.9583456135180273,3.833382454072109,3.833382454072109,0.9583456135180273
20189190030,20,189,190030,0.998024333740633,2.6242756306653012,0.5981686934779851,0.05464993696644363,0.021859974786577453,3.2864509683668786,0.8152781347673123,0.09058645941859025,3.487993555414189,0.7074685674108725,0.6075254007351336,3.5160636771856346,3.4410440720090607,0.7091248211067054
20189190040,20,189,190040,0.25591757634831547,0.6824468702621745,0.17061171756554364,0,0,0.7677527290449463,0.08530585878277182,0.08530585878277182,0.93836444661049,0.08530585878277182,0.08530585878277182,0.93836444661049,0.8530585878277182,0.17061171756554364
20189190050,20,189,190050,38,137,20,1,0,169,21,2,169,23,20,173,169,23
20189190060,20,189,190060,8.790448641215479,33.12396894736221,9.733408122458691,0,0,42.87636540169756,5.857134372164209,2.9143259371746097,44.819249359813966,6.828576351222413,7.790524164342286,42.88585956763589,41.90492342263936,8.771460309338819
20191000010,20,191,000010,39.04759540085527,66.04599097280517,10.01323401972073,4.001597200527251,1.0012335587376033,76.05691473792525,40.047545484814734,3.0047274560353214,90.06622701662724,29.04283231467026,30.03829023690624,90.07046248339509,92.06702561689086,27.041905366928823
20191000020,20,191,000020,368.4282860841133,554.2465660007497,105.62304924593943,21.481246395407602,7.831148421859449,651.7573446352291,358.7395903934484,40.82382333240916,736.154751463388,308.6946343815128,263.62582507346804,772.409107032135,748.0835486620396,293.5820977011345
2019100002A,20,191,00002A,0.8426159822088247,1.2583065334318448,0.24042642692358468,0.04943347095625106,0.01797580762045493,1.4830041286875315,0.8178992467306992,0.09437299000738837,1.6739970846548653,0.705550449102856,0.6021895552852401,1.7571351948994693,1.7009607960855477,0.6718458098145029
2019100002B,20,191,00002B,7.43140243902439,11.097560975609756,2.120426829268293,0.43597560975609756,0.15853658536585366,13.079268292682926,7.213414634146341,0.8323170731707317,14.763719512195122,6.222560975609756,5.310975609756097,15.496951219512196,15.001524390243903,5.92530487804878
20191000030,20,191,000030,6,8,2,0,0,10,5,0,14,2,0,15,13,2
20191000040,20,191,000040,65.92921462952006,38.95986267364601,20.97748366610725,2.9967636311983004,0.9988751278263834,69.92623586573625,53.94271309560345,2.99662538347915,87.9075088915218,39.95707882884259,37.95919032547067,87.90764713924095,83.9107641507439,42.95467194635579
20191000050,20,191,000050,111.97994861572201,115.97937909828912,23.996053231382383,13.99721219295449,0,150.97327028470826,105.98120013988654,7.998331301113959,184.9676348904983,76.9859250132978,55.9901729318686,208.9627612098452,173.96873760742102,89.98414028964343
20191000060,20,191,000060,25.48799987532531,27.78061638409325,8.17539927272313,1.0308468708826692,0.0011248721736166344,36.89482009069025,25.522895275148304,0.054688705477813,48.11776401939837,15.354868498285141,14.29886369301534,49.14732214736774,39.01411526311168,22.458350884568155
20191000070,20,191,000070,7,15,0,2,0,18,5,0,20,4,4,19,19,5
20191000080,20,191,000080,128,211,40,7,2,246,128,10,281,103,93,283,284,96
20191000090,20,191,000090,12,54,4,3,2,62,12,0,65,8,8,63,66,6
20191000100,20,191,000100,58,128,21,1,4,156,49,4,165,45,41,165,167,40
20191000110,20,191,000110,8.711083170453835,30.972740161613636,2.903694390151278,0,0,32.90853642171449,9.678981300504262,0,32.90853642171449,9.678981300504262,7.743185040403409,34.84433268181534,32.90853642171449,9.678981300504262
20191000120,20,191,000120,45,102,14,2,0,112,42,6,128,33,29,128,130,31
20191000130,20,191,000130,15.602836879432624,28.28014184397163,5.851063829787234,0.975177304964539,0,31.20567375886525,17.5531914893617,1.950354609929078,39.00709219858156,11.702127659574469,9.75177304964539,39.9822695035461,35.1063829787234,15.602836879432624
20191000140,20,191,000140,98.13543721236029,199.8007889546351,23.8560157790927,1.0361604207758055,0.982905982905983,223.71005917159763,84.98487836949376,13.097304404996713,245.49375410913873,75.31558185404339,62.324786324786324,251.5509533201841,244.56410256410257,72.31360946745562
20191000150,20,191,000150,4,19,3,0,0,21,5,0,21,5,3,23,22,4
20191000160,20,191,000160,13,42,6,1,0,44,13,4,51,10,9,52,50,12
20191000170,20,191,000170,28.08235294117647,63.411764705882355,8.152941176470588,0.9058823529411765,0.9058823529411765,62.50588235294118,34.423529411764704,0.9058823529411765,77.90588235294118,21.741176470588236,17.211764705882352,82.43529411764706,76.09411764705882,20.83529411764706
20191000180,20,191,000180,14,55,5,0,0,59,12,2,60,13,8,64,61,12
20191000190,20,191,000190,24,28,3,2,0,38,18,1,47,10,7,49,48,9
20191000200,20,191,000200,55,198,13,4,2,202.99999999999997,55,12,224,47,40,225,233,34
20191000210,20,191,000210,4,9,1,0,0,11,2,1,12,2,1,13,13,1
20191000220,20,191,000220,97.62150607225762,124.16968139335323,21.268879192719446,3.978736092730875,0.9781399055356599,137.34873545943444,97.82003548402231,10.825715431480495,163.1112553563028,82.94940748922272,77.01439158542053,167.02381497844544,162.4639978037083,83.5966650418172
20191000230,20,191,000230,27.779642638163114,54.044132639373416,12.859933787790508,1.9636652227651652,0,67.8538624252742,28.793511862818008,0.9818326113825826,80.61768637324778,16.029687914844434,20.874777745212725,74.7907639314969,71.78119287080453,24.866181417287677
20191000240,20,191,000240,158,301,49,10,5,337,160,16,382,134,126,384,386,131
20191000250,20,191,000250,33.86456278763971,43.19921104536489,5.143984220907298,0.9638395792241946,0.017094017094017096,49.289940828402365,27.015121630506247,5.902695595003287,52.50624589086128,29.68441814595661,25.675213675213676,55.44904667981591,53.43589743589744,28.68639053254438
20191000260,20,191,000260,20.545458468600124,35.22557906609519,1.960196235741818,0.9790813954628822,0.002033444816053512,37.19035055267314,18.5888207612864,1.9556209849056974,43.06026367461431,14.674528624250925,15.648526407673673,42.0842324463755,43.05772186859424,13.69798903480811
20191000270,20,191,000270,14.821040469425322,75.01269439368032,10.187095021193972,2.788590042277858e-4,0,81.49648131054755,18.524069714747828,0.925896740832741,92.60835763655736,8.33781127056654,4.633387730222894,93.535369813407,95.38688443606826,5.559284471055634
20191000280,20,191,000280,60.00000000000001,100,14,3,1,119,51,6,134,43,34,141,134,42
20191000290,20,191,000290,75.45454153139988,138.7744209339048,14.039803764258183,5.020918604537118,3.9979665551839463,161.80964944732688,68.4111792387136,5.044379015094303,182.9397363253857,52.325471375749075,47.35147359232633,183.9157675536245,177.94227813140577,52.30201096519189
20191000300,20,191,000300,18,38,6,2,0,41,18,0,50,14,12,49,50,10
20191000310,20,191,000310,12,43,1,0,0,45,7,2,51,4,4,49,46,7
20191000320,20,191,000320,37,72,14,5,2,81,41,6,105,25,24,103,106,23
20191000340,20,191,000340,97.97692418403459,97.46927172712249,27.159406444797153,3.553567198384674,2.5382622845604814,120.05980605971077,97.97692418403459,9.64539668132983,139.85825187928253,87.57004881733661,78.68613082137492,148.2345174183321,141.63503547847486,85.53943898968822
20191000350,20,191,000350,96.87761572606215,93.15155358275206,21.353202282815474,3.7260621433100822,1.719720989220038,117.08433734939759,90.571972098922,7.022194039315155,134.13823715916297,79.96702599873177,68.78883956880152,143.31008243500318,135.14140773620798,78.39061509194673
20191000360,20,191,000360,169.7413502874892,168.86313405641206,47.05261615872698,6.1565429916529375,4.397443823154417,208.00043554524038,169.74139707181104,16.71024910052932,242.30078742864018,151.71155458505731,136.3207117334651,256.8121976567877,245.37905892446665,148.1935433853476
20191000370,20,191,000370,93.6408862305504,93.155700291532,25.957447737484177,3.396301573128771,2.425929695091979,114.7464745778506,93.6408862305504,9.21853284134952,133.66872619956806,83.69457448067328,75.20382054785135,141.67429419337157,135.36687698613244,81.7538307245997
2019100037A,20,191,00037A,0.0033492362932408975,0.007535781659792018,0.0011164120977469657,1.395515122183707e-4,0,0.008791745269757354,0.0030701332688041556,0,0.009349951318630837,0.0023723757077123023,0.00195372117105719,0.00990815736750432,0.00976860585528595,0.00195372117105719
20191000380,20,191,000380,161.60558021559925,155.38998097653774,35.62016487000634,6.215599239061509,2.868738110336081,195.3132530120482,151.0868738110336,11.714013950538998,223.76157260621434,133.39632213062777,114.74952441344324,239.06150919467345,225.43500317057706,130.76664552948637
20191000390,20,191,000390,107.17713761143192,103.07132676929801,23.62479928642792,4.122238363520052,1.9023269739116944,129.5501464366382,100.20087886699962,7.767835143472752,148.417008608108,88.46721292765393,76.10049783709377,158.56487214914924,149.52828910302398,86.72182344143405
20191000400,20,191,000400,197.1845275840203,189.6005072923272,43.46227013316423,7.584020291693088,3.500317057704502,238.3132530120482,184.35003170577045,14.292961318960051,273.0247305009512,162.76474318325936,140.0126823081801,291.69308814204186,275.0665821179455,159.5561192136969
2019100041A,20,191,00041A,106.8655145927957,103.52743475310997,23.622345723248852,4.11213282673793,1.886383096404322,130.00432457216053,99.89883767025606,7.702730976984315,148.81083474961767,88.14129465311991,75.80489617290613,158.9714224018883,149.98613324277255,86.33720179449692
20191120030,20,191,120030,0.2239497682762745,0.447899536552549,0,0,0,0.447899536552549,0.2239497682762745,0,0.447899536552549,0.2239497682762745,0.2239497682762745,0.447899536552549,0.447899536552549,0.2239497682762745
2019112003A,20,191,12003A,0.7210552171349971,1.4421104342699942,0,0,0,1.4421104342699942,0.7210552171349971,0,1.4421104342699942,0.7210552171349971,0.7210552171349971,1.4421104342699942,1.4421104342699942,0.7210552171349971
20191120050,20,191,120050,22.73052455162297,47.98290926617265,9.517885513162906,0.910969789622066,0.02186009446434003,54.031796376562006,25.20111278691709,1.0639904508724463,58.71780589145838,22.40262313465787,21.447933156107123,58.80524626931574,62.81359285581757,18.30683617029868
20191120070,20,191,120070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191120120,20,191,120120,30.279582417695995,59.236602458086935,9.31387042020561,1.2395287251608926,0.12251377242336237,69.70832575517119,27.88220081565645,0.5002645707287297,74.81958287134397,22.256288127827677,18.537701952345,79.36931853057634,77.81329589332175,19.22173718170877
20191120130,20,191,120130,14.721975779671071,19.718234972522517,10.20013318244768,2.0261856500398836,0.018704035742773868,30.884700890633205,14.721975779671071,1.0710753358225407,38.03059236942684,7.645289233125699,4.5798251080259895,42.092315687378,39.04368519444678,7.630326004531479
2019112013A,20,191,12013A,23.87114598036986,23.747461286171053,6.617131139636205,0.8657928593916531,0.6184234709940379,29.251430178017994,23.87114598036986,2.350009189777344,34.07513325177148,21.335609749294306,19.171127600815176,36.11593070605181,34.50802968146731,20.840870972499076
20191900010,20,191,900010,1.2213702959653329e-4,2.0669343470182557e-4,3.131718707603418e-5,1.2526874830413672e-5,3.131718707603418e-6,2.3801062177785976e-4,1.2526874830413672e-4,9.395156122810254e-6,2.8185468368430763e-4,9.081984252049913e-5,9.395156122810253e-5,2.8185468368430763e-4,2.8811812109951444e-4,8.455640510529228e-5
