GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI
51001000101,51,001,000101,499.07037418468934,1277.5008582217645,30.819086852042567,11.929969104016477,7.953312736010985,5.9649845520082385
51001000201,51,001,000201,192.11726306425214,580.2329460223373,14.554338110928192,7.762313659161703,0.9702892073952128,0.9702892073952128
51001000202,51,001,000202,342,753,19,5,8,3
51001000301,51,001,000301,808,640,24,5,3,6
51001000401,51,001,000401,155.24256651017214,358.9984350547731,9.702660406885759,3.8810641627543037,0.9702660406885759,0
51001000402,51,001,000402,249.9834981225525,532.7375094662522,18.09764175673808,8.081368130615068,6.048820878369041,1.021698168164018
51001000403,51,001,000403,51.757433489827854,176.00156494522693,1.297339593114241,3.1189358372456963,1.029733959311424,0
51001000501,51,001,000501,449.8488386306631,265.5636641471542,12.064305956868417,1.0342965103298225,8.004287063791228,5.004287063791228
51001000502,51,001,000502,412.8375,122.146875,9.46875,4.734375,1.89375,1.89375
51001000601,51,001,000601,540.2112988317622,676.7374270819712,17.67964250722131,14.733035422684425,8.839821253610655,3.92880944604918
51001000602,51,001,000602,30.782837127845884,237.32574430823118,0.9929947460595446,0.9929947460595446,0.9929947460595446,1.9859894921190893
51001000701,51,001,000701,893.7623642170429,1034.2246044075514,40.1368856044541,21.570529873355603,7.866133081640497,14.667570056178253
51001000801,51,001,000801,240.9931534900206,404.7802759097754,14.241602851641879,3.119449918944777,5.035722799913494,3.9850154670433824
51001000802,51,001,000802,491.6102954001499,422.80479766666036,15.954898025156995,5.983086759433873,0,2.9915433797169366
51001000803,51,001,000803,151.31996080370837,364.64079153855323,6.777016761814699,1.9353409359563414,0.0014771048744460858,0.9739481636945666
51001000901,51,001,000901,1169.0768172018422,662.896214052977,26.785199623680594,11.893315122690776,4.958245836998447,0.01835137223036568
51003000101,51,003,000101,1434.196589162909,782.8280222686853,96.09726175781545,28.923722195631914,15.587550696526186,25.03927248910497
51003000103,51,003,000103,295.42090316568493,106.5980531969539,12.058120477081609,2.791049173004362,5.102071706027126,2.7837796186005677
51003000104,51,003,000104,1655.2220928046936,586.0254459512342,68.50956303095852,40.654535314037794,32.15723305323682,17.62130582286438
51003000105,51,003,000105,2018.8898508447323,862.0423960343962,98.59902279679082,81.37306415872631,23.980558570303863,29.03806612074521
51003000106,51,003,000106,1355.7418817651956,997.9791840133222,114.07160699417152,68.05995004163198,10.023313905079101,18.031640299750208
51003000201,51,003,000201,1797.763753158437,1035.5690432613253,99.28959463327344,61.931323065600495,19.89002603257169,32.58399496028705
51003000202,51,003,000202,2155.0334071721772,450.62021826873246,168.62960415780415,53.93132357036105,23.94708143783459,21.961649663356454
51003000203,51,003,000203,1359.9485686630687,383.9515574724559,64.53276256313498,39.205712162147826,20.040614838876618,22.719014781103198
51003000301,51,003,000301,1980.262349248514,915.0694227248983,89.78448865294459,50.55962805259537,20.83819586098831,14.45626302308835
51003000302,51,003,000302,1350.8880018580373,851.7221482650216,66.6598461532888,21.536324995586316,20.465161274258165,22.52858982328642
51003000304,51,003,000304,372.0276208411802,217.75266792215945,22.498430634023855,16.070307595731325,2.4105461393596985,3.2140615191462647
51003000305,51,003,000305,1323.6509274104612,695.6997651783139,77.01213634185032,49.504264858078415,22.703595809792844,24.85338675539947
51003000306,51,003,000306,773.5665716582117,527.7542927106773,39.94659295721475,8.350508655525385,24.238580112206552,8.700378003832228
51003000307,51,003,000307,479.5166042474939,333.1387592874036,33.349352490930386,21.58772852288808,7.255721949180271,11.42275991073282
51003000401,51,003,000401,515.2110541961534,651.830399257721,45.67417130305685,14.020519111950367,12.857732145561181,7.032156355036801
51003000402,51,003,000402,514.8066846022464,599.2966390449653,27.787002327032727,8.948733159939087,11.893019594525398,10.904869632824546
51003000405,51,003,000405,381.1217846160436,144.57756323050856,24.055185836283357,13.088911473703632,5.540384288893682,5.749087047816584
51003000406,51,003,000406,1048.2959388060026,1091.8111990401512,81.09457810086724,44.50145412357298,14.834236995948237,21.756077520032736
51003000407,51,003,000407,2059.4877877125796,711.5802260368624,128.89018377950944,70.61119497323517,29.535007792892113,30.46766859693808
51003000501,51,003,000501,662.8825204559852,491.0468616588695,27.3757329428261,10.727856111058488,8.48439162765923,14.640223959987763
51003000502,51,003,000502,620.5392128091878,584.1761948178473,42.76573303621293,20.87985966794637,6.975493729598726,10.966247444558181
51003000503,51,003,000503,1065.046323479839,680.9464768863241,73.38346168452955,51.66242076644988,13.169183919512228,22.566893625376714
51003000504,51,003,000504,256.8849231169771,117.32479669689434,17.00021816898617,7.190445763235396,3.0641753597860584,4.113306811362749
51003000506,51,003,000506,1302.4599302720646,1037.5697679373777,99.9585518244102,69.97098627708714,22.99046691961434,18.992124846637935
51003000507,51,003,000507,1189.9602976754597,570.1467592182594,81.36165638535935,34.56461296065962,13.795086958226655,19.421461782924528
51003000601,51,003,000601,1753.124318793217,1137.8922743853798,131.98255492092463,39.157418733252335,22.848086726184047,26.570132300505236
51003000602,51,003,000602,591.7940411191221,508.26575426385534,29.812280307302917,12.69493794048894,7.353890893678551,10.425833268857426
51003000603,51,003,000603,1147.936399308617,1060.7362683228494,85.12569602600325,44.38171073227205,14.862030266558431,24.03111457355672
51003000604,51,003,000604,1659.9795499082331,1041.9166109792886,135.82869460341513,62.38554753747461,11.866977487986757,22.895018964455787
51003000606,51,003,000606,349.5020483155207,221.213498831449,28.090524343288266,11.883679727405982,2.9792832783562857,4.939658390727971
51005005101,51,005,005101,148.4394184168013,545.9054927302101,12.695476575121162,6.836025848142165,1.9531502423263327,0.9765751211631664
51005005103,51,005,005103,59.52676987540203,219.21308690975638,2.089055697974954,4.246992084756796,0.992867332382311,0.13776137761377613
51005005201,51,005,005201,111.40375087365572,307.67565946433837,3.064899745322794,7.664447029634347,0.03387063553212752,3.8179581795817956
51005005202,51,005,005202,75.68277304820292,205.731281052968,10.103960252200947,1.609248336577854,0,1.07037219978499
51005005301,51,005,005301,79.46643188108362,338.2168869085145,6.783719794726651,0,0.9691028278180931,0
51005005302,51,005,005302,194,483,21,2,1,1
51005005401,51,005,005401,220.96873552570634,551.7616373320982,21.23245715609078,7.692276516905975,2.088235294117647,1.9590666975451598
