GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51001000101,51,001,000101,552.7552351527635,988.1991074493649,16.900789564023345,0
51001000201,51,001,000201,176.59263574592873,445.3627461944027,10.673181281347341,0
51001000202,51,001,000202,316,577,8,1
51001000301,51,001,000301,588,477,11,0
51001000401,51,001,000401,117.40219092331769,268.76369327073553,3.8810641627543037,0
51001000402,51,001,000402,272.7014219364203,389.8641581976504,8.065094504492054,0
51001000403,51,001,000403,48.59780907668232,133.23630672926447,0.1189358372456964,0
51001000501,51,001,000501,342.7802456100035,193.96776228017356,4.047157701703506,1
51001000502,51,001,000502,337.0875,98.475,0,0.946875
51001000601,51,001,000601,489.1367760331229,518.6028468784917,11.78642833814754,0
51001000602,51,001,000602,33.76182136602452,180.72504378283713,1.9859894921190893,0
51001000701,51,001,000701,846.5708447474416,797.947637916243,19.59950241023562,3.9045132413278627
51001000801,51,001,000801,254.9075464189294,336.47389770607373,3.1521219986103373,0.9962538667608456
51001000802,51,001,000802,407.84708076807567,327.0754095157184,8.97463013915081,0
51001000803,51,001,000803,171.51290178339175,294.0204190157332,10.635881794731812,0.0022156573116691287
51001000901,51,001,000901,984.9137498782142,521.0212707702444,14.868834972769411,0.002539860621542862
51003000101,51,003,000101,1478.7592513288157,663.5178728871199,58.35236919666473,4.968536665239187
51003000103,51,003,000103,281.1045230504468,85.74679101014766,10.197811864670303,0.4638460188892807
51003000104,51,003,000104,1608.2700604872878,483.0619139619944,44.76306423731477,1.6201657160641048
51003000105,51,003,000105,2122.980709536323,654.4515442056589,60.85574066540423,1.5199422434401566
51003000106,51,003,000106,1544.854748603352,869.397155916709,65.02590147282885,4.004570848146267
51003000201,51,003,000201,1911.9418588736264,875.1486211813107,59.89569060648459,9.463155463766716
51003000202,51,003,000202,2178.167632440598,334.80294131666517,82.84358510774325,6.991997047540904
51003000203,51,003,000203,1334.1882221718665,273.62372178561264,52.25329703234053,3.490959906262276
51003000301,51,003,000301,2099.1989891444937,867.9129215529174,57.74343575360074,7.345667524084977
51003000302,51,003,000302,1424.1134611527366,728.3574386928989,37.35057307802368,1.3777864652804752
51003000304,51,003,000304,384.8838669177652,181.59447583176396,14.463276836158192,2.4105461393596985
51003000305,51,003,000305,1471.7509525974167,529.358456176808,38.13780022821519,2.4051506127485087
51003000306,51,003,000306,771.5137112722094,448.3549269274278,23.302179225041936,2.042612510963103
51003000307,51,003,000307,830.336187393883,443.84475094111167,32.775320797316176,2.649153113293003
51003000401,51,003,000401,518.8871019444205,534.3349126075559,21.865113648390476,0.02502491321327697
51003000402,51,003,000402,528.6564854476346,472.7130122068685,15.969124888584698,1.016694954489432
51003000405,51,003,000405,1709.0149599270944,515.6154355220922,44.42882859289471,9.0396519372304045
51003000406,51,003,000406,1140.26038604912,995.866340440573,40.547436916818526,5.933206839309091
51003000407,51,003,000407,1034.5124021571135,238.123677009011,44.47071453176512,1.9729045439578612
51003000501,51,003,000501,704.7268228505488,416.9736327939399,12.623022692855779,0.09244981715270342
51003000502,51,003,000502,616.6916537654099,492.625297086661,24.853962839745183,0
