GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0202027-910,02,020,27-910,702.5526303752004,860.8021023251874,29.33449580573496,15.03902451066908,9.027874650477914,5,2,729.0710988740896,858.2278845253425,54.301046225161464,726.8425267401707,901.5679552611729
0202027-915,02,020,27-915,365.0044507826195,416.00304762424344,17.000268119434907,6.000031280600739,2.2343286242244974e-5,2,0,373.00486636774355,401.00258735254687,33.000241307491414,373.00468315279636,422.00285994063904
0202027-920,02,020,27-920,559.0084285380267,758.0057713483276,39.00050774325462,6.00005923671304,4.2311937885176215e-5,2,0,592.0092155400714,723.0048997224071,44.000456968929164,580.0088685821808,752.0054159280494
0202027-925,02,020,27-925,551,548,28,2,5,7,0,569,531,48,570,573
0202027-930,02,020,27-930,767,839,50,14,2,6,2,835,767,60,792,878
0202027-935,02,020,27-935,138.00427127785537,121.00292471033872,8.000257305894902,3.001902107191794e-5,2.1442157908512816e-5,0,2,158.00467010199247,106.0024830018858,5.000231575305412,151.0044942762976,117.00274459621228
0202028-105,02,020,28-105,623,532,17,2,4,0,0,676,492,21,650,532
0202028-110,02,020,28-110,1172.9136212624585,781.1129568106312,37.69767441860465,11.249169435215947,0,4,0,1298.6544850498337,663.172757475083,37.99667774086379,1234.0598006644518,789.8139534883721
0202028-115,02,020,28-115,759,389,34,5,0,3,0,819,380,24,798,423
0202028-120,02,020,28-120,853,567,17,6,0,3,3,912,538,25,879,602
0202028-125,02,020,28-125,494.097577637599,497.86965983010623,13.305584702111656,4.750708575681814,4.4562997556639385e-4,0,0,546.3567979860208,441.80948046676053,19.0051515786002,515.9526017804386,492.16581490585224
