GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39001001AAA,39,001,001AAA,534.1714107882227,96.50027601493366,12.026610426326258,4.021288341061006,4.010644170530504,534.0915795092438,80.4523772475464,6.0266104263262585,6.06386502318302,10.047898767387265
39001001AAB,39,001,001AAB,390,95,9,0,5,358,93,6,16,6
39001001AAD,39,001,001AAD,405.82858921177734,93.49972398506634,4.9733895736737415,3.9787116589389933,1.9893558294694966,390.9084204907561,84.5476227524536,4.9733895736737415,11.93613497681698,8.952101232612735
39001001AAE,39,001,001AAE,175.89294403892944,75.95377128953771,1.9987834549878345,0.9993917274939172,1.9987834549878345,168.89720194647202,68.9580291970803,3.997566909975669,1.9987834549878345,0.9993917274939172
39001001AAG,39,001,001AAG,258,73,8,2,1,239,86,9,5,2
39001001AAI,39,001,001AAI,684,168,20,6,4,680,154,15,13,9
39001001AAK,39,001,001AAK,412.99341392387913,192.45772382500337,17.934968847352025,2.00585805228227,2.033031965325748,426.7445652173913,171.82193891372071,7.932852498984152,5.032761072734661,10.91446566436408
39001001AAN,39,001,001AAN,643.3653840755838,129.46324506173562,10.84521591620778,2.9478179008800303,1.031405824626308,628.553657649983,128.45190220003389,5.91457303408688,7.893160276623284,10.852565663018957
39001001AAP,39,001,001AAP,490.65579253500454,165.24711407819407,8.990917926462053,3.9906368045526253,6.990566524075269,483.74048297689507,161.29442201877245,8.962336376778431,5.981343889582607,3.971980694135233
39001001AAR,39,001,001AAR,209.27553422194012,71.88862001481012,4.1262165450121655,0.022347402940865332,4.039260023273035,206.24953718396276,62.91153602031101,3.035041785676505,6.066433936316513,5.049521315984344
39001001AAS,39,001,001AAS,359.4438053148513,81.96990595362185,9.337685027319004,1.093839248275771,4.002858918439686,350.90555923931834,82.90177998528465,2.2222825934518844,6.2446326903730265,8.292147291984957
39001001AAT,39,001,001AAT,475.01178684453845,91.15821115924852,7.294908320366301,1.1722188952004857,0.9900941059930658,454.75459275165855,86.10508600003173,7.294908320366301,6.395876608976945,5.405782502983879
39001001AAU,39,001,001AAU,256.64924114671163,58.20910623946037,3.5278246205733557,1.7639123102866778,0,252.23946037099495,47.6256323777403,3.5278246205733557,4.409780775716695,4.409780775716695
39001001AAW,39,001,001AAW,580.8381078152512,155.6998848706488,22.940031152647975,3.9724028172829473,6.928924556413382,577.1086956521739,160.308495868888,6.034538805363673,11.90202153596099,9.03662129215766
39001001AAY,39,001,001AAY,396.0223880597015,110.17164179104478,13.895522388059701,2.9776119402985075,1.9850746268656716,387.08955223880594,111.16417910447761,3.970149253731343,7.940298507462686,8.932835820895523
39001001AAZ,39,001,001AAZ,389.860349127182,107.68329177057356,8.145885286783042,4,4.022443890274314,388.860349127182,92.4925187032419,8.056109725685786,9.11221945137157,4.100997506234414
39001001ABA,39,001,001ABA,350,164,19,4,5,353,150,14,10,10
39001001ABC,39,001,001ABC,340.139650872818,148.31670822942644,12.854114713216957,0,1.9775561097256857,340.139650872818,131.5074812967581,4.943890274314215,9.88778054862843,8.899002493765586
39001001ABE,39,001,001ABE,497.8516020236088,76.78077571669478,14.107925801011804,0.05396290050590219,0,474.71669477234406,81.45699831365935,3.1079258010118047,10.134907251264755,3.134907251264756
39001001ABG,39,001,001ABG,451.4394905653997,96.32006371977279,13.62101911188706,0.9729299365633615,0,437.81847145351264,86.59076435413917,1.945859873126723,6.81050955594353,16.539808921577144
39001001ABH,39,001,001ABH,357.5605094346003,74.67993628022721,3.378980888112939,1.0270700634366385,5,356.18152854648736,59.409235645860825,7.0541401268732775,3.1894904440564695,10.460191078422856
39003002AAA,39,003,002AAA,379.10950214066685,122.10280068946153,16.73990009452295,0.9847000055601737,2.954100016680521,380.094202146227,104.37820058937841,9.847000055601736,14.770500083402606,6.892900038921216
39003002AAC,39,003,002AAC,351.6319491498328,104.65023141288438,9.017405102307839,3.0432815729076124,2.0007444778346586,372.4757917264915,77.79478543468711,4.950326370396439,1.145606743453369,5.034656082707688
39003002AAE,39,003,002AAE,350.7939724704835,119.12419432752976,18.0142151619044,6.0119185012145016,2.003972833738167,360.81204161069604,103.09241165762442,4.000765553563299,6.0262787290405715,21.00491667044645
39003002AAG,39,003,002AAG,167.06977722889133,38.013955445778265,11.001804583505809,4.001082750103486,2.0003609167011622,162.07146150683008,43.01106811216897,4.000240611134108,6.002045194639918,5.001323361237594
39003002AAH,39,003,002AAH,282.94867818855454,249.98502372068248,31.733798563918466,1.923556692752498,0.9650897255299009,288.71646223152993,217.3026547663914,12.498009317015352,20.190516446812772,8.65167758660698
39003002AAJ,39,003,002AAJ,323.50656986228825,196.27380305669317,22.68491191107509,3.94520207149132,3.94520207149132,341.2599791839992,163.7258859668898,5.91780310723698,16.76710880383811,11.83560621447396
39003002AAK,39,003,002AAK,204,202,15,10,9,223,167,13,13,6
39003002AAO,39,003,002AAO,365.9167566296185,286.8494609974849,27.646904478764153,5.689447673465374,4.134888324002539,384.1784936100307,252.85551049797024,7.762588534565397,11.10714975554311,13.775940472811877
39003002AAP,39,003,002AAP,355.80798208735166,241.73214050209387,19.012640264209633,7.242910576841765,1.8107276442104412,379.34744146208743,200.08540468525374,8.148274398946985,11.769729687367867,9.053638221052205
39003002AAQ,39,003,002AAQ,385.0649698595927,247.03873203168024,20.002498840753564,5.000999536301426,7.000999536301426,410.06671904812015,210.03023597311812,11.001999072602851,15.003248492979633,4.001499304452138
