GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16001011401,16,001,011401,1191.7544194664586,386.1698794107983,21.013672328502867,4.000173476679518,4.000173476679518,1.0040038582532773,2.0009668470249586,1208.7520763619482,381.1692225106063,21.014552437188065,9.01227178977911
16001011402,16,001,011402,915.2226710233846,370.58740929182505,17.829420950708005,4.467444775968077,1.280520635854219,1.905919115194088,1.9153426185200302,931.9784040223435,356.2583665726836,24.25811488916195,8.222499791867824
16001011403,16,001,011403,532.2531060343226,215.716224843011,10.365391176446101,2.5945632689935128,0.7416378664534179,1.108949008899777,1.108949008899777,541.8745208171284,207.56639315717754,14.06305713637214,4.811292023199616
16001011404,16,001,011404,2177.3690149336653,583.0344964385788,58.42034277926387,6.631498646759198,9.63147368241034,4.631474238240148,1.631448718061482,2137.105569949357,583.1925148240402,74.73582832251282,19.73667893709644
16001011405,16,001,011405,1436.7582119775461,510.25495133207244,30.010729414776595,5.001532773539513,9.001532773539514,3.0015327735395134,0.001532773539513556,1413.755146430467,497.2529076340197,57.01634958442148,12.006642018671226
16001011406,16,001,011406,3874.6094583578433,1289.4843290625204,71.12580159174968,13.068680909635676,11.226694319867535,5.0735228438370905,6.013684108911757,3972.569653435007,1160.893066842495,98.71722145895426,31.27323050788165
16001011407,16,001,011407,859.4641509433962,505.15849056603776,15.879245283018868,4.962264150943396,1.9849056603773585,0,2.9773584905660377,856.4867924528302,495.23396226415093,25.80377358490566,2.9773584905660377
16001011408,16,001,011408,870.4242103003791,694.6045303234499,15.12508893491698,7.031272233729244,3.008934923922641,2.013402385883962,1.013402385883962,905.5403643113734,636.5062461603009,42.169763554530185,11.058077005497168
16001011409,16,001,011409,834,561,28,2,4,4,1,863,530,32,9
16001011410,16,001,011410,901.7740347050216,730.1119194236929,20.120817011863696,3.0639619474572517,4.021320649152417,1.0071068830508059,1.0142137661016115,892.3496922321368,700.2804141067487,43.3695579186419,11.063961947457251
16001011411,16,001,011411,1257.7874136665434,774.882607392712,43.701812659566876,9.057519951523176,4.989037306970341,1.0063911057247972,0.04291822165364495,1249.6762816945363,752.6732515280142,63.16658944156718,18.906839900502924
16001011412,16,001,011412,1138.8052006793228,382.9864019328592,16.1184313057835,2.3021049863158987,2.303161989742657,2.301574618349653,2.3010442503834065,1134.2295409967307,379.88624026695237,24.56159900274294,9.972622655152456
16001011413,16,001,011413,3747.544636545892,1871.825711363481,93.7679175703112,17.465217648443012,14.766752837743251,6.438462034933494,5.866822325936304,3805.831912861529,1735.1625619472827,165.9723062656399,34.646269280015986
16001011414,16,001,011414,1931.9221624523598,819.1048642155117,50.229236321885516,9.442783940806574,13.038718113634793,4.520804873251865,5.143709901184826,1934.050555735692,796.8640666776521,79.48245884472888,18.262662853680187
16001011415,16,001,011415,1068.9629270176445,393.1088302069737,22.03794069867818,2.7559635150727337,2.754897978137786,2.75454279915947,0.9184769155350866,1124.0646159596724,339.83699151644953,31.225373696366418,6.428450461299816
16001011416,16,001,011416,1605.8589458421202,901.6066021763902,19.620684797534484,9.199424311730665,3.353382472549188,1.2447120488406536,2.0472010609720543,1689.8199895375938,782.1203829658491,54.996873997879284,9.727623632803736
16001011417,16,001,011417,1528.636879815993,646.3041551640216,45.01274638693154,7.002637183503078,8.003955775254617,4.001758122335385,1.0013185917515388,1494.6360007548255,659.2887715935871,50.02241605977616,17.00615342817385
16001011418,16,001,011418,1448.363120184007,691.6958448359784,28.98725361306846,5.997362816496922,8.996044224745384,3.998241877664615,2.998681408248461,1446.3639992451745,656.711228406413,50.977583940223845,13.993846571826152
16001011419,16,001,011419,908.539752617817,515.1719915942787,31.948650641505655,6.988767327829362,7.987162660376414,1.9967906650941034,0.9983953325470517,869.602334648482,528.1511309173903,38.937417969335016,21.964697316035135
16001011501,16,001,011501,1140,951,41,6,4,3,5,1206,880,68,12
16001011502,16,001,011502,954,809,40,10,4,3,0,1023,750,42,14
16001011503,16,001,011503,725,664,28,9,4,2,2,732,648,41,11
16001011504,16,001,011504,1308.7975103315537,1177.626516362896,66.0304604640524,16.0076151160131,9.003461416369591,8.001384566547836,1.0013845665478365,1317.7753572667884,1167.6202858134307,69.03876786333942,17.01176881565661
16001011505,16,001,011505,736,577,28,8,3,3,1,755,558,32,10
16001011506,16,001,011506,723,739,33,9,10,2,2,720,743,52,8
16001011507,16,001,011507,820,698,33,7,13,5,4,814,699,41,9
16001011508,16,001,011508,732,720,24,6,7,2,5,722,711,56,11
16001011509,16,001,011509,1034.7360433604335,1037.8753387533875,55.74579945799458,9.934417344173442,8.803252032520325,3.700813008130081,1.7008130081300814,1007.3837398373984,1059.1252032520324,58.97940379403794,21.803252032520327
16001011510,16,001,011510,936.298439398187,981.9714045416316,58.3040089711242,9.30823910537956,12.077974021119521,3.2595956764165344,5.660617387783073,875.927882129396,1036.8850138616328,63.87244805781391,15.919608759305984
16001011511,16,001,011511,392.9655172413793,424.15325670498083,24.950191570881227,6.757343550446999,3.1187739463601534,1.0395913154533845,3.6385696040868454,385.68837803320565,432.98978288633464,30.14814814814815,7.277139208173691
16001011512,16,001,011512,547,563,20,6,4,2,1,505,571,38,14
16001011513,16,001,011513,610,548,43,6,4,2,1,573,572,33,12
16001011514,16,001,011514,665,526,20,6,5,6,0,641,524,40,13
16001011515,16,001,011515,454,346,24,4,5,2,0,447,340,26,6
16001011601,16,001,011601,939.4418442470677,1146.887246259611,25.8344914965235,2.7693686631414036,7.380924347251879,0.9227363396701316,3.865480436696414e-4,980.9719373970097,1092.4345923258065,40.60194513766047,7.3820839913828875
16001011602,16,001,011602,718.9116398381427,1107.6756439295993,31.324530996446853,7.873505999752697,8.019022301240556,3.9142919110133545,1.8753639262871185,720.7551750147426,1100.8197137151249,40.157724595562314,12.83596082106424
16001011603,16,001,011603,747,1564,43,6,4,4,1,743,1537,61,13
16001011604,16,001,011604,480,934,30,7,9,3,4,488,916,40,8
16001011605,16,001,011605,429,1048,33,12,4,4,3,426,1044,50,5
16001011606,16,001,011606,333.0071937078173,1146.010475629817,42.00041990921207,7.000143653151498,6.0000442009696915,1.0000773516969603,2.000011050242423,339.00659699472646,1158.0108513380594,24.000629863818105,7.000143653151498
16001011607,16,001,011607,808.8503342254891,932.8273941067754,34.99352496649211,13.997409986596844,10.997964989468949,0.9998149990426317,2.999444997127895,761.8590292704853,969.8205490713527,57.98926994447264,20.996114979895268
16001011608,16,001,011608,657.9553343235698,964.0642771807999,37.736186717743045,12.721635425420754,4.314253203048118,6.827894502842191,1.0785633007620294,607.511040989334,995.5366794687664,56.06274362474556,13.082659726666762
16001011609,16,001,011609,635.3900586097917,642.0783750162105,39.17442466616761,5.732842634073308,9.554737723455514,3.8218950893822057,0,654.4995340567027,633.4791110651006,34.39705580443985,12.421159040492167
16001011610,16,001,011610,923.713686607202,979.9692916892208,51.775505234223104,15.252136336043904,12.433245452638255,13.165086684719379,4.994992990039071,900.6282448081034,989.5585416204088,86.51782502622436,19.5598143216563
16001011611,16,001,011611,652.4951635191156,858.2832795946568,18.61262091202211,9.209580838323353,4.064486411791801,3.1128512206356516,2.0161216029479503,671.6245969599263,837.8314140948871,36.918931368033164,5.209580838323353
16001011612,16,001,011612,393.8962547830063,522.9523332945688,23.050070099609293,5.015021029882788,2.0120168239062304,1.0130182258984162,3.0050070099609294,371.87222113519385,507.9623473144906,37.0851191693358,15.019026637851532
16001011613,16,001,011613,551.9491017964073,870.8383233532935,38.11377245508982,8.038922155688622,4.0119760479041915,6.020958083832336,4.002994011976048,570.7874251497007,875.940119760479,34.17065868263473,13.038922155688622
16001011614,16,001,011614,564,726,43,5,6,5,1,555,718,51,17
16001011615,16,001,011615,725.2171700033933,1308.578893790295,53.02239565659993,11.004750593824227,10.007465218866644,6,4.002035968781812,679.2212419409569,1318.582965727859,72.02103834407872,25.008143875127246
16001011701,16,001,011701,661,849,40,11,9,1,5,621,877,38,15
16001011702,16,001,011702,665,802.0000000000001,35,10,10,1,4,656,787,55,14
16001011703,16,001,011703,627,899,35,11,2,3,5,576,902,65,12
16001011704,16,001,011704,345.4524661264284,904.5658271745868,34.71804965901293,7.479891286086716,11.23466169098442,0.18862275449101798,3.092081378359289,350.23959891281334,910.8509913343648,33.500067976865004,12.521278831021476
16001011705,16,001,011705,420,850,36,9,7,4,6,409,872,43,8
16001011706,16,001,011706,569,1142,38,10,12,5,1,542,1160,45,13
16001011707,16,001,011707,378,878,25,10,6,4,3,391,882,32,4
16001011708,16,001,011708,454,1171,45,13,5,4,2,470,1162,39,9
16001011709,16,001,011709,413,958,32,5,5,0,3,417,944.9999999999999,37,4
16001011710,16,001,011710,204.07186909659032,519.811270771583,20.40526789722444,3.1144922151518077,4.05088858301988,6.04126787635996e-4,2.0302914990968737,198.18454893137923,495.59074411630627,39.43800429004355,2.045423055359465
