GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRLIT,G18GOVDJOR,G18GOVLBOE,G18GOVCBAY,G18GOVOWRI,G18LTGRMCG,G18LTGDCOL,G18SOSRDEN,G18SOSDHUM,G18CONRWOO,G18TRERELL,G18ATGRWAS,G18ATGDBIS,G18SPIRYBA,G18SPIDWIL
16049497004,16,049,497004,208.99717767238184,60.99917625844637,6.999905472280731,1.999972992080209,0,199.9972992080209,67.99908173072711,204.9972316882214,61.99916275448648,238.99677255358498,234.99682656942454,205.99721818426153,60.99917625844637,183.9975152713792,91.9987576356896
16049497005,16,049,497005,120.59582596832286,21.276489817989717,3.0249877316586713,1.0066352387257653,0,118.58001448313064,26.317289034840606,121.60450832254116,21.290254187689396,128.6631661400768,131.6544837858585,120.59328496058217,23.290748079937547,121.56010876695335,23.328018504551448
16049497006,16,049,497006,101,24,1,0,0,100,28,99,24,99,103,107,14,99,22
16049497007,16,049,497007,163.96703296703296,27.318681318681318,1.1758241758241759,0.04395604395604396,0,144.83516483516485,41.53846153846154,156.65934065934064,29.626373626373628,164.45054945054946,166.53846153846155,154.7912087912088,29.450549450549453,132.7032967032967,55.75824175824176
16049497008,16,049,497008,140.00282232761816,28.000823741553628,9.452771926901189e-5,1.000027007919791,0,126.00270079197911,35.000918269272894,128.0027683117786,28.000837245513523,127.00322744641502,127.00317343057544,131.00278181573847,33.00082374155363,112.00248472862079,58.00124236431039
16049497009,16,049,497009,133.47761194029852,25.07761194029851,0.808955223880597,6.471641791044776,0,139.1402985074627,25.07761194029851,139.94925373134328,21.032835820895524,135.9044776119403,132.6686567164179,137.52238805970148,22.650746268656718,132.6686567164179,29.122388059701493
16049497010,16,049,497010,267,51,1,7,0,265,48,265,51,281,276,263,45,244,78
16049497011,16,049,497011,212,60,4,3,0,206,67,211,62,225,226,215,57,207,67
16049497012,16,049,497012,208.13874667264943,58.26743331413582,3.0639795845257747,3.7850485805276817,0,207.27805704921974,58.42760188676909,208.20241016946326,59.3725029522181,235.7294970666833,233.92733103533882,211.97376011985398,54.44269383953403,193.84896800136568,74.71396173737305
16049497013,16,049,497013,330.2526315789474,107.43157894736842,2.9842105263157896,11.936842105263159,0,325.27894736842103,116.38421052631578,328.2631578947368,114.39473684210526,371.03684210526313,370.0421052631579,344.17894736842106,87.53684210526316,317.32105263157894,115.38947368421053
16049497014,16,049,497014,428.60466511628954,92.19413849183346,2.942366122079791,7.846309658879443,0,424.68151028684986,101.02123685807283,420.7583554574101,102.00202556543275,444.29728443404844,450.1820166782081,438.41255218988886,86.30940624767388,388.3923281145324,143.19515127454983
16049497015,16,049,497015,124.18131274348903,41.732060770159165,1.0557888594700244,3.1481552857700037,0,129.09524248067783,38.910497459270346,127.02208734701793,38.92970875191042,129.47946833347922,129.59473608931964,442.7848647842809,38.6223280696693,120.39918480059673,45.725512932092236
16049497016,16,049,497016,15.194429860964886,6.877136303304574,0.16210039064449774,0.040525097661124436,0,15.072854567981514,9.20278055666176,15.61842709902087,8.576157830300156,18.470897621972675,17.844274895611072,16.4476753136881,7.706384517971802,11.412914666578866,12.943770653386657
16049497017,16,049,497017,522.8330146028883,171.76478666252555,3.7630831763768735,5.819251630236952,0,508.07620428544044,188.57776543383343,515.5755049665524,183.77316519470563,564.94605854608335,565.7726502356999,528.5716692181998,158.60742838102738,478.90559325060923,214.86561632518797
16049497018,16,049,497018,107.66500306586362,29.128012215786693,3.6995611491681877,0.923038435440195,0,104.9256295588226,34.270397732090906,101.44541998619684,35.919457418301064,118.55296019778548,120.21066115755258,104.38080115105846,32.03926427437685,101.22810347595083,39.80715412668545
16049497019,16,049,497019,644.369469925091,168.52313361782353,10.02551219720174,14.094245439811028,0,658.257210299723,175.54816851545567,662.388503027099,168.4430501121826,676.5716454393134,686.549508193929,662.3246538174405,157.24901307270855,616.855649278619,210.93587293974076
16049497020,16,049,497020,58.72930072923964,26.876120672702886,3.981647507067094,0,0,56.73847697570609,32.848591933303524,57.73388885247286,29.862356303003207,64.70177198984028,65.69718386660705,56.73847697570609,32.848591933303524,56.73847697570609,30.857768179769977
16049497021,16,049,497021,206.19615689737975,78.85520860719714,3.0573393840155556,3.0427733185909918,0,210.22327732714024,76.83793823137981,213.27065402461213,72.76863146290948,234.47497596200378,238.4875303263397,208.28192879976277,68.7333347824929,196.19493362449472,89.92948046922848
16049497022,16,049,497022,251.38338555461365,90.41853093553567,8.94249184445182,3.9744409182942255,0,258.3386566738661,90.41853129027197,260.32587757643364,90.41853093553567,284.17252273146266,286.1597427471894,259.332267213834,79.48881854325266,248.4025542894465,99.36102348946008
16049497023,16,049,497023,80.56015396047755,11.921887591942804,1.16701409640162,0.07298697021967464,0,85.13063595450093,11.203464035829837,85.21181908738218,10.239018524764099,84.00460160478588,84.90672886460254,84.32036054653612,10.865590229025214,83.8635738435859,10.695805227714324
16049497024,16,049,497024,206,16,3,7,0,203,26,205,24,216,217,205,21,183,42
16049497025,16,049,497025,195.03465302104468,30.05953733495063,4.70068687107894,1.25085898143186,0,195.83861724405529,32.78120212801944,195.92293890306135,32.84289803445218,208.07343774089117,208.81700728100756,197.77234129097988,27.873295947905298,189.41097786745135,40.26772685579261
16049497026,16,049,497026,137.8434544549527,20.676455948232952,0.9634146341463414,3.8536585365853657,0,140.05425584868095,22.578646092583373,140.758337481334,22.343952215032353,140.99303135888502,137.86809357889499,140.758337481334,19.45370831259333,136.32379293180688,26.77849676455948
16049497027,16,049,497027,54.253969910179926,23.211423763823102,1.0559801171340957,0.9663035396123374,0,53.73604925817638,25.05435426552602,56.634959877013394,23.032070608779584,60.32082088041922,58.47789037871631,55.578979759879296,21.189140107076668,50.74746206181761,27.863588306841272
16051513501,16,051,513501,284.2542443323018,81.49946865471591,5.963375755223115,3.9755838368154097,0,293.1993079651365,77.5238848179005,286.24203625070953,75.53609289949279,315.0650190676212,312.0833311900097,314.0711231084174,57.645965633823444,187.84633628952813,177.9073766974896
16051513502,16,051,513502,173.20437956204378,52.05596107055961,4.732360097323601,1.8929440389294403,0,169.4184914841849,63.413625304136254,174.1508515815085,57.73479318734793,198.75912408759123,195.9197080291971,182.669099756691,45.43065693430657,135.34549878345499,93.7007299270073
