GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05001000011,05,001,000011,22.453993055555557,10.21701388888889,1.0868055555555556,25.497395833333332,8.21701388888889,0.06510416666666667,24.38888888888889,9.303819444444445,0.08680555555555555,23.38888888888889,10.260416666666666,0.10850694444444445,29.497395833333332,3.2604166666666665,29.497395833333332,3.2604166666666665,24.38888888888889,9.238715277777779,0.13020833333333334
05001000012,05,001,000012,32,9,0,33,8,0,31,10,0,29,11,1,39,2,38,3,29,12,0
05001000013,05,001,000013,157.50025266109182,54.20588781847523,5.024848810862797,158.48671002657017,55.21548567982134,4.015250949516684,153.47343146364125,60.22876424275026,3.0056530881705705,144.44490195119565,69.26886400312974,3.0056530881705705,168.52483740036186,43.18130307920518,171.54206073646634,37.18156715079792,143.41216359398177,66.27478116289305,5.988165680473373
05001000014,05,001,000014,65.31336805555556,9.74826388888889,3.8993055555555554,67.26302083333333,9.74826388888889,2.9244791666666665,62.388888888888886,13.647569444444445,3.8993055555555554,62.388888888888886,11.697916666666666,4.874131944444445,67.26302083333333,11.697916666666666,67.26302083333333,11.697916666666666,62.388888888888886,10.723090277777777,5.848958333333333
05001000015,05,001,000015,68,15,0,75,7,0,71,9,2,71,10,1,79,3,76,5,72,8,2
05001000021,05,001,000021,107.9422583934716,20.926862530289423,2.8604434106661087,113.64449928433055,18.085065050096578,0.9503734818098253,111.72510639023764,19.995134978952862,0.9596964470464583,108.86466297957153,21.89588194257251,0.9596964470464583,120.30643662223596,12.373501194000994,115.57321514366011,17.106722672576854,103.16242208871257,26.657072316858272,1.9100699288562835
05001000022,05,001,000022,295.486626488101,36.9415847461604,3.0063516141206805,298.48604465286513,30.956703276048305,5.995298136778765,281.51154136661216,43.93783535018007,8.991189103881295,264.55439369392633,59.89054733831488,8.994677818735324,306.4658591252949,24.978810230732137,295.49363140552873,32.958608210530116,266.5493211987001,51.90728813138255,13.98552927587522
05001000023,05,001,000023,59.10061299237087,2.1080327837684045,1.0079514048872311,59.13516173261859,3.0814354484079076,0.005758123374621392,57.14229141634262,4.083628729920517,0.9964351581379884,56.13434001145539,4.09514497666976,0.9964351581379884,60.16614563100431,2.056209673396812,62.11870908365794,0.10364622074318505,56.099791271207664,5.114612628306234,1.0021932815126098
05001000031,05,001,000031,62.709788375156045,6.383862733805276,0.9582235361505053,63.69984215003334,5.405224484042136,0.015915119363395226,60.90924673264804,8.195819901427434,0.015915119363395226,58.91322406353006,11.054575390515556,0.015915119363395226,64.58298968361612,4.394755995552204,63.70434174428258,5.209743457432153,56.134044171258914,12.00346665918547,0.983470922994491
05001000032,05,001,000032,21.391507169046736,13.201138050076406,1.00968156140385,21.415031466492472,13.177613752630668,0.004704859489147226,19.409782922152218,15.182862296970928,0.004704859489147226,20.353596450708004,15.220501172884106,0.004704859489147226,25.39259453874896,10.157978787397413,24.406437274790846,9.134182647526123,20.33948187224056,15.248730329818988,0.004704859489147226
05001000033,05,001,000033,3,4,0,3,4,0,3,4,0,3,4,0,4,3,3,4,2,4,1
05001000034,05,001,000034,48,20,0,51,17,0,49,19,0,48,20,0,55,13,51,17,46,22,0
05001000035,05,001,000035,75,17,1,82,11,0,77,15,1,73,20,0,88,5,87,6,69,24,0
05001000036,05,001,000036,30,19,0,31,19,2,29,22,1,28,21,3,36,14,30,19,22,25,2
05001000037,05,001,000037,68,9,2,70,9,0,72,7,0,69,9,0,74,4,70,6,70,8,0
05001000038,05,001,000038,49.84245660881175,7.818424566088117,0.9773030707610146,50.81975967957276,5.863818424566088,0.9773030707610146,50.81975967957276,4.886515353805073,1.9546061415220293,49.84245660881175,7.818424566088117,0.9773030707610146,54.728971962616825,3.9092122830440585,50.81975967957276,6.841121495327103,47.887850467289724,8.795727636849133,0.9773030707610146
05001000041,05,001,000041,68.7835001166815,5.342291043397935,1.9405605759872555,70.69833721999994,5.346578288842737,0.01929260450160772,67.71461318345742,8.317440589050845,0.03215434083601286,65.74618551207895,8.362456666221263,0.9831420243280329,66.93511531775746,7.175670483265148,67.8968211148615,5.247971643612297,62.86106812076688,11.243286812088533,0.9938601379400372
05001000042,05,001,000042,88.30453107401296,20.94622771775024,2.104399702402563,91.0264520477378,18.188836667022702,2.115735372649663,86.9089359384825,24.288916755268648,0.1713427763102467,85.71842069196022,25.504803341260594,0.11808332325369034,93.43624616192331,15.65316476988913,94.51026424152872,13.5867187271669,85.6992734555969,22.494389784367378,3.1589755814691167
05001000043,05,001,000043,50,4,0,47,5,2,47,6,1,47,6,1,49,5,48,6,45,6,3
05001000044,05,001,000044,61.95717137764439,13.068238271053305,1.027294498408282,57.98433958879643,17.06836050824434,1.0000040500652019,56.94327762902558,15.10929820579156,2.0001283122888367,57.91573460617003,17.109675042527666,1.013649274236742,62.929758692110276,12.09565500665262,61.94327965405818,10.068488820533176,57.87492724594424,16.15048240275345,1.013649274236742
05001000045,05,001,000045,7.885391945733796,2.956861478197559,7.577554275572642e-6,8.870962356628931,1.9712561405735902,4.250428310967681e-5,6.899750200859723,2.956890307893389,0.9856204927325195,5.914108455985648,3.9425108006259086,0.9856204927325195,7.885341863896412,1.9712637181278658,7.885299359613302,1.9712849702694206,6.899700119022337,3.942532052767463,2.8829695830411046e-5
05001000046,05,001,000046,54,5,0,53,6,0,51,8,0,50,9,0,52,7,52,6,49,9,0
05001000047,05,001,000047,19.32491024561812,35.36467738798903,0.012758134934510905,15.977081942859725,40.46786202064065,0.0641638590643993,16.912918083795326,39.63521051235668,0.03827440480353272,14.964323807925213,41.54515719903141,0.11556958319428767,22.273131337096387,31.901279502036346,24.260373202161876,30.914037636970857,13.771085861948325,42.71250569074743,0.10281144825977677
05001000048,05,001,000048,10.77586444413831,8.339440694310511,0.04849152775864444,10.77586444413831,6.290949166551867,2.096983055517289,9.678881388621022,9.339440694310511,0.14547458327593332,9.727372916379666,8.290949166551867,1.1454745832759334,12.8728474996556,6.193966111034578,9.824355971896955,9.242457638793223,9.727372916379666,8.339440694310511,1.0969830555172888
05001000051,05,001,000051,57,91,3,54,94,2,50,98,3,46,102,3,69,77,72,74,45,101,3
05001000053,05,001,000053,172,55,4,175,50,3,166,54,8,154,60.99999999999999,9,169,53,176,49,150,71,6.999999999999999
05001000055,05,001,000055,266.7460124007879,54.09313747606182,7.007537274768208,275.7535386804682,48.07801894617392,6.015118529887901,262.71068085561006,61.110775760931034,5.022699785007594,248.66782852829587,72.15111932835178,8.022683292375788,278.7737242080384,50.06285643593453,277.7459519278046,50.08305845613655,244.67290102352212,74.1309063130619,9.035304057458115
05001000071,05,001,000071,213.45934314106856,346.35706934290897,12.903105834049006,178.73000677323043,377.1169381790839,13.895472716964816,169.79403211470117,385.0628823108408,19.847337658316203,147.96079251248162,409.8732225618078,13.893136360821343,225.37358662641697,314.5954881992444,235.2984236336468,305.66184989685866,144.98369186373418,408.87735114467677,18.858475309615603
05001000081,05,001,000081,612.5014924563952,243.28703359705042,6.024711699308338,606.566802181095,245.28026725948519,8.969551480956403,563.6447623707417,282.2226060825343,14.949252468260672,544.6640318656074,303.1515595380992,8.992056836958438,649.3313044994342,199.48090373548987,648.3571930242188,199.43589302348582,547.5863662912534,298.23599145001845,13.97514099304533
05001000091,05,001,000091,673.9980463333968,216.99937100051497,15.999953622157786,673.9980463333968,208.9993941894361,17.99994782492751,630.9981709738477,256.99925505590943,14.999956520772924,590.9982869184532,286.9991680974553,21.999936230466957,721.9979071998702,165.99951882988705,731.9978782137188,151.99955941049896,594.9982753239927,271.9992115766824,25.999924636006405
05003000001,05,003,000001,186.42377763535737,249.1291355615324,7.236947597758569,173.65350470468928,259.20146819757764,5.005049899947479,169.47653509495626,265.21561723444097,6.015191809665248,168.44669167932366,265.4391674113778,6.959972564826832,192.875176273137,236.70820476272888,202.8090213927164,222.73692032268426,160.28675037792226,274.4489760545124,7.045035225297835
05003000002,05,003,000002,285.7814390939344,258.89607722795455,9.957541431844405,270.8451269461678,267.8578645166145,12.944803861397727,260.8875855143234,280.80266837801224,9.957541431844405,263.8748479438767,284.78568495075,6.970279002291083,301.7135053848855,246.94702750974125,308.68378438717656,239.97674850745017,262.8790938006923,283.78993080756555,7.966033145475524
05003000003,05,003,000003,573,136,15,566,152,8,552,162,10,553,167,6,594,127,597,123,545,173,10
05003000004,05,003,000004,250,51,6,247,53,7,244,55,8,234,64,5,247,57,249,54,237,64,5
05003000005,05,003,000005,140.51301814447095,38.659416912180625,4.947901250390211,142.48683174589058,38.66280102530496,2.9690114792840725,137.53994572943768,40.64304444166083,5.936669313318413,140.50692674084715,41.63215091590146,2.969688301908939,147.43879393203,37.666249502190794,146.4530715709137,38.65061821805737,140.50421945034768,41.635196617713355,2.969688301908939
05003000006,05,003,000006,279.94533942641675,128.5330361257039,8.053778373492689,277.2500940099896,135.73106386834078,2.1989006496039596,272.0554339866538,138.79277279601197,2.3655562532168055,269.90274013144193,143.8272025573146,2.3732097836817765,291.2901694496875,112.58392953389219,295.09726283127236,105.61991308568045,262.25756845164415,148.53572662832698,4.292392980026333
05003000007,05,003,000007,161.18535960835464,54.030230322392605,9.009546417597665,161.18854174755387,60.03182139199221,2.0063642783984434,168.18854174755387,55.03341246159183,2.0047732087988326,162.18774621275406,62.03341246159183,1.0055687435986378,171.19808816515155,53.02704818319338,178.1925194215529,46.030230322392605,161.18695067795426,61.03420799639163,3.003977673999027
05003000008,05,003,000008,135.39406823718733,25.226391401647305,4.008249312557287,136.30284110995404,24.176733963269204,2.149133878168675,133.34441079880924,27.20973121349835,2.107725752347863,130.39406823718733,30.23464071420459,3.0331588132635257,139.34424923577487,20.88655395645476,141.42706548741648,19.80373770481314,129.27825473531655,30.292547465139975,3.0745669390843378
05003000009,05,003,000009,303.27889867132666,38.80158549897357,3.0254337489007264,301.2721375322656,42.76908564617237,2.026015500480209,296.2758210727758,44.72760559407873,4.037989542616738,302.28417680423985,40.71405947312798,2.033036229652049,309.27801461338754,35.56586958056675,308.35791431565315,34.4465585716545,303.2518726409516,39.77692387420584,2.033036229652049
05003000010,05,003,000010,232.81464039164533,37.969769677607395,11.990453582402335,236.81145825244613,39.96817860800778,7.9936357216015566,236.81145825244613,41.96658753840817,5.995226791201167,235.8122537872459,41.96658753840817,6.994431256401362,248.80191183484845,33.972951816806614,241.8074805784471,37.969769677607395,234.81304932204574,42.965792003608364,4.996022326000973
05003000011,05,003,000011,279.4551031357903,63.158050409580305,6.158628785336165,284.5448548591883,62.12813316844764,4.143878600688448,278.2587651451604,69.33922134372528,4.181170934144978,271.22105593986663,73.3843056413429,5.2041299547910285,292.9158224353138,56.87071008004065,298.99082397406414,51.73545718718777,263.9870087439429,77.54293442667908,7.188962898306074
05003000012,05,003,000012,150.3648803720082,55.29931045546825,3.251577252908366,155.9203902990064,53.662273251001054,1.2354822169137536,145.95363246849158,59.86218149159585,4.183813204600189,145.21092543256344,61.76455917813224,2.9483309876864356,159.55102538344218,51.11549725086806,163.81065015434785,44.91558901027326,140.3223109751879,64.59917281636045,3.0620483371446596
05003000013,05,003,000013,50.06125769077417,123.20272575153773,8.666449045995009,43.3250664120451,130.8948474907723,6.749331883196878,36.58624701242247,140.51985511816636,7.705262343702382,42.35073910528467,139.55866841587374,0.9848397903346768,61.640176173476235,115.47906656158041,71.24941507550894,105.86719953865415,41.36852743584355,137.65206373664986,3.8657717763189967
05003000014,05,003,000014,390.1187588014273,64.33991338341372,5.92334491576046,387.20968842976015,65.31474608977902,7.871307299200921,383.2013553739256,70.27874204651249,5.9297535175524505,382.21727952228525,70.29246676465111,8.862699267187859,406.89297600776774,51.53472610751088,405.949110796079,51.481754263884824,374.32215284502564,76.20582902031062,7.88321698823027
05003000015,05,003,000015,115,6,2,112,6,3,110,10,3,114,7,2,114,8,117,6,111,10,1
05003000016,05,003,000016,261.216404886562,35.11867364746946,5,251.20593368237348,44.1151832460733,6.013961605584642,245.21291448516578,47.1151832460733,10.010471204188482,252.21640488656195,45.11867364746946,6.003490401396161,269.20942408376965,31.083769633507853,274.216404886562,26.076788830715532,248.20942408376962,49.12216404886562,6.006980802792321
05003000017,05,003,000017,20,1,1,20,1,1,20,1,1,20,1,1,20,2,20,2,19,2,1
05003000018,05,003,000018,62,6,1,59,9,1,60,9,0,60,7,1,60,7,59,8,59,9,0
05003000019,05,003,000019,28.996726001090604,24.996906118016543,1.1715185692377372e-5,24.997240000808777,26.99665204695388,5.857592846188686e-6,25.997104178888176,26.996657904546726,0.9998846796543602,23.997372893932955,28.996397975891217,0.9998788220615141,28.996755289054832,24.99689440283085,29.996631182319927,21.99725793664631,23.997361178747262,28.99640969107691,0.9998788220615141
05003000020,05,003,000020,140.0032739989094,28.003093881983453,3.999988284814308,142.00275999919123,28.00334795304612,1.999994142407154,139.00289582111182,30.003342095453274,4.00011532034564,144.00262710606705,28.003602024108783,2.0001211779384858,150.00324471094515,24.00310559716915,151.00336881768007,18.00274206335369,140.00263882125273,32.003590308923094,2.0001211779384858
05003000021,05,003,000021,72.90996504404372,61.383064009716904,1.0479000940297096,70.86394606629989,62.48074531406221,0.998118883714114,69.81604597227017,64.47698308149045,1.0479000940297096,63.7775514596699,68.56902103697809,0.998118883714114,79.84701601972691,48.457299731749025,74.95598402178754,49.405637405147544,57.838619367700815,70.46569638377512,3.0441378614579375
05003000022,05,003,000022,20.090034955956288,9.616935990283094,0.9520999059702904,19.13605393370011,11.519254685937788,0.0018811162858860682,18.183954027729822,11.52301691850956,0.9520999059702904,17.222448540330102,13.430978963021913,0.0018811162858860682,19.15298398027309,10.542700268250979,21.044015978212464,9.594362594852461,18.16138063229919,11.534303616224877,0.9558621385420626
05003000023,05,003,000023,0.9895104895104895,2.9685314685314683,2.9685314685314683,2.9685314685314683,3.958041958041958,0,1.979020979020979,3.958041958041958,0,2.9685314685314683,3.958041958041958,0,1.979020979020979,4.9475524475524475,2.9685314685314683,2.9685314685314683,2.9685314685314683,3.958041958041958,0
05003000024,05,003,000024,24.01048951048951,1.0314685314685315,1.0314685314685315,22.031468531468533,4.041958041958042,0,22.02097902097902,4.041958041958042,0,21.03146853146853,4.041958041958042,1,24.02097902097902,2.0524475524475525,24.03146853146853,2.0314685314685317,19.031468531468533,6.041958041958042,0
05003000025,05,003,000025,21.716825775658062,67.12473421567037,0.9871284443480938,15.7940551095695,73.04750488175894,0,15.7940551095695,71.07324799306275,0.9871284443480938,12.832669776525218,77.9831471034994,0,29.61385333044281,51.330679106100874,29.61385333044281,53.30493599479706,10.858412887829031,79.9574039921956,0
05003000026,05,003,000026,2.2831742243419373,1.8752657843296245,0.01287155565190624,2.2059448904304997,1.952495118241062,0,2.2059448904304997,1.9267520069372495,0.01287155565190624,2.167330223474781,2.016852896500593,0,2.386146669557187,1.6693208938991246,2.386146669557187,1.695064005202937,2.141587112170969,2.0425960078044056,0
05003000027,05,003,000027,23.35268677559469,51.37591090630832,1.8682149420475753,24.28679424661848,49.50769596426075,1.8682149420475753,23.35268677559469,52.31001837733211,0.9341074710237877,22.418579304570905,53.24412584835589,1.8682149420475753,28.02322413071363,47.639481022213175,29.891439072761205,42.96894366709424,22.418579304570905,51.37591090630832,2.802322413071363
05003000028,05,003,000028,4.647313224405307,7.624089093691676,0.1317850579524246,3.7132057533815197,8.492304035739252,0.1317850579524246,4.647313224405307,7.689981622667889,0.0658925289762123,4.581420695429095,7.755874151644101,0.1317850579524246,4.976775869286369,7.360518977786827,5.108560927238794,7.031056332905766,4.581420695429095,7.624089093691676,0.1976775869286369
05003000029,05,003,000029,38.00926342681412,114.89998526141946,0.0013633662509622566,37.011638750748496,115.89897330373606,0.9989880423165907,34.014674623798726,118.89457406443488,1.9979760846331813,32.01397180666362,117.89967612087116,2.9969641269497718,49.00222199104951,96.91547376721891,49.00222199104951,94.91749768258573,34.01331125754776,119.89628883925339,0
05003000030,05,003,000030,34.99073657318588,12.100014738580532,0.9986366337490378,35.988361249251504,12.101026696263942,0.0010119576834093777,35.985325376201274,11.105425935565131,0.0020239153668187553,33.98602819333638,14.100323879128835,0.003035873050228133,37.99777800895049,10.084526232781087,37.99777800895049,10.082502317414267,34.98668874245224,13.103711160746617,0
050050001-1,05,005,0001-1,433.64044943820227,67.87415730337078,23.56741573033708,420.4426966292135,86.72808988764045,16.025842696629212,428.92696629213486,80.12921348314607,15.083146067415731,419.5,93.32696629213483,10.369662921348315,444.0101123595506,65.98876404494382,444.95280898876405,63.16067415730337,420.4426966292135,86.72808988764045,17.91123595505618
050050001-2,05,005,0001-2,441.22645429310893,97.72735462951051,19.132613343542285,430.0094770120851,114.92090244230229,13.144658958951768,430.18023480442406,113.80907151664455,15.08372448970228,428.0704114813346,116.8599679730528,14.131267503560922,445.36641396952973,95.59476360077583,449.3014642951438,93.56462724744453,420.0295530377676,114.87536703101189,20.16475729944183
050050001-3,05,005,0001-3,270.773545706891,80.27264537048947,14.867386656457716,249.9905229879149,100.07909755769771,14.855341041048232,264.81976519557594,90.19092848335545,9.91627551029772,254.9295885186654,95.1400320269472,13.868732496439078,283.63358603047027,68.40523639922417,278.6985357048562,65.43537275255547,249.97044696223242,96.1246329689881,17.835242700558165
