GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
05001000047,05,001,000047,20.271265415137165,45.12487103696207,0.07729517839075496,2.012758134934511,4.0127581349345105,12.012758134934511,0,1.0514057241298884,25.142937697008367,55.240067435764516,2,0
05001000048,05,001,000048,10.600220416035267,7.290949166551867,1,0.04849152775864444,0.04849152775864444,4.048491527758644,1,0.04849152775864444,12.406254305000688,10.581898333103734,1,0
05001000051,05,001,000051,64,133,3,7,3,6,2,0,70,138,7,0
05001000053,05,001,000053,223.99999999999997,73,9,1,1,6,1,2,199,100,9,0
05001000055,05,001,000055,280.8242182634556,82.16369061553868,10.012571287186907,0.005050505050505051,1.012620765082327,8.030259049951544,3.0126097699944556,6.005017519786891,270.80912172374343,114.22664600726407,4.017654777501025,0
05001000071,05,001,000071,156.93181251316298,511.0969809753639,12.904274012120743,8.931301946242291,14.885503243737153,26.79624219487035,6.947736358482408,4.965338948794262,199.59307487589717,508.1362348196208,17.864940248628056,0
05001000081,05,001,000081,640.564301222496,349.0409444861027,22.967197830003766,3.012355849654169,11.959401974608538,16.964991486697464,3.012355849654169,3.9864673248695124,626.3866120254324,403.1733283558696,23.94130930521911,0
05001000091,05,001,000091,688.9980028541697,306.9991101251525,20.999939129082094,6.999979709694031,9.999971013848617,9.999971013848617,7.999976811078893,6.999979709694031,651.9981101029298,370.9989246137837,24.99992753462154,0
05003000001,05,003,000001,231.3784031015776,353.18060696278695,22.269713257911913,6.04578684133943,3.9741637115129365,1.1584801791410462,3.9632701857535726,1.0843110444294077,237.17676716885748,332.600777635384,24.608460667712734,0
05003000002,05,003,000002,305.69652195762325,320.63283410538986,13.940558004582167,2.9872624295533217,1.991508286368881,2.9872624295533217,1.991508286368881,2.9872624295533217,294.7432263825944,292.7517180962255,26.885361865979892,3.983016572737762
05003000003,05,003,000003,654,194,17,5,5,3,3,1,644,191,23,1
05003000004,05,003,000004,333,76,10,3,0,0,2,1,306,77,18,0
05003000005,05,003,000005,208.7745629082597,47.59623154552695,0.0074450488735267875,0.9911369421152341,1.9795665937310039,0.9894448855530689,0.990460119490368,1.9785513597937048,198.88552863372794,50.5567827420002,3.9645477684609363,0
05003000006,05,003,000006,420.62377693205747,205.70223459981293,17.78196285640356,3.9792390666312483,1.0550848990957509,4.022845436014591,1.054244886645358,2.0284070599116557,420.8338870725999,180.93787788246243,26.209249303571625,0.01698342726223795
05003000007,05,003,000007,223.26013987953638,62.03500353119144,3.0079553479980543,3.0007955347998054,1.0031821391992217,3.0007955347998054,2,0,198.24582025313987,71.05011869238774,12.00715981319825,0
05003000008,05,003,000008,169.147986940588,35.541319346133605,4.099476439790576,1.0331588132635254,0,0.03315881326352531,0,1,153.73390568237988,42.58256590892004,9.231950129810299,0
05003000009,05,003,000009,365.44487173786433,54.04573460590303,3.0375144078839473,5.016862125263555,0.9996765092914275,3.0178964979870657,5.165217418204197e-4,1.0128140545869218,346.54613761079617,59.75070701970205,11.061483676505897,0
05003000010,05,003,000010,326.7398601204636,43.964996468808565,9.992044652001946,0.9992044652001946,3.9968178608007783,0.9992044652001946,0,0,308.75417974686013,62.94988130761226,8.992840186801752,0
05003000011,05,003,000011,328.5480502189307,74.44235615878553,3.2469509249662676,6.037435219757265,2.029786141896904,1.0297861418969039,1.014893070948452,1.0748704395145299,297.9714263092372,91.68105037873303,12.381798733046876,0.014893070948451966
05003000012,05,003,000012,177.8700009960307,77.8708223100631,6.048285107983836,1.008047517997306,0,0.037905783152741276,0.1516231326109651,1.9781892528418707,162.68888528689234,78.82555541778096,10.307909878889507,0.037905783152741276
05003000013,05,003,000013,58.44539568594471,178.91879114255764,5.786475052465439,0.9637673474539172,0.005161290322580645,0.9663479926152075,3.847327454331798,0.9663479926152075,67.05865665173965,153.96148527004613,15.40608401087558,0.9637673474539172
05003000014,05,003,000014,290.7171982603842,52.3015787756905,7.282805043616715,0.9726853986624795,1.928923535522451,1.9298310500770828,0.9680918259797526,1.9444632827703272,276.62361239729216,64.83061861085925,10.214529957833198,0.9653692823158573
05003000015,05,003,000015,133,9,3,0,0,0,2,2,123,17,6,0
05003000016,05,003,000016,351.28621291448513,55.1500872600349,5.010471204188482,4.003490401396161,2,1.0034904013961605,2,0,332.25130890052355,68.15008726003491,15.020942408376962,0
05003000017,05,003,000017,70.06451612903226,12.49483870967742,1.7516129032258065,0.2335483870967742,0.4670967741935484,0.4670967741935484,0.2335483870967742,0.4670967741935484,66.67806451612904,15.530967741935484,2.452258064516129,0.2335483870967742
