GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,G16USSDBEN,G16USSRGLE,G16USSLTAN,G16USSGMEN,G16USSOOTH,G16RGTDMAD,G16RGTRGAN
08001001001,08,001,001001,736.4480651731161,250.66802443991853,55.90631364562118,23.623217922606923,6.219959266802444,17.403258655804482,681.7617107942973,247.26476578411408,47.57637474541752,19.80651731160896,10.329938900203667,708.0549898167006,268.4745417515275
08001001002,08,001,001002,738.2829898335317,278.444910992961,49.46711383462443,16.202813807500075,5.734914314577183,10.534349301334183,694.6389626602287,267.7879071461152,40.97351377795579,20.90696838346636,8.587704089735162,702.2778053435682,299.2958987112745
08001001003,08,001,001003,530.804455537685,202.86573606627883,45.77608248553597,17.127076090111746,4.108297136132016,6.5950901293112025,513.2255032807881,208.3150624832211,27.970700786626242,12.387219155538839,2.5491207403219764,456.3399204561404,255.40101037599595
08001001004,08,001,001004,376.0723921780662,225.02767936220178,26.006275482928338,7.002353306098128,4.000560310975745,10.000896497561191,385.07003887196805,189.0284637975678,24.003810114635062,7.001680932927234,9.000336186585447,372.0620824561125,219.03496340488647
08001001005,08,001,001005,795.5064935064935,312.3818181818182,37.835064935064935,12.611688311688312,6.79090909090909,15.522077922077921,781.9246753246753,285.21818181818185,24.253246753246753,9.701298701298702,13.58181818181818,774.1636363636363,314.32207792207794
08001001006,08,001,001006,465.0218161548056,180.0083414709551,42.00189118369832,15.00070919388687,4.00016885568735,21.00027016909976,462.0211069609187,167.00857786891737,29.00114821867398,13.000506567062049,15.00010131341241,481.01870921015836,186.01053659489062
08001001007,08,001,001007,576.6875389736862,382.54227971272434,38.85394746186261,16.054015283906153,7.218547095553258,15.31272680198101,555.6799701396752,355.2123304663945,38.58719803443103,13.73308612539662,9.084737708209472,560.5319386848215,393.1841552172146
08001001008,08,001,001008,453.1672775774132,258.11417845650953,40.01104952804931,21.004603970020547,5.002148519342922,15.004603970020547,451.16113895071913,265.10558437913784,39.01135645938402,13.003990107351141,2.0027623820123277,435.1639013327314,272.1163269758525
08001001009,08,001,001009,437.8327844780224,255.90226672688067,28.98892865265445,6.997327605813144,4.998091147009388,8.996564064616898,423.83812926639615,243.90684797405814,25.99007396444882,11.99541875282253,4.998091147009388,405.84500113716234,256.9018849562826
08001001010,08,001,001010,627,339,65,17,11,14,585,329,44,22,15,592,351
08001001011,08,001,001011,671.5320452901276,347.54388756974737,61.099666215412824,29.517703207483653,8.555787599114684,17.086286180888326,658.0558538546389,329.70365067938775,38.174646875962495,20.005652760169326,13.248590279419243,682.6357889063182,346.47854395427294
08001001012,08,001,001012,600.6363073110285,306.57930607187114,51.60842627013631,25.747831474597277,6.507434944237919,19.014869888475836,601.8469640644362,286.5080545229244,40.25526641883519,13.184014869888477,13.789343246592317,608.3692688971499,310.46654275092936
08001001013,08,001,001013,713,402,71,29,17,19,708,383,59,23,15,707,406
08001001014,08,001,001014,474,315,60,15,7,9,482,291,49,9,13,495,301
08001001015,08,001,001015,508.57057057057057,262.963963963964,50.33633633633634,15.621621621621621,6.942942942942943,13.885885885885886,488.6096096096096,251.68168168168168,54.67567567567568,18.225225225225227,6.942942942942943,525.927927927928,272.5105105105105
08001001016,08,001,001016,487.90908839848356,312.61240993196253,44.79804005255538,10.712574795176286,9.73870435925117,16.55579741072699,515.1774606043869,286.3179081619844,30.189983513678623,5.843222615550702,8.764833923326053,491.80457014218405,311.6385394960374
08001001017,08,001,001017,488.0639800317761,346.2040451923868,61.00762787388142,23.518707534114387,10.347046679296744,10.536256093030916,516.0943416650663,318.9389555989131,50.40775695248163,11.936462954874221,8.31454067489056,523.0125911342378,345.86282449984117
08001001018,08,001,001018,558.1284921467108,343.3682928554806,60.52193016345638,14.601428601780915,11.1188470021157,9.243372085766046,554.4160120085251,325.4490423794349,56.850705638023555,10.296025972499734,7.744661381557073,547.1776274232848,358.1930435263978
08001001019,08,001,001019,341,211,27,17,4,11,327,207,18,16,9,325,227
08001001020,08,001,001020,543,218,41,22,2,11,537,185,32,17,9,562,210
08001001021,08,001,001021,654.4935064935065,304.6181818181818,54.164935064935065,23.38831168831169,11.209090909090909,21.477922077922077,665.0753246753246,278.7818181818182,53.74675324675325,14.2987012987013,15.418181818181818,663.8363636363637,338.67792207792206
08001001022,08,001,001022,678.2753340502101,361.2647434326392,43.784600405004284,15.47077617296064,9.208261389117261,16.576365565817138,670.8086990367418,339.8345203131707,32.52416947587214,12.737041895284255,21.62728479300527,679.7444696893318,361.0527311050417
08001001023,08,001,001023,456.72466594978994,239.7352565673608,32.215399594995716,8.52922382703936,3.791738610882739,10.42363443418286,466.1913009632582,196.1654796868293,27.475830524127854,13.262958104715745,11.372715206994728,447.2555303106681,235.9472688949583
08001001024,08,001,001024,708.7114427860696,312.6517412935323,51.41293532338308,19.35323383084577,5.338308457711443,23.676616915422887,721.4825870646766,269.4676616915423,45.7363184079602,13.522388059701493,7.014925373134329,717.820895522388,313.5273631840796
08001001025,08,001,001025,597,307,33,23,2,19,577,297,37,9,14,605,307
08001001026,08,001,001026,682.8752223377402,338.65118747607426,58.653368948593126,15.061365132167685,12.204758888872204,19.65476841395202,663.6801162097594,319.09081439074885,60.91457462978902,14.497409047896241,5.5029170846113535,646.259108901758,377.28808625982947
08001001027,08,001,001027,388.51754291679595,157.3117821145171,32.73112626427899,9.598748536484717,2.5295320953614895,6.782046685299868,369.0981572868064,147.67408073759958,28.007213028077615,9.72125631155474,6.635836179623798,369.73439889276256,171.08553431862097
08001001028,08,001,001028,311.21842288904395,164.33496161898117,22.54152128401954,8.725750174459177,2.1814375436147944,10.90718771807397,311.21842288904395,157.06350314026517,17.451500348918355,7.998604326587579,5.090020935101187,314.12700628053034,165.06210746685275
08001001029,08,001,001029,632.3855260827758,297.37971538862007,43.267099469265204,19.70838978033524,6.532381088170314,15.510742650153892,627.2401772455664,259.5129480300763,35.74405162450233,13.265393106755843,12.316932246825733,606.6829214566691,303.84726932599244
08001001030,08,001,001030,400.9544398735063,280.8984692021381,29.08984692021381,9.59190384238659,2.329639269023032,14.565317773486694,410.31784345003217,245.7866677860801,28.62473064114404,10.836271793580163,8.078246998572748,417.31487700444967,269.16463772982956
08001001031,08,001,001031,528,433,40,18,10,28,554,373,51,11,12,529,428
08001001032,08,001,001032,490,316,26,13,10,16,496,279,32,12,15,471,326
08001001033,08,001,001033,688.3280517144624,450.9547054004352,55.60841621545158,18.13827641260263,18.110621130082105,18.069138206301314,715.5354663333663,412.7611184227916,50.304208107725785,14.082965847561578,14.041482923780789,646.0653265305174,505.2312582256405
08001001034,08,001,001034,480,367,55,13,12,13,510,336,45,9,11,488,387
08001001035,08,001,001035,425,278,30,18,2,5,436,240,31,12,12,435,254
08001001036,08,001,001036,276.411687273753,277.9121182204253,25.97936157209346,6.819691912306269,2.617883503361384,14.69241377148857,286.83116292918373,260.73016469998277,18.144782411107453,1.7261843198094433,5.947064077852475,281.64745428047576,284.9503549433501
08001001037,08,001,001037,401.1356297793337,288.1208995873142,40.29561297238779,11.371245225925671,4.588198464902104,17.348956799442007,404.71432733563415,246.8157857063248,36.71125156765209,14.17292683689519,11.172743353266496,423.2882784616428,273.3354755871357
08001001038,08,001,001038,517.0615807330886,352.8617883764685,51.92345470720085,14.511166303439786,2.6496413269563965,12.86365702161107,517.2101745827551,310.4479599603728,34.89130821704745,11.128785825944549,13.643730705606526,522.064392591447,331.83865095667375
08001001039,08,001,001039,273.60342292614826,196.1226993601942,25.70070411136292,9.05412212698452,5.385160358290478,10.100872974735415,280.2098559010601,182.33472604003094,16.323941293826085,7.72374832830183,7.670651453462229,270.38251865173464,197.325609751437
08001001040,08,001,001040,657.0639492175437,511.25969323871476,72.60131913335461,26.139867282582365,9.683705392838563,24.958388859986915,679.5661463299103,467.8445154735774,52.05207163056394,21.32116655791877,19.321256131548292,663.60838448533,522.0775280849597
08001001041,08,001,001041,423.98864411788,242.1543390116552,34.96813559735093,11.364644069139052,2.6226101698013196,10.490440679205278,414.3724068286085,223.79606782304595,37.59074576715225,11.364644069139052,6.993627119470186,415.2466102185423,243.90274579152273
08001001042,08,001,001042,451,277,50,22,6,6,432,253,49,14,6,434,284
08001001043,08,001,001043,474,350,37,4,14,4,467,366,21,7,3,409,405
08001001044,08,001,001044,470,283,51,14,7,8,475.99999999999994,268,38,11,7,433,317
08001001045,08,001,001045,326.8695974041152,302.5636605628572,44.31496931266599,10.381210168522538,8.093340107038118,5.0914044462394354,340.8872693278903,289.52458927312125,22.190551535673606,6.599075149728367,3.20033693684235,304.0436248017731,325.2439599016577
08001001046,08,001,001046,289.49607834962984,319.28345618624763,17.686255590491854,8.377700016548772,3.723422229577232,2.7925666721829243,280.1875227756867,328.59201176019076,9.30855557394308,10.23941113133739,3.723422229577232,229.9213226763941,363.03366738378014
08001001047,08,001,001047,502.3062725317926,423.1981778504599,53.39035888139058,5.10281340232606,12.072616533302545,8.046890675276325,505.38974156305665,425.1222805438964,18.196684782657528,5.078547871372665,4.0347579097996285,432.9697259913155,487.49111448892165
08001001048,08,001,001048,392.8707680322964,358.15306032353607,26.90109893068918,7.710706995054968,12.544224246484657,3.4493944578021773,409.10626484718705,353.6617869685595,17.63688928983706,5.449394457802177,1.1306562686263955,313.21260844896295,419.31704944829363
08001001049,08,001,001049,592.3465558755488,486.46295736745196,71.2464756149379,9.385255653651857,9.4759643076342,12.436225862801567,566.7771871016477,494.57004390727536,56.770511307303714,6.606411406449176,7.28895236296681,501.6270572683065,541.8703885557811
