GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWAR,G18USSRDIE,G18USSUAYY,G18USSOWRI,G18GOVRBAK,G18GOVDGON,G18GOVOWRI,G18ATGDHEA,G18ATGRMCM,G18ATGOWRI,G18SOCDGAL,G18SOCRAMO,G18SOCGSAN,G18SOCOWRI,G18TREDGOL,G18TRERORR,G18TREGGUE,G18TREOWRI,G18AUDDBUM,G18AUDRBRA,G18AUDLFIS,G18AUDGSTA,G18AUDOWRI
25021001512,25,021,001512,581,675,46,0,1013,275,1,750,535,0,801,448,38,0,719,513,34,0,647,535,57,19,0
25021001531,25,021,001531,584.9195156695157,397.21438746438747,31.284188034188034,2.844017094017094,657.9159544159544,318.52991452991455,6.636039886039886,695.8361823361823,299.5698005698006,2.844017094017094,737.548433048433,211.40527065527067,41.712250712250714,0,652.2279202279202,261.64957264957263,53.08831908831909,0,582.0754985754986,286.2977207977208,52.140313390313395,36.02421652421653,0
25021001532,25,021,001532,537.2119413260493,296.8325599539164,24.721216959248153,0.0672374733469201,528.9528352351007,310.7421284350942,3.426594086282697,598.2621171694904,233.6995351775225,0.14791430042769974,631.0538865059127,169.57091874833736,33.1113354471264,0.157466559677233,576.5124887002194,195.5908739358095,35.58041871427668,0.2719014954065429,514.3241597919206,225.46376733184454,36.69638121585932,28.10700947690194,0.08119103063853493
25021001533,25,021,001533,786.3804132465327,349.28559298046986,29.269742428530993,1.9513161619020662,666.3744692895556,464.41324653269174,4.878290404755165,889.8001698273422,260.50070761392584,0,900.5324087178036,188.3020096235494,58.539484857061986,1.9513161619020662,850.7738465893009,218.5474101330314,59.51514293801302,1.9513161619020662,772.7212001132182,244.8901783187093,66.34474950467025,34.14803283328616,1.9513161619020662
25021001534,25,021,001534,746.3901371530224,714.3304886775009,36.03270368940335,2.909594798743574,1085.7712162438436,372.2682788831356,7.875455581732259,995.6562196036349,484.8194392896991,2.048213059004402,1073.3271719514437,345.78059100515503,43.27202394787935,2.8101007839417185,903.8835186107787,449.9142256828017,55.069830832444765,1.9487190442025466,819.9960320192387,494.3603714348429,65.09527175580163,27.870539325236162,0.946115076510748
25021001535,25,021,001535,708.5198830324846,652.1903519590945,42.24714830504256,4.4007446151086,989.2873894764132,381.1044836684047,9.68163815323892,954.9615814785661,435.67371689575134,0.88014892302172,1020.0926017821733,312.45286767271057,45.767743997129436,0,899.5121993281978,379.3441858223613,51.04863753525976,2.64044676906516,794.7744774886131,437.4340147417948,55.44938215036836,33.44565907482536,1.76029784604344
25021001536,25,021,001536,576.5030755689108,385.17670626614114,34.83701249698062,0,653.6539765847757,319.0242197286501,4.590922682376734,679.2533438316176,305.337851504052,1.830969084042438,704.0101263866997,226.54318101963088,40.32271976389693,1.8291690877396862,643.5377467168221,263.2129625969567,44.88124251282413,3.6583381754793725,564.7142762915569,313.6015123323302,43.98645792828456,28.40612074904769,0.9145845438698431
25021001537,25,021,001537,603.858588961987,300.92952860522865,37.99110327906541,0.9997658757648792,578.8644420678651,339.9203977600589,3.9990635030595167,685.8393907747071,242.94310781086563,0.9997658757648792,709.8337717930642,173.95926238308897,39.990635030595165,0,666.8438391351744,207.95130215909487,33.99203977600589,2.9992976272946374,593.8609302043383,242.94310781086563,39.990635030595165,23.9943810183571,1.9995317515297584
25021001538,25,021,001538,408,262,30,1,487,202,2,486,199,0,502,147,30,0,471,166,31,1,408,215,30,11,0
25021001539,25,021,001539,583,285,23,2,520,361,3,675,208,1,675,165,39,0,635,194,31,0,574,226,31,25,0
