GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI
25001000756,25,001,000756,1761.1222647702407,503.8793763676149,78.57768052516411,29.466630196936542,32.413293216630194
25001000757,25,001,000757,1373.802858363693,700.7782257309748,58.48078545704033,36.67439087983885,34.69199137282053
25001000758,25,001,000758,1096.5443425076453,772.348623853211,65.79266055045872,20.97737003058104,27.6519877675841
25001000759,25,001,000759,1254.8463618242463,884.2425287481793,85.00834720962905,22.704824797394032,37.81352171582852
25001000760,25,001,000760,1278.4086083834957,839.6367880116953,102.34850237614346,31.27315350382161,54.964936461262226
25001000761,25,001,000761,1344.0862906238326,778.2812850205454,83.88756070227866,29.271199103474036,35.47665296974225
25001000762,25,001,000762,1100.3208255021148,915.9880308889641,81.36319143237522,28.028886374357814,28.245571718920264
25001000763,25,001,000763,1070,907,81,42,31
25001000764,25,001,000764,1073,799,84,30,27
25001000881,25,001,000881,1200.1639656787095,843.8678003094906,88.84053285242177,24.78333147381132,31.615793195118695
25001000882,25,001,000882,1118.4015486725664,823.41703539823,75.21128318584071,34.18694690265487,30.279867256637168
25001000883,25,001,000883,1138.4956399859593,898.5987614360164,82.96403944378885,36.983497193155685,29.986978488059254
25001000884,25,001,000884,1061.2478644754212,698.195774841616,90.01804954791018,35.00805125819778,32.00652445830745
25001001167,25,001,001167,1127.851837709654,823.892219853272,72.99048400179458,25.996586980147892,0.9999029569260605
25001001168,25,001,001168,804.5934254191802,720.2281314895611,61.045047296736264,23.00072353303195,12.069216995268144
25001001169,25,001,001169,710,640,65,27,8
25001001170,25,001,001170,870.9795191451469,659.5957257346394,68.5040071237756,18.59394479073909,14.679430097951915
25001001171,25,001,001171,920.8804396797494,983.1384246122984,78.26793610342467,24.126778100655184,38.94994734610289
25001001454,25,001,001454,2687.030565444979,1510.5366097349233,191.69085708327978,65.11087813666659,75.89829363088181
25001001530,25,001,001530,2051.4211192707016,204.94504937958976,37.44188402127121,34.48594580906558,17.73562927323373
25001001643,25,001,001643,1260.3610734074705,1000.1834373861515,76.93765469395323,31.230739941632642,34.32952512885051
25001001644,25,001,001644,1167.5295267556708,998.2892389975154,76.98269362396901,23.324258892342097,29.293359199683113
25001001645,25,001,001645,949.3987865416436,919.9448428019857,87.3800330943188,25.526751241036955,26.50854936569222
25001001646,25,001,001646,946.1496168722309,1011.1092945946084,87.00968265219225,19.003448615849294,29.00013263907113
25001001647,25,001,001647,898.998545418115,935.9984855521197,102.99983334601318,21.999964404002814,21.999964404002814
25001001648,25,001,001648,797.2291716976575,983.049504950495,78.92368992996862,21.978749094421637,33.967157691378894
25001001877,25,001,001877,1092.5380491179524,360.1883431338637,61.860601867865796,32.92580421999308,17.95952957454168
25001001964,25,001,001964,1520.3790924755888,503.8579360520773,71.4206394792265,71.4206394792265,18.58893356308635
25001002145,25,001,002145,1209.179259022291,860.2579537907361,80.84390761184933,32.94279985085225,18.28358368994123
25001002146,25,001,002146,1138.65721130383,898.8688556829073,95.63575956707018,23.8350231794095,24.735845001346576
25001002147,25,001,002147,903.3410832687506,662.8184362352536,62.976190476190474,18.013519331783346,17.036209420477054
25001002148,25,001,002148,999.5840867992766,857.9264617239301,78.80952380952381,30.925256178420735,38.90596745027125
25001002149,25,001,002149,881,797,61,26,32
25001002150,25,001,002150,905.2080158058143,751.5122777307366,64.87157775896134,29.94072819644369,23.95258255715495
25001002151,25,001,002151,1263.5554607508532,1020.3139931740615,92.97269624573379,28.230375426621162,22.332764505119453
25001ZZZZZZ,25,001,ZZZZZZ,61.84606719162891,45.52342228130592,4.469204906761992,1.6167458903685494,1.9962210023132239
25003000015,25,003,000015,439,255,33,20,5
25003000016,25,003,000016,476,270,44,17,10
25003000017,25,003,000017,475.00000000000006,268,36,17,13
25003000018,25,003,000018,446,233,31,15,7
25003000019,25,003,000019,577,259,45,11,19
25003000028,25,003,000028,225.99998383015628,51.99999627950498,7.999999427616151,7.999999427616151,4.999999642260095
25003000122,25,003,000122,571,368,37,25,28
25003000592,25,003,000592,977.9992803447869,740.9994433948563,82.99993837627817,29.9999780235206,31.99997604993767
25003000614,25,003,000614,510,327,29,12,7
25003000629,25,003,000629,1089.671132764921,490.40194884287456,88.89159561510353,40.95006090133983,29.963459196102313
25003000630,25,003,000630,1100.328867235079,449.59805115712544,77.10840438489647,42.04993909866017,35.03654080389769
25003000708,25,003,000708,621,147,30,30,4
25003000777,25,003,000777,199.34399707892652,175.1892600553002,17.71029771522327,11.503410811736678,8.042709602339336
25003000846,25,003,000846,791.5597853455873,161.00452442402116,34.736922447438,33.52750062948508,5.974922888077552
25003000847,25,003,000847,737,187,38,31,13
25003000848,25,003,000848,526.6058951277855,82.82350812035754,11.22535565907088,32.438105879390655,12.019529774644342
25003000849,25,003,000849,824.8343195266273,149.17196745562129,19.037721893491124,31.034393491124263,7.005547337278107
25003000871,25,003,000871,188.99999972911232,158.99999977211036,23.999999965601564,8.999999987100587,8.999999987100587
25003000915,25,003,000915,606,403,55,37,11
25003000974,25,003,000974,998.000719655213,597.0005566051437,77.00006162372183,32.000021976479395,27.00002395006233
25003000999,25,003,000999,1980.911368293784,855.0477854274058,115.61840267548722,86.37308719081915,12.346826197269626
