GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
37001000127,37,001,000127,297.20173364854213,150.92159180457054,1249.5644208037825,437.9338061465721,1253.702915681639,289.8650512214342,167.32387706855792,1231.4113475177305,411.61308116627265,1230.2801418439717,48.77265563435776
37001000128,37,001,000128,141,87,538,225,542,135,96,528,210,511,38
37001000129,37,001,000129,344.92066469693674,172.40677048451548,310.4836981252244,510.6813858311347,316.0880914674378,339.3966141506526,180.0409139789842,301.5133083709108,501.764557940774,284.8044517331995,45.245261734284036
3700100012E,37,001,00012E,123,96,372,217,371,149,80,356,204,355,26
3700100012N,37,001,00012N,107,93,1220,186,1215,121,76,1202,161,1190,47
3700100012S,37,001,00012S,86,47,329,126,334,81,57.99999999999999,321,123,322,20
3700100012W,37,001,00012W,345,181,620,510,634,319,220,595,473,586,84
370010003N2,37,001,0003N2,149.95362734661617,87.97279471001482,266.91745667697677,236.92673120765355,275.91467431777374,137.95733715888687,105.96722999160876,260.9193115831121,223.93075017094682,273.9152926198189,12.995981036706734
37001001210,37,001,001210,266.6620246384574,131.38457418318157,488.55597214783074,397.0733797536154,481.7434386716658,276.3942153186931,138.19710765934656,463.252276379218,373.7161221210498,457.4129619710766,50.607391537225496
3700300000E,37,003,00000E,599.977165520979,365.56097541879075,342.6441914919386,943.6924675775894,362.5100096279359,649.6712846504765,297.00024381799653,313.84177056151543,893.0478525543391,318.81228424309376,83.42008360522772
3700300000M,37,003,00000M,395.531856783705,289.726984090223,236.16271321053276,661.129610306691,266.4366626429946,475.9977403933891,206.19366576649588,235.30838791257423,645.4579864366347,234.67396034287748,46.080466770616944
3700300000W,37,003,00000W,455.00695068622883,331.5331159028783,212.29585913671536,779.6116665698203,218.24850248689174,581.0745041361652,202.47616033311863,189.62127785312566,747.0127429247528,192.5698035831517,52.36422053283649
370030000B1,37,003,0000B1,799.6278059377263,507.25054308472124,371.91165821868213,1288.5916002896452,385.27661115133964,871.4880521361332,421.1687183200579,340.29905865314987,1253.8356263577118,344.6770456191166,83.35553946415641
370030000B2,37,003,0000B2,869.6958958911172,571.7818869257613,463.2516992643443,1416.494571615435,493.2588519761497,945.2665221770825,473.2247793271687,435.8783275171502,1337.0536680144935,434.0180939786989,132.62723835530116
3700300G1G2,37,003,00G1G2,354.1099552526964,306.5020380340068,231.03605690225731,645.698889261539,245.8991212133628,492.0645285917363,147.52900786037236,223.74634624439275,623.0957568660399,226.59886379287278,32.845440029961196
3700300LRSL,37,003,00LRSL,533.6903450275443,345.7993621339519,204.8811249637576,873.4931864308495,220.87184691214844,624.6375761090171,249.85503044360684,186.89156277181792,855.5036242389099,197.88518411133663,38.97738474920267
3700300S1S2,37,003,00S1S2,533.1388317334262,521.0212367032285,345.64363154651824,1047.1451933607614,357.6533497478623,758.4201657318446,290.6555565474346,321.5546190071283,994.9828259939873,328.56923115976144,80.21664979953081
3700300T2T3,37,003,00T2T3,569,360,473,931,475,659,281,434,899,440,69
