GEOID,area_land,area_water,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOPIE
150010201001000,173731,0,83.12023939064201,26.123503808487488,1.1082698585418935,0.9499455930359086,0,0.07916213275299239
150010201001001,25850,0,0,0,0,0,0,0
150010201001002,47602,0,0.8569096844396082,0.2693144722524483,0.011425462459194777,0.009793253536452665,0,8.161044613710555e-4
150010201001003,102521,0,0,0,0,0,0,0
150010201001004,76497,0,3.7132752992383025,1.1670293797606093,0.04951033732317736,0.042437431991294884,0,0.0035364526659412403
150010201001005,297738,0,0.7140914036996735,0.22442872687704027,0.009521218715995648,0.008161044613710554,0,6.800870511425463e-4
150010201001006,95488,0,0.14281828073993472,0.044885745375408057,0.0019042437431991295,0.001632208922742111,0,1.3601741022850925e-4
150010201001007,196734,0,1.4281828073993472,0.44885745375408054,0.019042437431991296,0.01632208922742111,0,0.0013601741022850925
150010201001008,162578,0,7.404789009530433,2.3272194029952793,0.09873052012707244,0.08462616010891924,0,0.007052180009076603
150010201001009,20227,0,0,0,0,0,0,0
150010201001010,34431,0,0,0,0,0,0,0
150010201001011,29015,0,6.426822633297062,2.0198585418933623,0.08569096844396083,0.07344940152339499,0,0.006120783460282916
150010201001012,27157,0,14.710282916213274,4.623231773667029,0.19613710554951033,0.16811751904243744,0,0.014009793253536452
150010201001013,26079,0,0,0,0,0,0,0
150010201001014,24353,0,0,0,0,0,0,0
150010201001015,39237,0,1.1425462459194777,0.35908596300326445,0.015233949945593036,0.013057671381936888,0,0.001088139281828074
150010201001016,108765,0,2.449672361525062,0.7698970279078766,0.032662298153667495,0.027996255560286423,0,0.002333021296690535
150010201001017,115401,0,13.282100108813928,4.174374319912949,0.17709466811751906,0.15179542981501631,0,0.01264961915125136
150010201001018,185723,0,6.7124591947769305,2.109630032644178,0.08949945593035909,0.07671381936887921,0,0.0063928182807399345
150010201001019,24623,0,26.27856365614799,8.258977149075083,0.35038084874863984,0.3003264417845484,0,0.025027203482045703
150010201001020,1211607,0,4.713003264417846,1.481229597388466,0.06284004352557128,0.05386289445048967,0,0.004488574537540806
150010201001021,32294,0,0.5712731229597389,0.17954298150163223,0.007616974972796518,0.006528835690968444,0,5.44069640914037e-4
150010201001022,102810,0,0.28563656147986943,0.08977149075081611,0.003808487486398259,0.003264417845484222,0,2.720348204570185e-4
150010201001023,16032,0,5.855549510337323,1.8403155603917303,0.07807399347116431,0.06692056583242656,0,0.00557671381936888
150010201001024,26586,0,0,0,0,0,0,0
150010201001025,36306,0,0,0,0,0,0,0
150010201002000,18786,0,5.284276387377584,1.660772578890098,0.07045701849836779,0.06039173014145811,0,0.005032644178454842
150010201002001,987187,48050,28.135201305767136,8.842491838955386,0.3751360174102285,0.3215451577801958,0,0.02679542981501632
150010201002002,724378,0,28.992110990206747,9.111806311207836,0.3865614798694233,0.3313384113166486,0,0.02761153427638738
150010201002003,180677,0,8.283460282916213,2.6033732317736673,0.11044613710554951,0.09466811751904244,0,0.007889009793253536
150010201002004,476197,0,2.2850924918389555,0.7181719260065288,0.03046789989118607,0.026115342763873776,0,0.002176278563656148
150010201002005,81378,0,0,0,0,0,0,0
150010201002006,109890,0,0.7140914036996736,0.22442872687704027,0.009521218715995648,0.008161044613710556,0,6.800870511425463e-4
150010201002007,291041,0,0,0,0,0,0,0
150010201002008,0,2469152,0.7140914036996736,0.22442872687704027,0.009521218715995648,0.008161044613710556,0,6.800870511425463e-4
150010201002009,105057,0,0,0,0,0,0,0
150010201002010,0,14633,0,0,0,0,0,0
150010201002011,74948,0,1.2853645266594123,0.40397170837867247,0.017138193688792165,0.014689880304678998,0,0.0012241566920565832
150010201002012,94934,0,2.5707290533188245,0.8079434167573449,0.03427638737758433,0.029379760609357996,0,0.0024483133841131663
150010201002013,165230,0,0,0,0,0,0,0
150010201002014,3191055,0,19.70892274211099,6.194232861806311,0.2627856365614799,0.22524483133841133,0,0.018770402611534277
150010201002015,66670,0,0,0,0,0,0,0
150010201002016,489041,0,0,0,0,0,0,0
150010201002017,1709642,0,50.414853101196954,15.844668117519042,0.6721980413492927,0.5761697497279652,0,0.048014145810663766
150010201002018,247263,0,1.999455930359086,0.6284004352557128,0.02665941240478781,0.022850924918389554,0,0.0019042437431991293
150010201002019,60336915,0,7.712179043840077,2.4238276994925956,0.1028290539178677,0.08813918907245802,0,0.007344932422704835
150010201002020,757172,0,1.5710018627686178,0.4937434425844227,0.02094669150358157,0.017954307003069915,0,0.0014961922502558264
150010201002021,8470980,0,0,0,0,0,0,0
150010201002022,289129,0,0,0,0,0,0,0
150010201002023,450014,0,0,0,0,0,0,0
150010201002024,747997,0,0,0,0,0,0,0
150010201002025,694885,0,0,0,0,0,0,0
150010201002026,562552,0,7.855005440696409,2.4687159956474427,0.10473340587595212,0.0897714907508161,0,0.0074809575625680086
150010201002027,2129284,0,0,0,0,0,0,0
150010201002028,947804,0,3.142002176278564,0.9874863982589772,0.04189336235038085,0.035908596300326445,0,0.0029923830250272038
150010201002029,132606,0,0,0,0,0,0,0
150010201002030,774925,0,3.998911860718172,1.2568008705114255,0.05331882480957563,0.04570184983677911,0,0.003808487486398259
150010201002031,430497,0,2.4279107725788904,0.7630576713819369,0.0323721436343852,0.027747551686615888,0,0.002312295973884657
150010201002032,57535,0,0,0,0,0,0,0
150010201002033,0,21288,0,0,0,0,0,0
150010201002034,256611,0,6.998095756256801,2.199401523394995,0.09330794341675736,0.07997823721436344,0,0.006664853101196954
150010201002035,138348,0,0,0,0,0,0,0
