GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PREIDeL,G16PRELJoh,G16PRESKen,G16PREISmi,G16PREGSte,G16PREOth
47009000416,47,009,000416,975.83,200.4,0.19,31.13,0.17,6.6,7.65,6.07
47009000417,47,009,000417,899.3,226.22,1.88,44.39,3.75,5.68,2.99,4.73
47009000418,47,009,000418,1115.78,219.64,1.98,26.74,0.99,11.86,10.87,6.92
47009000419,47,009,000419,2888.01,613.79,3,113.96,5,11,17.99,17.99
47009000420,47,009,000420,1731.39,788.38,5.18,102.92,5.29,13.53,14.31,20.56
47009000421,47,009,000421,872.27,287.69,0.99,39.62,0.03,2.03,6.88,6.88
47009000423,47,009,000423,1086.46,369.69,1.01,59.74,2.99,8.99,5.01,3.98
47009000424,47,009,000424,1184,261,2,27,1,2,3,6
47009000425,47,009,000425,984,290,3,30,4,6,6,7
47009000426,47,009,000426,587.43,150.03,0,15.91,0.99,5.95,1.99,1.99
47009000427,47,009,000427,2594.44,660.2,4.02,101.41,4.01,19.04,13.12,6.08
47009000429,47,009,000429,1206.11,270.72,0.12,45.57,2.07,8.23,6.25,7.34
47009000430,47,009,000430,1342.21,524.69,4,76.95,2,15.99,14.99,12.99
47009000431,47,009,000431,2091.25,660.26,6.88,89.13,3.95,13.01,14.01,18.82
47009000432,47,009,000432,569.17,348.97,1.98,45.61,0.99,4.96,13.88,8.92
47009000433,47,009,000433,1164.51,320.28,1.95,29.22,0.97,4.87,3.9,8.76
47009000434,47,009,000434,1303.53,274.31,5,30.04,0,11.01,6.01,1.01
47009000435,47,009,000435,64.82,15.09,0.01,3.1,0.01,0.08,0.07,0.04
47009000436,47,009,000436,480.04,108.43,0.93,16.68,0.93,0.93,1.85,4.63
47011000501,47,011,000501,1122,195,1,39,1,5,6,0
47011000502,47,011,000502,2317.15,820.3,7,109.04,4,16,22.01,34.01
47011000503,47,011,000503,825.32,124.65,1.02,32.24,1,9.01,10.04,0.04
47011000504,47,011,000504,3229.68,756.05,6.06,120.01,4.04,15.1,15.21,29.28
47011000505,47,011,000505,2286.07,499.62,4.2,81.57,2.01,6.06,14.77,9.82
47011000506,47,011,000506,2259.25,626.05,11,95.01,7,16,15,27
47011000507,47,011,000507,1450.09,474.12,3.94,68.01,2.96,6.9,13.8,18.73
47011000508,47,011,000508,2469.54,471.53,3,72.93,4,7.99,12.99,13.99
47011000509,47,011,000509,998,518,3,79,5,8,23,27
47011000510,47,011,000510,645.88,333.45,0.01,31.97,1,6.98,7.99,11.98
47011000511,47,011,000511,1413,179,5,29,0,2,9,14
47011000512,47,011,000512,1999.82,310.94,4,62.09,3,8.02,11.02,7.03
47011000513,47,011,000513,886,193,0,26,4,3,5,12
47011000514,47,011,000514,1726.83,451.65,4.97,64.66,0,1.99,9.95,11.94
47011000515,47,011,000515,1672,270,7,49,2,9,9,12
47011000516,47,011,000516,2653,528,5,99,1,19,15,31
47011000517,47,011,000517,1824,321,0,39,2,3,10,7
47013000601,47,013,000601,209,55,1,5,0,0,2,0
47013000602,47,013,000602,939.81,200.67,2.01,32.27,5.04,5.02,1.01,2
47013000603,47,013,000603,388.52,113.6,3.01,8.08,3.01,1.02,3.01,0.01
47013000604,47,013,000604,1019,199,1,18,2,6,4,3
47013000605,47,013,000605,283.74,35.89,0,5.5,0.18,2.09,3.26,3.09
47013000607,47,013,000607,874,190,4,23,0,3,0,3
47013000608,47,013,000608,542,185,5,13,1,7,8,0
47013000609,47,013,000609,836,168,4,27,1,5,2,1
47013000610,47,013,000610,571.48,97.4,0.99,12.92,0.99,2.98,0.99,1.99
47013000611,47,013,000611,1035.78,203.52,2.94,29.5,1,2.96,1.96,0.99
47013000612,47,013,000612,222.81,70.71,0.15,5.58,2.03,2.14,0.11,0.04
47013000613,47,013,000613,486.94,128.78,3.88,15.64,0.97,3.88,2.91,0.97
47013000614,47,013,000614,30.88,9.96,0,0,0,0,0,0
