GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-123,11,001,02-123,1477.4183176721335,80.13453343269714,18.803912851876657,22.798076701099216,16.841008850095466,1430.7617524232967,77.23288852930206,55.47002011321723,8.910992441942668,1302.8047305858352,106.8936245155411,72.32414845003498,138.72127228108243,296.2676932400899,202.1213888018374,24.758989878624302,1388.889372680225,26.729944133283116
1100102-124,11,001,02-124,1701.805589512294,34.73530035571029,4.561014439690173,21.305644423089017,24.734088967416145,1670.579026510519,36.3885607691266,41.967865909304464,6.270542872666584,1525.5470762039756,47.91373949666488,52.6022194175998,174.39776320471304,312.02289333953036,181.92416830040523,15.877051595635066,1546.0295319305983,11.796431180757496
1100102-125,11,001,02-125,2570.027397260274,22.356164383561644,10.246575342465754,13.972602739726026,26.08219178082192,2442.4109589041095,64.27397260273972,45.64383561643835,6.52054794520548,2219.780821917808,76.38356164383562,65.20547945205479,162.08219178082192,299.94520547945206,204,35.397260273972606,2221.6438356164385,20.493150684931507
1100102-126,11,001,02-126,2390.7595493394524,42.60266720019007,20.73334250326679,38.9892411671658,24.894713741770506,2307.450291666406,71.65875218046429,63.29591792075927,3.476439731654402,2119.2531351794078,77.54414260080154,62.73628230056958,188.7400811539111,330.74452523711574,225.78813327247832,25.57964524861982,2128.381084511357,19.488775376227782
1100102-127,11,001,02-127,3245,170,80,52,76,3041,258,201,27,2717,317,204,441,1277,376,38,2992,92
1100102-128,11,001,02-128,2039.4235380870005,98.02930777728403,41.015060941104295,54.0046811033162,68.01282215256177,1921.3822222620793,158.0514921364782,125.0213702542696,17.00712341808987,1723.326049022285,236.0755082317526,150.03785587899188,239.045386349544,777.1827665555629,229.03459945929364,15.006309313165312,1893.3956549933343,54.01139746894379
1100102-129,11,001,02-129,2076.8077945878267,143.70735756285686,73.8473981935304,22.954561520079505,62.87059442588675,1874.2430168896603,252.4706979139377,104.7936823945531,34.924832591388544,1598.8233724664883,370.22484326047226,185.61313258141746,222.56233318577085,896.1844010987024,169.68630524555257,30.94207294288887,1940.0879302981277,55.89105575142598
1100102-130,11,001,02-130,765,114,33,7,77,697,170,63,26,552,274,73,88,395,57,17,676,75
1100102-131,11,001,02-131,2183.912130356065,201.34073627036815,99.76342788171394,23.580446590223296,148.7382015691008,1997.989378394689,369.12468316234157,128.785515992758,53.50947495473748,1707.7684972842487,560.4890766445384,226.7350633675317,220.3864815932408,956.8219674109837,260.2918527459264,38.99843089921545,2099.5666867833434,126.06469523234762
1100102-132,11,001,02-132,1245.8792412977616,13.999730563305683,9.998899042481234,10.999922245656549,7.999380137335132,1222.880411910696,19.99918413401011,20.999473546513144,1.000452477096873,1119.8877811502794,40.99637477620949,48.99387967071546,114.98860273913645,218.98494726852687,144.98440301131404,15.997944951701061,1127.8894441919283,9.000077211322765
1100102-133,11,001,02-133,938,14,4,10,10,913,18,25,3,857,35,25,82,190,106,15,843,8
1100102-134,11,001,02-134,1469,25,8,9,7,1393,31,29,0,1228,26,39,95,173,138,14,1260,10
1100102-135,11,001,02-135,2302,71,52,36,27,2172,118,131,16,1913,177,102,290,1014,192,24,2133,49
1100102-136,11,001,02-136,1923.7420835689782,91.70170284132557,44.103949271772144,32.459937547493986,46.42953606703034,1753.5456000611498,152.33237630651743,130.27722902690073,16.687879083453076,1528.8779550670865,240.25999500011784,104.56494428070239,237.16936595795428,916.1774867484065,128.57333753060945,13.922344973728523,1709.928185413831,48.51918598115838
1100102-137,11,001,02-137,950.0000000000001,35,19,21,24,872,77,66,6,797.0000000000001,125,62,93,452,73,8,880.0000000000001,24
1100102-138,11,001,02-138,2051.928463094034,137.3948116784631,49.12891809908999,32.177262386248735,61.05640166835187,1893.590053083923,174.3303526289181,131.46732810920122,44.04028690596562,1684.9857494944388,305.51567239635995,117.33035262891809,222.9265988372093,1027.424387007078,152.65264787664307,34.153090242669364,1771.001864256825,98.17726238624873
1100102-139,11,001,02-139,1798,56,17,24,20,1795,51,42,7,1636,75,60,162,655,227,23,1663,24
1100102-140,11,001,02-140,1186.4630036751396,19.84051845610601,3.9681036912212027,7.936207382442405,17.85646661049541,1144.797914917317,35.71293322099082,27.77672583854842,1.9840518456106013,1031.7069597175127,36.704959143796124,32.73685545257492,119.04311073663608,212.29354748033435,107.13879966297247,12.896336996468909,1042.619244868371,12.896336996468909
1100102-141,11,001,02-141,2361,108.00000000000001,59.00000000000001,20,52,2117,210.00000000000003,130,19,1841,303,168.00000000000003,257,1051,150,22.000000000000004,2098,56.00000000000001
1100102-142,11,001,02-142,1368.3369491414464,89.23346084032205,41.12218904143654,17.03598586376157,36.10351362550402,1290.985156451798,124.42532330831413,80.16316435776486,13.06078299271744,1161.5182322688772,184.62268193105118,96.31042452268865,171.3460175358187,576.4465358877883,173.24382759153363,30.045186574462146,1287.1131181447877,45.0859291831436
1100102-143,11,001,02-143,1427,144,55,15,72,1286,239,94,22,1112,359,170,179,524,142,25,1374,52
