GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32003006730,32,003,006730,1128.627589938051,742.0216358221759,16.315998030891606,3.7637459850172297,24.421671890002877
32003006731,32,003,006731,590.1443093675723,552.1950571923975,4.993023245947115,0.9985845564214173,10.983877569515435
32003006732,32,003,006732,655,516,15,4,8
32003006733,32,003,006733,1047,743,16,2,21
32003006734,32,003,006734,756.8442151544335,587.3587093891316,9.245109604661303,3.049021920932261,10.245109604661303
32003006735,32,003,006735,1279,999,24,3,16
32003006736,32,003,006736,434.00000000000006,355,2,1,9
32003006737,32,003,006737,1358.372410061949,1007.9783641778242,16.684001969108394,2.2362540149827703,13.578328109997125
32003006738,32,003,006738,1009,741,11,2,19
32003006739,32,003,006739,575,324,14,0,10
32003006740,32,003,006740,755.8077153060817,563.5455227107844,9.891291606628421,1.0262427033334311,8.939275988636169
32003006750,32,003,006750,768.8470869533886,555.6586601974218,5.9578187029473115,1.2947134470607113,13.03149706471249
32003006751,32,003,006751,875.3610387553352,710.0766232097603,12.003896101075272,3.6935064926385452,12.927272724234909
32003006752,32,003,006752,855.1662617794692,831.1267201203071,17.003736219763354,5.000311351646946,15.003113516469462
32003006753,32,003,006753,629,544,15,4,9
32003006914,32,003,006914,0,0,0,0,0
32003007012,32,003,007012,605.1965577142613,277.8652557286431,13.278530376139239,4.73459455905194,12.326195061630399
32003007047,32,003,007047,533.5840188131051,389.6961935151891,10.99143109914636,2.9976630270399167,5.995326054079833
32003007048,32,003,007048,573.9957082668202,444.9966727852526,7.9999401849034175,0.9999925231129272,11.999910277355127
32003007049,32,003,007049,428,303,3,2,9
32003007050,32,003,007050,384,396,2,0,7
32003007054,32,003,007054,536.1297816993699,274.34573742156846,8.122107205166731,5.048842882066692,4.085475043616712
32003007079,32,003,007079,637.0191176470588,275.4220588235294,9.293382352941176,4.224264705882353,6.758823529411765
32003007097,32,003,007097,565,280,13,2,10
32003007311,32,003,007311,394,240,8,2,8
32003007312,32,003,007312,654.9992088726443,270.9996726786055,10.999986713891737,2.999996376515928,8.999989129547783
32003007332,32,003,007332,651,242,8,3,9
32003007334,32,003,007334,246.58756314660226,104.81247824744409,4.640224763450573,0.02653190931508395,3.6750351377193406
32003007341,32,003,007341,203.09007856843874,89.08453219047851,4.060818584445248,1.260922414680044,1.4833634870041366
32003007351,32,003,007351,322.72926637988616,518.5649822017366,5.994970892505625,1.9983236308352084,5.994970892505625
32003007352,32,003,007352,371.27073362011384,840.4350177982634,9.005029107494375,4.001676369164792,9.005029107494375
32003007354,32,003,007354,438,563,9,2,14
32003007355,32,003,007355,663.0956309196456,666.5597311335166,16.17995722578674,4.066300030553009,7.104185762297586
32003007356,32,003,007356,244,454,12,2,7
32003007357,32,003,007357,532.9043690803544,581.4402688664834,18.82004277421326,6.93369996944699,10.895814237702414
32003007358,32,003,007358,166,178,4,0,4
32003007359,32,003,007359,584.0773624749752,711.4400582105745,12.93527378564681,1.99004212086874,9.950210604343699
32003007360,32,003,007360,293.3428703276419,520.9533917858791,3.924319335486848,2.9432395016151363,7.848638670973696
32003007361,32,003,007361,188.72691933916423,375.56656948493685,7.549076773566569,3.7745383867832847,6.605442176870748
32003007366,32,003,007366,1517,1396,32,3,25
32003007387,32,003,007387,432,299,15,3,14
32003007395,32,003,007395,559,368,8,0,16
32003007402,32,003,007402,545.4651357551222,411.4778042050326,11.241795481654599,2.0402992469424333,8.201496234712167
32003007403,32,003,007403,629,552,11,1,14
32003007405,32,003,007405,657,646,7,1,15.000000000000002
32003007410,32,003,007410,538,561,18,3,7
32003007411,32,003,007411,705,574,13,1,18
32003007413,32,003,007413,1044.4589367027631,829.3831604299497,18.22023830724656,3.0066452103026324,13.955858045816134
32003007414,32,003,007414,1121,829,9,3,16
32003007415,32,003,007415,706,627,15,1,19
32003007416,32,003,007416,490,299,10,1,10
32003007417,32,003,007417,552.1941923328264,357.19536570039645,16.003813444602333,3,6.004986812172282
32003007422,32,003,007422,776,644,20,3,14
32003007430,32,003,007430,627,631,11,5,15
32003007500,32,003,007500,852.0267319419005,701.0312959319812,17.002607994331758,6,16
32003007501,32,003,007501,120.29553852535308,70.58663830826504,2.982534013025283,0.994178004341761,0.994178004341761
32003007502,32,003,007502,266.23945653879446,239.66761253981494,2.6050827449979885,1.5630496469987931,3.647115842997184
32003007503,32,003,007503,204.00000000000003,128,4,1,7
32003007504,32,003,007504,188.98088235294117,99.57794117647059,7.706617647058824,0.775735294117647,3.2411764705882353
32003007505,32,003,007505,2.584409179664104,1.6758278274384424,0.03028604507418872,0.03028604507418872,0.020190696716125812
32003007506,32,003,007506,306.00079112735574,154.0003273213945,4.000013286108264,1.0000036234840721,7.000010870452217
32003007507,32,003,007507,743,473,7,1,10
32003007508,32,003,007508,251.24235881285978,162.91496704271378,2.9442463923382007,2.9442463923382007,1.962830928225467
32003007509,32,003,007509,556,248.99999999999997,21,0,12
32003007511,32,003,007511,2.1732320074761033,1.4092051298477857,0.025467562587610584,0.025467562587610584,0.016978375058407057
32003007512,32,003,007512,335,215,11,0,7
32003007513,32,003,007513,945,449,11,6,13
32003007514,32,003,007514,0,0,0,0,0
32003007515,32,003,007515,620,592,4,1,6
32003007521,32,003,007521,15,6,0,0,0
32003007522,32,003,007522,1447,771,22,4,17
32003007523,32,003,007523,167,110,0,0,1
32003007524,32,003,007524,531.340231035858,326.65479550952995,9.11950934703157,2.998852842453146,7.095683954795046
32003007525,32,003,007525,431,229,9,3,7
32003007526,32,003,007526,338.00000000000006,161,12,0,2
32003007527,32,003,007527,432,233,10,1,8
32003007528,32,003,007528,843,459,10,5,10
