GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17001001001,17,001,001001,91,383,2,1,0,1,98,361,5,6,2
17001002001,17,001,002001,69,381,12,2,0,1,75,376,4,6,1
17001003001,17,001,003001,59,349,8,4,1,0,65,344,5,7,0
17001003002,17,001,003002,48.98485759305904,402.8595779242553,2.998997338106405,2.9989091663929934,8.817171341158121e-5,0,55.98216536178701,394.8624280327317,3.5268685364632486e-4,3.9984867740483834,2.9987328229661703
17001004001,17,001,004001,18,117,1,0,0,0,23,112,0,1,0
17001005001,17,001,005001,63.743198632379915,343.2073013013475,3.048031130099477,1.999365999634505,0.9997482346781338,8.534916200525079e-5,66.75921123003481,337.0626733259247,4.047300975797815,2.0480654458850722,0.01633299454794571
17001006001,17,001,006001,62.99855788563773,266.99734431578986,3.0000511529529277,0,0,1.999927993650309,65.998791781581,253.9973742584453,2.999932986508475,3.000090541767745,2.9999581742395574
17001007001,17,001,007001,49.941974180296434,343.05483998877486,3.3408879570015144,5.011468459259543e-4,2.5057342296297717e-4,0.0755973842007578,51.89381829762906,332.74959500402525,3.1291846242374337,3.4162347677793092,1.2290135042604486
17001007002,17,001,007002,59.11531650266098,332.0386705819936,2.9558434280463173,0,0,0,73.89286219552987,309.37887574766785,3.941005181631087,2.9558434280463173,1.9704428962668759
17001008001,17,001,008001,40.98946742948596,234.44650189304272,4.6328978676852515,8.850077526727384e-4,0,0.9174448285424835,50.184382865527795,219.6516342991068,1.8697075252487907,5.549117740688112,2.7667889039932607
17001009001,17,001,009001,96.22059481129898,504.2978966559612,13.023217121437476,0.9991149922473272,0,0.006944444444444444,106.28118917821669,488.20094566889287,1.013003881136216,12.031046573634594,3.018178310075315
17001010001,17,001,010001,19.000017576282687,102.00019919787044,2,0,0,0,25.000031246724774,94.00017771574716,1.0000019529202984,2,0
17001011001,17,001,011001,9.270089354300802,105.34665491440255,3.7525140939156584e-4,5.360734419879512e-5,0,0,16.668944539129345,93.94729246843528,1.0003144409893776,2.680367209939756e-4,0
17001012001,17,001,012001,20.995574212525415,146.9690194876779,0,0,0,0,20.995574212525415,143.96965174303142,0,1.9995784964309917,0.9997892482154959
17001013001,17,001,013001,36.0206761964186,334.1700290174313,2.001266008785647,0.001267177033829891,0,0,38.02363177458269,328.166653383419,0.9999994158759087,2.001688401130257,1.0012665929097386
17001014001,17,001,014001,97.99479294060421,673.9643952004811,6.999624748590608,0.9999463926558012,0,0,126.99327446343908,634.9664291020501,5.999683518194328,4.999731963279006,0
17001015001,17,001,015001,22.98279460977972,203.8391213710285,2.9971785420398,0,0,0,30.975270721885853,190.85071543350253,1.9981190280265333,0.9994810175822748,0.9992702657977708
17001016001,17,001,016001,99.02248464167458,544.8974971745408,12.99571498463293,1.0010321337404775,1.998522793694547,0,117.00787367141184,520.9076889127933,3.998375516692056,5.996678198653528,2.001621736545423
17001017001,17,001,017001,67,494,8,1,0,0,80,477,2,5,0
17001018001,17,001,018001,90.24675324675324,483.6586270871985,8.059369202226346,1,0,0.029684601113172542,107.60296846011131,458.1539888682746,3.0593692022263452,11.059369202226346,0.029684601113172542
17001018002,17,001,018002,40.77487793094162,250.5332320540951,1.9434522557338547,0,0,0.9703153988868274,52.42618660547741,234.02564395519147,1.9425117697471215,1.9415712837603882,0.9712558848735607
17001019001,17,001,019001,105.06680694631811,511.38256892375284,4.010932773613436,9.088890032386873e-4,2.0013763862921436,0,105.0831669483764,501.36296254624676,1.003414860155788,2.0050119423050985,1.0015970821493105
17001019002,17,001,019002,142.13926042373242,463.2388864679189,10.996503517017235,2.999253979285604,1.3840198800821377e-5,0,146.12558331442528,447.2493413602019,2.999274739583805,3.006719531402053,4.997933277551423
17001019003,17,001,019003,100.58588826004907,362.9310127347707,14.528825847191884,0.9580966685230775,0.04360995502315388,0,113.08738975840984,352.23072878632985,3.864462303091548,8.775083634443318,0.03291807869007452
17001020001,17,001,020001,112.30790788327668,474.8220274691851,7.4026306143002145,1.1342204808540095,0,0,109.10658872259386,475.6877915742002,1.1342204808540095,7.134174238461289,0.06711409395973154
17001020002,17,001,020002,158,593,16,3,0,0,166,578,8,7,2
17001020003,17,001,020003,132.57972623490323,368.4617769652144,5.680886135986148,1.9324936048549286,0.9196089309960092,0,130.88042198720558,359.9987451005245,7.403509319399529,4.691320397842956,3.7017546596997644
17001020004,17,001,020004,83.8905121651122,352.81064686211624,4.019491127573962,0,0.9980464461837406,0,90.74941235514972,340.118198271064,1.9869911114211476,2.966833995712221,1.9778893304748142
17001020005,17,001,020005,114.3934812273937,382.37143290134713,5.649741032894974,1.7524572462828885,0.23052858678834803,0,111.16917004124089,380.737164622451,2.2922800331970676,2.5559387599807666,1.2877957113985055
17001020006,17,001,020006,108,441,7.000000000000001,2,1,0,115.00000000000001,439,1,1,2
17001021001,17,001,021001,57.358986250236086,290.1198197470103,1.1855120881090024,1.061825579074403,0.03090909090909091,0,58.29714463741231,284.8416510879456,0.24728043433818084,2.1545987843851644,1.123636053827131
