GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
17001001001,17,001,001001,76,359,10,1,2,175,260,5,7,0,117,299,10,9
17001002001,17,001,002001,72,350,17,5,1,138,283,16,6,0,118,299,17,5
17001003001,17,001,003001,69.07230769230769,331.5784615384615,12.013846153846155,3.003076923076923,1,118.18153846153845,267.4553846153846,12.010769230769231,9.00923076923077,0,94.14923076923077,294.4753846153846,9.015384615384615,12.010769230769231
17001003002,17,001,003002,46.914134743658806,375.29306947964716,8.98404111895062,1.9963600844674223,9.349752160422706e-5,117.78169207775696,295.4435279720737,6.987587536961593,5.988332273229433,0,96.81808798917774,308.42215921039127,9.981613427293903,6.986746059267155
17001004001,17,001,004001,16,112,2,0,2,30,97,1,0,0,32,92,1,1
17001005001,17,001,005001,69.39261164949292,331.8954006299687,17.936229829159526,3.0006469265482036,0.9772784872186697,143.7477300613962,260.6262435026315,14.163628052942455,1.3203087993535265,0,92.5986551301121,304.5217214380924,12.981249500646415,5.573123777780362
17001006001,17,001,006001,53.09686033157542,232.8830178825056,4.657785541681267,0.9315747388508956,0,107.12540608254312,167.6761867364771,6.520801846002984,4.657607347494332,0,89.42580302637042,179.78642013717408,3.726415250372269,9.315197816577276
17001007001,17,001,007001,47.44145929584191,335.606434694027,10.451076612080987,1.2762997936595561,0.022672256071853664,116.09200919893985,261.2302082707829,10.782667752934351,1.8675059432333942,0,87.30394527224581,283.17708235783954,11.119199933828027,5.789311142600962
17001007002,17,001,007002,67.94322562751726,297.8492680505698,8.377106469654652,0.9307896077394058,0,139.61175447275815,211.28961944862735,13.030423688714631,7.445433714423376,0,116.3421404432004,234.55847649462063,15.82241402015062,2.7926211510730377
17001008001,17,001,008001,40.90077859999454,206.67957106825816,6.545591614961501,1.8537765770181296,0,82.97075225788663,155.38948378276217,7.459296575167461,3.688662667902265,0,56.03542912879138,173.0681232526061,9.293049771707672,6.494562000909108
17001009001,17,001,009001,89.22678986556768,464.1249636327347,18.032680971563003,8.006808826867507,0,179.45963916782713,376.82001486277284,12.044935462523483,8.020697715756397,0,131.30073065106654,410.92186904362643,12.058824351412373,15.03533599482102
17001010001,17,001,010001,19.00002538796388,83.00017966866746,3.0000019529202984,0,3.905840596931401e-6,45.00006444636985,58.000134751500596,2.0000097646014923,1.9529202984657005e-6,0,33.000035152565374,65.00015428070358,1.0000058587608953,3.0000058587608955
17001011001,17,001,011001,13.204229820596881,94.88035349764236,1.0667163122424284,1.1074439007323108e-4,2.0000409660434064,33.80686765694127,71.14357040135344,5.001126800716694,1.0006018910695877,0,18.804594698691925,81.0123215999553,3.0009750902832137,3.0674217446262744
17001012001,17,001,012001,17.996206467878928,149.96838723232437,1.9995784964309917,0.9997892482154959,0.9997892482154959,52.98883015542128,110.97660655192004,0,1.9995784964309917,0,39.99156992861983,117.97513128942852,2.999367744646488,3.9991569928619835
17001013001,17,001,013001,35.01980145363778,284.15840929260594,10.003789841351189,2.000842316772285,0,105.04970428317797,218.12470844397726,6.002948692827087,2.0025292868132194,0,74.04086579830991,237.13017999825254,6.004213920357788,10.002946356330723
17001014001,17,001,014001,103.61194231312957,614.2333582211395,9.242135287651623,2.0807654139924034,1.0538723912456565,228.57074929121634,458.03362381917293,21.40324378711422,11.161148384879072,0,184.03640585244304,482.27250297648027,18.376440859719462,22.187508334713538
17001015001,17,001,015001,23.981221868439473,189.85292043019626,3.9966595596220746,0.9992702657977708,2.1075178450408449e-4,63.95097874142778,142.88890395197708,3.9962380560530666,0.9994810175822748,0.9990595140132666,49.9614057720435,156.87721241065435,4.995929825419846,8.430071380163379e-4
17001016001,17,001,016001,75.42860756017701,518.9897532356387,25.21171009448953,4.048302862347567,1.031614863753681,201.11045251138816,395.39274619886544,10.157845187700307,7.185395433740282,0,150.32013428547185,438.15495453407726,18.2730992728462,14.08743500017952
17001017001,17,001,017001,58.38247683235046,442.7337826453243,8.75737152485257,2.919123841617523,1.9460825610783488,165.41701769165965,326.9418702611626,14.595619208087616,5.838247683235046,0,109.95366470092671,371.7017691659646,13.62257792754844,6.81128896377422
17001018001,17,001,018001,110.24675324675324,418.9165120593692,17.267161410018552,4,0,216.96846011131726,305.1057513914657,24.23747680890538,4.029684601113173,0,170.22634508348796,352.8181818181818,15.207792207792208,10.089053803339517
17001018002,17,001,018002,40.77581841692835,226.26218027811012,8.73660053392838,9.404859867333149e-4,0,97.09173099183367,167.0287381046372,7.766285135041553,0.9712558848735607,9.404859867333149e-4,72.82067921584873,190.3294744817353,6.796910222141459,2.910946196660482
17001019001,17,001,019001,89.6459478230983,453.28287200578643,13.804272820706466,2.9568036716539026,1.9696614776846408,199.02549370507404,348.8270175269968,9.852930298677087,11.818893448158622,0,146.8077368682378,399.068640811793,17.735274537618757,5.919154835612465
17001019002,17,001,019002,118.09744363734123,450.2163402250487,26.000799803330583,8.000678636861153,1.9986794177495504,220.13432863815223,361.1744163410035,16.99713096245401,7.0013635665273375,0,204.06233630475558,370.2438458751171,13.996794325524247,10.997565406769503
17001019003,17,001,019003,76.33147447994548,270.31776788017504,11.91261464756592,1.7651433479363248,5.558369112444216e-4,148.0882747874617,205.43602321136282,3.3213220392621596,4.397512027011503,0,107.09248736031657,241.9460490754991,7.753795268349015,3.685661951525558
