GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17001001001,17,001,001001,74,210,51,11,58,278,8,147,192,9,99,236,10,92,243,7
17001002001,17,001,002001,53,234,46,18,47,286,17,141,194,16,87,244,15,74,258,16
17001003001,17,001,003001,42,202,32,9,37,245,5,100,182,6,62,215,9,50,223,9
17001003002,17,001,003002,40.98673781268793,249.914857751359,37.987475959441284,14.99419314511132,33.98960638738678,296.89800314941834,7.997326234950413,110.9638713987845,224.92215520657803,6.997395940441377,61.9792783208657,264.9103734721715,13.994703709169341,57.981673263951436,267.9079600628633,10.996147229629996
17001004001,17,001,004001,12,84,11,0,13,92,1,36,69,1,20,84,1,20,85,0
17001005001,17,001,005001,46.537915945941336,235.5868995271131,40.21456794790449,6.111743721464339,45.40865678389296,269.90060011626997,8.110894717541328,123.48697921088977,197.85295632811054,4.063810375953532,62.727935558129154,256.5638902297526,7.079084460511351,70.80620859180809,243.47080396757855,9.094785900672557
17001006001,17,001,006001,44.99891669166658,171.99868144801852,15.999877856121977,7.999840456023944,46.99870910335231,186.99842127208504,5.000007548770707,113.9975478093736,123.99972847615183,2.9999794758651603,69.99855479016826,165.998614644822,4.999953958872155,67.99881985448656,164.99843079507895,5.00000044822884
17001007001,17,001,007001,36.17691490287423,235.58204009574993,15.385630377206773,7.426122468103862,28.335546321044013,256.24398415527406,7.471138354195477,99.45903825452693,187.8513295626978,4.266356345757286,50.11094699684931,233.78459220472072,5.420524186085865,55.128276798897716,227.62743166191305,6.484005822375495
17001007002,17,001,007002,55.173117430056536,196.0741708993671,31.526847562075343,10.83761501311382,56.15732407086263,220.70560252093304,13.79310027386813,120.2009565124915,163.55834113259223,9.852095092237045,84.72940270676767,191.1482427423459,11.822537988503921,79.8041908843305,195.088173422101,12.807819131186026
17001008001,17,001,008001,27.990410795937397,157.92401879303725,15.77828392627433,5.591427172207628,26.967603142093704,168.27431833883887,5.595185338398342,76.45628224466023,127.07247616261142,2.803703712448129,50.161071931094156,148.73480163149347,4.657228645479744,52.97086834674642,144.07985962656818,5.584916383209033
17001009001,17,001,009001,87.13133765885081,348.865628413181,24.09681536949141,8.034586604645286,71.13855333844913,380.9136970539844,13.03016156588192,177.41279807222136,284.69310224268537,6.015523286817297,106.28118917821669,342.8014940152526,13.023217121437476,107.30113750379735,341.7676568007831,13.03016156588192
17001010001,17,001,010001,15.000021482123284,57.00014061026149,7.00001171752179,1,13.000021482123284,63.00014842194268,2.0000039058405967,36.000054681768354,43.00011912813821,5.858760895397102e-6,19.000033199645074,58.000132798580296,1.000003905840597,20.000033199645074,56.000132798580296,1.000003905840597
17001011001,17,001,011001,11.467463868577143,74.14012961423408,6.399720105411539,0.06724370510269102,11.202241562260294,78.73902208858378,2.066746832853272,29.136669241351665,62.87123402765728,3.000407249526145,17.602390526425424,70.33894113791447,2.0665860108206755,17.602229704392826,70.27271597235156,2.132918391071987
17001012001,17,001,012001,19.995784964309916,101.97850331798058,20.995574212525415,3.9991569928619835,20.995574212525415,122.974077530506,3.9991569928619835,41.99114842505083,101.97850331798058,2.999367744646488,27.994098950033884,112.97618504835104,4.998946241077479,27.994098950033884,114.97576354478203,3.9991569928619835
17001013001,17,001,013001,34.017298225909904,213.10547366772104,28.01603455362062,6.006332380424602,28.014344984242182,245.12530741594676,5.003376218136423,94.04683064258712,180.09493313520082,7.002952657543631,52.02615795091307,218.11180663226972,7.0059094039559,48.024470718031,225.11306972043494,6.004642811046161
17001014001,17,001,014001,73.99608984138402,399.978928745006,44.99761864306818,18.99898146046022,67.99641148544922,453.97605459745733,9.999474251077054,205.98910143036164,323.98294611831034,7.999586628024972,120.9936012697638,401.9788008812795,6.99963507310965,117.9937620917964,401.9788008812795,8.999527858421253
17001015001,17,001,015001,24.98070288602175,132.89641204578388,16.988437525700117,6.994259605230883,20.984675581753187,156.87826616957688,0.999902521151283,61.950541443771705,116.91145982157161,1.9987512833800456,36.97110306845698,138.89308739949303,3.997291814975587,34.97298404043045,139.8925684170753,3.997081063191083
17001016001,17,001,016001,82.00207332373098,355.9394267765153,40.99364288263425,13.997411542441274,65.01373811911824,406.9274567010118,12.997044358838785,191.99233463087802,286.953202876654,12.991293648038312,104.01415429547887,366.9257859426813,14.996009712495848,115.01133436494626,349.93259268275233,20.992024071205602
17001017001,17,001,017001,51,309,37,12,42,356,9,147,261,1,86,315,5,88,311,3
17001018001,17,001,018001,84.18738404452691,282.92764378478665,41.68274582560297,9.11873840445269,76.24675324675324,324.2244897959184,15.415584415584416,183.0779220779221,227.51205936920223,10.296846011131725,118.75139146567719,279.8385899814471,18.267161410018552,105.75139146567719,289.92764378478665,19.20779220779221
17001018002,17,001,018002,38.836128105141434,161.19744085144887,22.3332424361715,3.887844997454443,40.77299695896815,170.92316650399874,13.585356070402318,67.98038805325538,147.59797749124556,9.705034960841742,57.28340651583195,158.2921375707088,8.73660053392838,57.281525543858486,161.204024253356,6.795969736154725
17001019001,17,001,019001,83.05621114212073,349.2465416310017,20.03285053198945,7.0111795750451735,71.04340837935167,378.28649479030906,4.010932773613436,189.1327951716173,271.2010425666373,2.0113741653277692,110.07024791204847,338.2589670644662,8.011867768191246,127.07649386151226,322.2470470851258,7.017541798067844
