GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREAFUE,G16PREOWRI
44001440101,44,001,440101,985.5593907750869,499.90765626585886,57.974081810299225,21.859080026834135,1.9007895675507942,35.164606999689695
44001440102,44,001,440102,1368.3611401330952,696.8598768906257,71.28144315125428,21.34400488354513,2.9509611189165033,40.34346957564106
44001440103,44,001,440103,1104.0461032853245,456.12121739158493,57.80226744345509,16.38110829486768,0.00976933514246947,47.14602632712559
44001440104,44,001,440104,1312.4092759628577,603.2065106056702,79.24659700138834,24.492040732586926,1.9645322603466633,59.62981515123242
44001440105,44,001,440105,1335.9416867646976,610.1389534587562,73.004772954362,24.614693310916515,4.045124195029479,61.49704695335979
44001440201,44,001,440201,493.04814195104956,464.43753588917076,41.96150687125249,11.444063271131112,1.9073409346830192,23.841773669167274
44001440202,44,001,440202,384.657939778508,190.3359235691581,38.86440324186998,9.965231600479482,0.9965231600479482,17.93741688086307
44001440203,44,001,440203,1197.7210932629255,832.765448276142,82.96647665782062,25.993630010457863,9.939065642507506e-4,52.98040171994813
44001440204,44,001,440204,814.7226520354121,529.2996583417646,42.6855656203394,17.38310358840774,1.0621639881725913,28.709012721464138
44001440205,44,001,440205,814.4842105263158,735.1894736842105,80.27368421052631,18.6,2.9368421052631577,34.26315789473684
44001440206,44,001,440206,723,493,40,15,3,26
44001440207,44,001,440207,557.3420602214919,299.6640764308419,41.13559675813002,11.034768399520518,1.0034768399520517,19.06258311913693
44001440208,44,001,440208,643,411,48,18,1,30
44001440209,44,001,440209,134,103,12,6,1,5
44001443401,44,001,443401,664.0434305520066,449.04071614250614,43.00317534696274,24.000921874924668,3.0002048610943706,35.0020486109437
44001443402,44,001,443402,847.9975829711861,794.9979174857236,62.0003151656494,18.000030083060462,3.9999537985698175,39.99993463485865
44001443403,44,001,443403,1204.9828887011045,768.2692501804823,73.10927612744902,32.578251172018156,3.0925004056527925,48.203670748881265
44003440601,44,003,440601,386.30298103938145,554.6971040878021,46.6500383477686,7.221316212434319,3.997774353674503,12.300429097619789
44003440602,44,003,440602,111.45521658626308,123.63099654946829,19.668567632869955,3.7463938348323724,1.8731969174161862,9.36598458708093
44003440603,44,003,440603,679.3835267720376,879.9672125803427,64.18041073501408,21.781637261918128,4.185390710338854,39.972730447738954
44003440604,44,003,440604,398.8479194102068,532.1827913241301,36.95880493889623,15.97273253170933,2.002259388251872,24.96029065763023
44003440605,44,003,440605,392.5270382890276,591.4651173085423,42.030119283768556,16.574497964258942,1.958946316837322,18.61889067610087
44003440606,44,003,440606,176.7533536274005,274.5466980978212,14.433341657025023,5.598562965296635,0.8023489775432211,14.391196231475371
44003440607,44,003,440607,620.0305664989539,701.1080966005026,51.84076486598176,20.528004430920593,2.908691941614303,19.688790706562692
44003440608,44,003,440608,578.0214978751321,705.2866841285742,41.61837213322744,23.61419509611648,2.0926050560725864,33.54298268910962
44003440609,44,003,440609,399.6046438657044,633.4647003451522,45.2412927518042,15.490743646062128,3.0577345465955443,18.548478192657672
44003440610,44,003,440610,271,334,25,16,1,14
44003440611,44,003,440611,419.9720607823095,505.91983136101464,31.253734755892797,9.7667921112165,0,15.626867377946398
44003440612,44,003,440612,473.2209455240274,525.4635589842919,42.39274761607245,7.074828916510845,0.037483921995083144,24.18694328718917
44003440613,44,003,440613,397.9838681615921,465.1777223311609,39.717412719738384,6.195472432564727,3.0939153743751895,18.35714436359354
44003440614,44,003,440614,229.10555215381126,216.34919387365517,6.041221655290548,2.0037152617067986,1.0047495414466832,9.01035647437537
44003440615,44,003,440615,461.62060911811074,640.4860917115441,38.09990720578071,8.052508130827226,1.9890130946989655,28.995019076385184
44003440616,44,003,440616,530.2224360751991,718.764071405089,47.58543726876179,7.145137924949005,6.022245963706081,26.231044535491915
