GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWHI,G18USSRFLA,G18USSOWRI,G18GOVDRAI,G18GOVRFUN,G18GOVITRI,G18GOVIMUN,G18GOVOGIL,G18GOVOARM,G18GOVOWRI,G18LTGDMCK,G18LTGRPEN,G18LTGIRIC,G18LTGIMCC,G18LTGOHEL,G18LTGOWRI,G18ATGDNER,G18ATGOGOR,G18ATGOWRI,G18TREDMAG,G18TRERRIL,G18TREOWRI,G18SOSDGOR,G18SOSRCOR,G18SOSOWRI
44007440401,44,007,440401,360.39564693182126,62.06912338462748,3.758836133123132,311.4917763125818,69.58170857844262,8.468827212497105,22.563190943601068,4.713382460994731,2.8280294765968383,2.819551022544944,351.88612313987505,45.15181724935782,8.468827212497105,2.8246380949760805,3.772401659606163,1.8819616027771344,365.9957480882724,38.58360423855201,1.8802659119667555,353.7799545783248,55.492431919769786,1.8802659119667555,358.49333703931956,55.48734484733865,0.9392851105781884
44007440402,44,007,440402,192.51007489628333,32.13469510248174,2.0022081164341268,168.46149633473254,34.12586263674524,11.033121746511904,10.024289280775397,2.0154568150388887,0.004416232868253966,1,186.51890736201983,27.088324657365078,6.008832465736508,3,1.0264973972095237,1.002208116434127,187.51890736201983,27.099365239535715,1.002208116434127,187.51228301271746,30.121446403876984,1.002208116434127,186.53878040992697,32.10598958883809,1
44007440403,44,007,440403,391.42169890787045,55.019300670824286,0.006199398488603513,365.7833683978206,48.17056030498104,9.830853111189775,19.62450983144793,11.792064214636849,1.9922080958900898,0.9837052509678379,392.1946246102258,29.56695211543257,7.875841406231307,3.9348210038713516,2.988312143835135,0.9899046494564414,389.3364998346513,34.47927897178315,2.938716955926307,376.61032555695544,49.14806615746028,0.9837052509678379,390.35740147655076,44.24193869959829,0
44007440404,44,007,440404,360,46,2,328,51,5,21,6,4,0,349,33,6,5,6,2,352,41,1,333,52,2,362,38,1
44007440405,44,007,440405,154.075788886826,19.008495509437722,4.471320756695716e-4,149.0713175660693,16.008495509437722,4.002012094340513,5.003353490567521,3.0006706981135043,2.0013413962270086,0,150.0706468679558,17.006483415097208,2.001117830189174,0.001341396227008715,5.002012094340513,0.0011178301891739291,156.07310609437198,15.006930547172878,4.471320756695716e-4,152.06908190569095,18.009166207551228,4.471320756695716e-4,161.07422392456115,12.00648341509721,2.235660378347858e-4
44007440406,44,007,440406,228.37712022566788,60.30737806824996,0.9886455421024584,206.6269182994138,56.35279589984013,14.829683131536875,10.875100963127043,6.920518794717209,1.9772910842049167,0,232.33170239407772,39.545821684098335,3.9545821684098335,0,11.863746505229502,0.9886455421024584,232.33170239407772,44.489049394610625,0.9886455421024584,229.36576576777034,54.37550481563521,0.9886455421024584,241.22951227299984,47.45498602091801,0
44007440407,44,007,440407,93,19,0,83,15,6,6,2,2,0,92,13,4,0,0,0,98,10,0,93,16,0,96,15,0
44007440408,44,007,440408,322.93774397631984,77.74427169800292,2.9901642960770354,295.02954387960085,66.78033594572045,11.960657184308142,22.924592936590603,6.977050024179749,4.9836071601283924,0.9967214320256784,315.9606939521401,51.82951446533528,10.963935752282463,8.970492888231107,9.967214320256785,0.9967214320256784,324.9311868403712,54.81967876141231,1.9934428640513568,301.0098724717549,80.73443599407996,0.9967214320256784,327.9213511364482,66.78033594572045,0
44007440701,44,007,440701,765.0508822470608,302.01243919264397,3.0163697256096818,588.0733142305071,424.8718031695016,29.025252442420545,21.06948349369172,12.033828101459562,10.018491081696672,4.006411351016074,710.0021530394181,246.01726832830124,33.02806082546568,19.003158392752933,25.981017060330217,1.0167670180725845,819.8351845852533,157.09222765634615,9.025986752133793,743.9061479836836,289.0152948584442,5.011047024833806,776.992402826267,275.99142513157824,3.0017756771983426
44007440702,44,007,440702,570.5078048780488,248.7780487804878,1.058048780487805,443.330243902439,318.75658536585365,29.165853658536584,19.033170731707315,14.074634146341463,5.0165853658536586,2.024878048780488,549.4414634146341,201.13121951219512,18.273658536585366,9.074634146341463,18.199024390243903,3.0497560975609757,619.4282926829268,133.35999999999999,7.066341463414634,573.5990243902439,214.52926829268293,2.0165853658536586,573.6321951219512,227.53756097560975,1.0414634146341464
44007440703,44,007,440703,419.4921951219512,332.2219512195122,6.9419512195121955,278.669756097561,449.24341463414635,19.834146341463416,3.966829268292683,8.925365853658537,1.9834146341463414,2.975121951219512,411.55853658536586,254.86878048780488,32.726341463414634,8.925365853658537,23.800975609756097,5.950243902439024,529.5717073170732,162.64000000000001,7.933658536585366,430.40097560975613,302.4707317073171,1.9834146341463414,434.3678048780488,303.4624390243903,4.958536585365854
44007440704,44,007,440704,170.48628708670702,79.06953245221693,8.801576229991515e-4,130.4224756590396,104.09461694447242,2.0132023643449872,2.015402758402485,6.01100197028749,3.004400788114996,1.0013202364344986,162.45856212158256,62.050168984510954,8.007481339795493,3.006601182172494,10.01188212791049,0.003520630491996606,200.45812204277107,33.058090403117944,0.004400788114995758,175.45944227920555,70.06777213697093,0.0026404728689974543,175.47088432830455,69.06601182172494,0.001760315245998303
44007440705,44,007,440705,180,99,2,115,148,6,3,4,6,1,166,85,12,3,8,2,208,50,2,164,110,1,174,100,1
44007440706,44,007,440706,625.445094217024,954.7810266406757,4.8862897985705,385.0396361273554,1157.0734243014945,41.044834307992204,8.7953216374269,15.6361273554256,1.9545159194282,1.9545159194282,700.6939571150098,734.8979857050032,34.2040285899935,14.6588693957115,42.0220922677063,7.8180636777128,1047.6205328135152,315.65432098765433,23.4541910331384,729.0344379467186,809.1695906432748,5.8635477582846,754.4431448992852,788.6471734892787,4.8862897985705
44007440707,44,007,440707,702.7365188760556,820.186914512276,5.011861964685891,411.8705954539855,1026.2699482650771,49.470524599206996,9.083033752801235,22.18583744674562,9.059309823429453,4.019769941143151,742.8828164405148,605.3882088900926,53.17792947028836,17.094895717487127,46.19769941143151,7.011861964685891,1055.8950374270441,274.39575784470645,22.086987741029866,763.0370219814315,703.7519758071267,4.00790797645726,798.1437796636045,686.6452181249537,2.011861964685891
