GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26163163514,26,163,163514,300,10,5,0,0
26163163515,26,163,163515,5,0,0,0,0
26163163516,26,163,163516,142,5,0,0,0
26163163517,26,163,163517,150.91989319092121,1.2002670226969292,1.2503337783711617,2.0500667556742322,0
26163163518,26,163,163518,94.19354838709677,1.935483870967742,0.28673835125448033,0.21505376344086025,0.07168458781362008
26163163519,26,163,163519,1073.054901497571,22.04907331844324,3.26652938051011,2.449897035382582,0.8166323451275275
26163163520,26,163,163520,1173.4827978389512,39.48879528067479,10.95192442867885,6.415351293032988,1.5809261287475072
26163163521,26,163,163521,199.61986301369862,6.7243150684931505,1.845890410958904,1.0547945205479452,0.2636986301369863
26163163522,26,163,163522,546.1097497393118,47.06152241918665,13.726277372262775,14.70672575599583,0
26163163523,26,163,163523,508.3694751381216,81.87223756906077,8.568024861878452,10.47203038674033,1.9040055248618784
26163163524,26,163,163524,259,45,2,13,2
26163163525,26,163,163525,458.8261494252873,27.07183908045977,3.014367816091954,3.0167624521072796,2.0047892720306515
26163163526,26,163,163526,802.7416364369207,24.096735187424425,1.0386940749697702,5.019347037484885,1
26163163527,26,163,163527,3,0,0,0,0
26163163528,26,163,163528,415.6167476421835,21.080022863675335,9.044012575021435,8.032009145470134,1.0040011431837668
26163163529,26,163,163529,225.56377277599142,20.371918542336548,3.190782422293676,4.172561629153269,0.4908896034297963
26163163530,26,163,163530,518,23,9,12,0
26163163531,26,163,163531,344.1738505747126,29.92816091954023,5.985632183908046,6.9832375478927204,1.9952107279693487
26163163532,26,163,163532,114.2583635630794,14.903264812575575,5.96130592503023,2.980652962515115,0
26163163533,26,163,163533,513,80,18,28,5
26163163534,26,163,163534,313,6,0,1,2
26163163535,26,163,163535,288,1,2,1,1
26163163536,26,163,163536,633,16,7,3,0
26163163537,26,163,163537,365,3,5,2,1
26163163538,26,163,163538,359,4,1,5,0
26163163539,26,163,163539,302,5,2,2,1
26163163540,26,163,163540,520,17,2,1,3
26163163541,26,163,163541,389,15,7,9,0
26163163542,26,163,163542,423.78102115486774,56.12501715559846,2.0228525983352013,1.0147869753933656,3.001344270490306
26163163543,26,163,163543,488.20377969815115,91.15310070899837,11.21078185003196,3.1363882559030336,0.012398932354821238
26163163544,26,163,163544,13,0,0,0,0
26163163545,26,163,163545,266,3,4,3,2
26163163546,26,163,163546,298,2,1,0,0
26163163547,26,163,163547,378,9,4,4,0
26163163548,26,163,163548,7,0,0,0,0
26163163549,26,163,163549,10,0,0,1,0
26163163550,26,163,163550,402,28,4,6,0
26163163551,26,163,163551,464.7565399372166,36.46982908964074,11.221485873735611,6.545866759679107,0
26163163552,26,163,163552,293,15,4,2,10
26163163553,26,163,163553,301.80083711196374,30.612138123474015,5.1883501918381585,6.109870945238926,1
26163163554,26,163,163554,663,32,16,13,5
26163163555,26,163,163555,91,6,2,0,0
26163163556,26,163,163556,818.9605771708323,14.818345787168255,0.9878897191445504,0.9878897191445504,0.9878897191445504
26163163557,26,163,163557,312.03942282916773,3.181654212831744,0.012110280855449627,1.0121102808554496,1.0121102808554496
26163163558,26,163,163558,218,5,0,2,1
26163163559,26,163,163559,252,2,4,4,0
26163163560,26,163,163560,436,90,8,5,4
26163163561,26,163,163561,15.394607625896239,3.0423590106894265,0.004458843230465986,1.0078029756533153,0.0033441324228494895
26163163562,26,163,163562,303,59,6,6,1
26163163563,26,163,163563,422,65,10,8,0
26163163564,26,163,163564,233,43,6,4,1
26163163565,26,163,163565,382,33,5,7,0
26163163566,26,163,163566,353.60539237410376,37.957640989310576,3.995541156769534,6.992197024346685,2.9966558675771506
26163163567,26,163,163567,407,90,7,9,4
26163163568,26,163,163568,93,22,3,0,0
26163163569,26,163,163569,183,44,3,4,4
26163163570,26,163,163570,398,93,5,8,1
26163163571,26,163,163571,491.68225851093274,66.60420703016884,1.1893163575975643,4.169388319955716,4.039856075283698
26163163572,26,163,163572,754.0780074069045,77.53386183347355,8.554203979251577,11.712148309441215,5.563221044745006
26163163573,26,163,163573,634,13,1,2,1
