GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRENDEL,G20PRETBLA,G20USSRJAM,G20USSDPET,G20USSGSQU,G20USSNDER,G20USSTWIL
26049049007,26,049,049007,728.3643771827707,527.5797438882421,19.29802095459837,3.0558789289871946,0,2.0745052386495924,720.3830034924331,513.2630966239814,9.149010477299186,1.0745052386495926,7.186263096623981
26049049008,26,049,049008,577.1159217877095,642.9357541899442,10.493016759776536,0.9539106145251397,0.9539106145251397,0.9539106145251397,528.4664804469273,644.8435754189944,10.493016759776536,2.861731843575419,30.52513966480447
26049049009,26,049,049009,619.4251812788398,578.4792353328938,14.717205009887937,3.44825313117996,0,4,567.1977587343441,606.4515491100857,8.165458141067898,5.089650626235992,12.717205009887936
26049049010,26,049,049010,851.6556767123171,869.4814190168714,14.509221234049576,4.042960398441965,1.025522966054766,2.0840932372821537,785.2198729652855,902.2642105033129,14.27181116210713,5.061814956206603,21.300942018736087
26049049011,26,049,049011,653,557,12,6,1,0,586,577,10,9,16
26049049012,26,049,049012,541,537,10,4,0,2,473.99999999999994,583,7,1,17
26049049013,26,049,049013,301,536,12,5,0,1,277,541,9,0,17
26049049014,26,049,049014,481.57481872116017,705.5207646671062,7.282794990112063,4.5517468688200395,0,0,448.8022412656559,725.5484508899143,11.834541858932104,0.9103493737640079,7.282794990112063
26049049015,26,049,049015,876.5212240868707,880.0177690029615,17.497532082922014,5.248766041461007,0.035538005923000986,0.035538005923000986,862.8153998025666,872.9417571569595,9.390918065153011,2.1776900296150052,11.533070088845015
26049049016,26,049,049016,400.158273381295,326.1630695443645,10.709832134292565,2.920863309352518,0,2.920863309352518,384.58033573141483,339.79376498800957,1.9472422062350119,0.9736211031175059,8.762589928057555
26049049017,26,049,049017,936.0701281186783,893.41975724882,25.28792987188132,7.082265677680377,2.0205664194200943,4.041132838840189,871.7333108563722,937.0984490896831,15.287929871881323,7.102832097100472,19.411328388401888
26049049018,26,049,049018,610,533,13,4,2,2,573,550,5,1,16
26049049019,26,049,049019,665.4787759131293,488.98223099703847,13.502467917077986,6.751233958538993,0.964461994076999,0.964461994076999,619.1846001974334,514.0582428430405,10.609081934846989,4.822309970384994,14.466929911154985
26049049020,26,049,049020,1013.0739219712526,955.3028747433265,13.780287474332649,4.810061601642711,1.2700205338809034,2,982.5728952772074,951.9733059548254,11.620123203285422,3.2700205338809036,15.59034907597536
26049049021,26,049,049021,494.92607802874744,457.69712525667353,10.219712525667351,2.1899383983572895,0.7299794661190965,0,458.4271047227926,473.02669404517457,4.379876796714579,0.7299794661190965,12.40965092402464
26049049022,26,049,049022,446.26060606060605,420.56969696969696,14.272727272727273,4.757575757575758,0.9515151515151515,0.9515151515151515,426.2787878787879,444.3575757575758,6.660606060606061,1.903030303030303,2.8545454545454545
26049049023,26,049,049023,527,356,19,3,0,5,504,362,13,2,16
26049049024,26,049,049024,630.4011956943469,618.5146907306942,17.818857275662392,6.9051873480304025,0.007817589576547232,3.961725141954475,601.5538773941411,620.6160026326708,13.84492706665925,4.94949260183502,16.853437119331627
26049049025,26,049,049025,362.3802649335793,306.2620067179717,7.010028965281213,0.0012536206601516766,0,1.0029251148736873,337.37316108317185,317.2615888444183,3.0066859768541425,2.001671494213536,11.003342988427072
26049049026,26,049,049026,324.7194950911641,327.5596072931276,3.7868162692847123,1.8934081346423561,1.8934081346423561,0,301.0518934081346,330.3997194950912,7.5736325385694245,3.7868162692847123,8.520336605890602
26049049027,26,049,049027,430.2805049088359,449.4403927068724,7.213183730715287,0.10659186535764376,0.10659186535764376,0,415.9481065918654,455.6002805049088,2.426367461430575,1.2131837307152875,5.479663394109397
26049049028,26,049,049028,387,344,12,4,0,1,366,352,8,1,11
26049049029,26,049,049029,909.6197350664206,626.7379932820284,23.98997103471879,2.9987463793398486,0,6.997074885126313,892.6268389168282,625.7384111555817,15.993314023145858,3.9983285057864646,7.996657011572929
26049049030,26,049,049030,871,650,16,1,1,3,818,681,12,3,15
26049049031,26,049,049031,732,432,8,2.9999999999999996,1,0,715,444,2.9999999999999996,1,5.999999999999999
26049049032,26,049,049032,741,776,5,3,0,0,707,777,8,0,17
26049049033,26,049,049033,600,658,14,8,1,2,579,657,19,3,16
26049049034,26,049,049034,752,770,13,4,1,2,703,800,11,0,11
26049049035,26,049,049035,782,433,16,2,0,4,748,442,7,4,14
26049049036,26,049,049036,595,371.99999999999994,6,0,0,3,594,363,3.9999999999999996,0.9999999999999999,9
26049049037,26,049,049037,697,621,20,2,1,1,667,635,8,4,13
26049049038,26,049,049038,819,690,29,5,2,3,819,682,15,4,19
26049049039,26,049,049039,785.1726315789474,648.3168421052632,14.98421052631579,2.9968421052631578,0,0.9989473684210526,778.18,632.3336842105263,8.990526315789474,3.9957894736842103,3.9957894736842103
26049049040,26,049,049040,640.6883048493686,606.1820291797263,20.35898574888494,1.4365744362986999,1.9993311036789299,0.05461361055740438,641.9230454052439,599.8017405947877,9.761580514358846,4.217116649587477,8.434233299174954
26049049041,26,049,049041,722.0008756567426,626.9264448336252,23.533274956217163,7.530647985989492,0,0.9413309982486865,708.822241681261,620.3371278458844,13.178633975481612,3.765323992994746,7.530647985989492
26049049042,26,049,049042,699.7057189285526,573.1380545508553,22.64271111810033,2.0357061732277963,0,1,668.1341930072863,586.0668693540214,15.178530866138981,2.0714123464555922,9.214237039366777
26049049043,26,049,049043,1196.6565883167557,724.1964981596662,20.823028000456745,0.9741919039076593,0.9417015633470321,3.7749288385282855,1181.7680601762866,720.1778917669333,10.456188218499236,0.9498241484871889,9.449505974030949
26049049044,26,049,049044,1286.2055632767053,782.2101372008486,19.21462369081112,4.0785566172299905,3.9846186966188277,0.023484480152790754,1254.422551624366,789.0481841590531,9.029974387812537,5.941701324699055,12.118247450926019
26049049045,26,049,049045,1153,684,22,3,1,3,1122,684,8,6,10
26049049046,26,049,049046,1169.205638605012,672.8850091274404,19.71222208028334,1.7819197779838165,0.1936327473672253,0.16009398187422963,1179.4142634170253,644.3343599479017,5.58318023190713,1.9369952209756713,7.29842432176369
26049049047,26,049,049047,929.0332773644519,604.1593155243364,14.546971711261568,4.1383528703818975,0.8224174523350172,0.8204769291668887,926.0931999067521,599.919739959631,4.272494677080127,0.0700872569549968,8.409483486114146
