GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRDAI,G20USSDBUL,G20HALRROS,G20HALDWIL,G20GOVRGIA,G20GOVDCOO,G20GOVLBIS,G20ATGRKNU,G20ATGDGRA,G20SOSRJAC,G20SOSDBEN,G20AUDRDOW,G20AUDDMOR,G20AUDLROO,G20SPIRARN,G20SPIDROM,G20SPILLEA
30053000003,30,053,000003,1757.4294640644405,498.18062921831404,56.98917343715219,1746.3979311638132,568.1931012187454,1753.3943097498357,562.1042687727505,1703.2017158134613,541.1141487074076,67.23241894583151,1785.3787280510246,507.05727197228777,1780.3989828920276,501.0249860584284,1706.1822668466848,482.02202069012935,90.2368638829938,1684.0471849075823,523.1565096814297,90.13732797029981
30053000004,30,053,000004,434.3786299624165,147.77551365020338,12.982030911604886,427.39088703731704,166.74750666662203,422.4015896739167,168.7428061325454,399.44004642424323,157.76158035447145,27.95398670884957,430.39012842775355,147.77669343611927,424.4012150215317,154.7622078767109,412.41499862035266,141.78515828341762,25.960915727434024,390.45516881068454,153.767048802905,31.94917369703594
30053000005,30,053,000005,152.4815042999262,50.807899699923496,3.990064806654066,158.39972270983776,49.86739583712937,158.39870967697348,46.90444661573923,143.5490159922442,56.750640957561444,6.9808739564639755,156.44618042669427,48.83805791853064,160.39613793813635,44.87570225890048,156.37436091990278,42.87619886510747,6.016439629453343,144.50599108744314,48.84193473514116,7.981538762076064
30053000006,30,053,000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30053000007,30,053,000007,311.86293172279284,139.33067148275563,16.887808547785184,292.05497377534084,172.08509536402013,300.9616645753028,165.15048204989995,289.05045364435006,148.29360943693354,31.736043024669474,315.89426978351105,148.21486342103117,315.85770913327065,151.21657119431114,303.87056454412635,135.3415187876994,27.856572280334408,294.9160636630809,147.2808532957601,21.884092668593265
30053000008,30,053,000008,676.7161878837255,246.051090285247,18.988167789572287,675.5270664670181,273.1216014389403,673.6361013014784,272.0611122614493,663.6074895940925,263.96836721929935,17.162907479786764,701.522215704807,236.2343242413094,688.6408947745518,247.15568036269028,651.8639406479157,236.1129405347696,45.84433909198083,636.9156266253718,256.0420490256133,34.89177793651296
30053000009,30,053,000009,880.807146413026,462.6841641783112,30.909915101661486,855.8831197675815,519.4779684394423,872.7902372733807,492.64658294987856,835.8903116541919,474.6847955199173,62.77969271734803,886.8054010531739,457.7199691557738,904.5734516015509,448.8627372801023,831.8983453296106,442.8273840881617,72.76166955945673,799.0934375677608,485.6225128147408,63.73955523137307
30053000010,30,053,000010,637.8706515809886,213.87246908289265,16.52647841144773,632.9992862245681,235.26678419843967,645.6300917671856,223.60744837206482,618.4231737458331,229.40648767478723,18.499341498238262,662.1469604662481,197.36880825490042,646.6129287124448,209.01128797704612,629.0729067271463,193.46528124960264,29.19742112076886,598.0060367235474,215.82473215760072,32.091960914849814
30053000011,30,053,000011,700.3573786444189,152.50602953508783,11.443456347982423,682.2514356450571,178.06247542850593,707.534658374054,153.8026651892951,677.8596630112537,157.92027211266364,27.479756606501823,712.9622932527626,141.12478122401245,707.583867423709,145.39908818129072,667.1380480280459,145.00101489048666,36.75118527333662,660.3647243637274,165.56033907434824,25.83666019381623
30053000012,30,053,000012,999.2342696558524,245.76167617613254,31.906016836255745,974.2783292566187,294.65292260401986,981.2914606175547,288.618190204444,941.3995208439562,266.69433793387464,55.860554516856865,1009.1957273340989,245.7460024561881,984.3387276323994,264.6437561895564,936.4334465388955,245.71477872474026,68.81667282753475,926.4119398136534,270.6789280169627,47.89808584580367
30053000013,30,053,000013,895.6331077934157,326.2521116955366,14.3146797582351,843.5062005382964,378.75266710105046,873.5722030719661,345.6119106903925,838.2953254667784,345.4425559925432,42.47661586235246,894.8452529699586,314.1632374400435,893.8448362259136,314.19833288011904,862.1708744988507,301.0870462391035,45.73787540369312,833.8941744889802,326.46525421625176,40.602959415735455
30053000014,30,053,000014,226.31853341608598,65.54246607594204,8.830979464554046,223.3646569130158,78.29091875902749,226.30166083511344,75.35746974275402,221.34638003842628,69.43862748845142,10.878562276039228,229.30574817933442,67.43188202163677,234.10461311975885,65.5020356330384,220.3086077181163,65.38474136976426,10.97053003893165,219.23125401628218,68.44791800523495,10.928330957577364
30055000004,30,055,000004,373.86370345152653,60.043894621616346,9.677782704726127,369.0260368595257,71.64988530511458,363.22181675741433,74.55689439761898,356.4510431451926,61.01289765245115,16.448556316947858,373.8661529722509,62.94110563122325,377.7225689297951,51.33756446844939,355.46244394856285,58.09119143560051,12.597039400852397,345.8018078889073,74.53484871109961,14.532595941797622
30055000008,30,055,000008,337.96242287937633,51.870526406111296,5.409413670208576,335.65866634698614,55.57712941277901,333.2501131797526,58.799239913926414,330.9383903773355,53.229746664786774,7.829303437494787,338.91516449093916,51.147209876765494,334.42559002028923,49.001959724486795,321.8381925644951,43.97025932612831,13.800897476772684,323.0633090967819,49.84734952310208,14.894874700446527
30055000027,30,055,000027,250.372370984066,57.39649722314921,2.3540920555009155,246.86740849663545,65.31748146822221,241.6002279841714,68.31561464337265,239.35112049408343,65.03031746315311,7.690069843525023,249.65633277767503,61.46596110803034,233.27662186044057,68.1984873779356,236.4653204046098,61.15948457781274,10.587715821458675,226.22422030059334,68.39023801168199,11.734374413123875
30057000005,30,057,000005,859.1204394702107,268.4260101644988,20.01137536796787,837.0850162770594,322.4439412804814,850.0454110051362,301.465031677919,807.1096587498657,307.43025738912837,41.97390122091713,846.1390955990449,300.3552025588347,855.2013542157998,285.3084076330174,811.1197103004356,270.2764294725754,55.101581122762155,781.1844281541465,306.391835030203,42.938549913476884
30057000007,30,057,000007,665.8023649846496,197.27538041639622,12.040843499387378,644.8036198322379,232.35032840079873,650.8286448600281,219.3222742293065,638.7075477594582,214.35720576319184,20.096267979580343,665.7492418941619,199.40003844007157,678.7334730752561,186.3918825284856,637.7056828852177,180.35828628893447,49.03734341023329,618.6789252401242,220.34226368375465,22.087577608033072
