GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16HALRZIN,G16HALDJUN,G16HALLBRE,G16GOVRGIA,G16GOVDBUL,G16GOVLDUN,G16ATGRFOX,G16ATGDJEN,G16SOSRSTA,G16SOSDLIN,G16SOSLROO,G16AUDRROS,G16AUDDLAS,G16SPIRARN,G16SPIDROM
30001000001,30,001,000001,202.08302103031343,174.20950088820123,47.78317738647806,14.932242933274392,0.9954828622182929,228.96105831020733,204.07398675475002,21.90062296880244,175.20498375041953,265.7939242122842,14.932242933274392,273.7577871100305,158.28177509270856,227.96557544798907,192.1281924081305,22.896105831020737,207.0604353414049,227.96557544798907,195.1146409947854,234.9339554835171
30001000002,30,001,000002,550.7816069831283,127.11574036551403,35.007406372006386,15.989639806025757,4.004449550154984,545.7452475676124,178.14050981783188,27.009582528751768,481.7380496527437,249.13721811221978,23.014397491123574,599.7639072415128,124.16165944247882,539.7621696440054,161.13886479571892,31.999689644928324,475.7759574089113,244.12387945143158,510.71757168931856,212.1784012574439
30001000003,30,001,000003,512.7081320234206,160.81295017612229,32.65576753984697,5.158694020519914,0.03632854305631819,537.9029568943193,189.5004313922003,17.307806893106342,474.5759052837429,256.8396439272498,15.354695495029814,593.9857239986384,127.38697029024186,529.7494186397356,187.45512886204259,18.329506366686708,448.0035526530426,261.34008754541225,474.16365172613314,240.2068715168243
30001000004,30,001,000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30001000005,30,001,000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30001000006,30,001,000006,294.757508381571,117.35715611488475,31.841088868379583,9.097453962394166,1.8194907924788333,296.5769991740498,157.38595354941907,16.3754171323095,241.08253000344544,213.79016811626292,20.924144113506582,350.2519775521754,109.16944754872999,285.66005441917684,162.8444259268556,18.194907924788332,249.27023856960014,202.8732233613899,260.18718332447315,204.69271415386876
30001000007,30,001,000007,251.90322580645162,48.32258064516129,14.258064516129032,4.64516129032258,2.129032258064516,259.0322580645161,64.16129032258064,7.161290322580645,216.09677419354838,108.16129032258064,7.483870967741936,278.83870967741933,43.74193548387097,233.25806451612902,86.54838709677419,11.29032258064516,209.67741935483872,110.38709677419355,214.4516129032258,110.51612903225806
30001000008,30,001,000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30001000009,30,001,000009,300,87,19,4,1,308,95,16,248,159,12,345,67,292,105,18,249,155,265,135
30001000012,30,001,000012,268.6833837471644,156.23441203075853,20.89759651366834,1.9902472870160324,1.9902472870160324,282.6151147562766,184.09787404898302,7.9609891480641295,208.9759651366834,254.75165273805214,10.946360078588178,351.2786461583297,108.46847714237377,275.6492492517205,183.10275040547498,6.965865504556113,226.8881907198277,233.8540562243838,244.80041630297197,209.97108878019142
