GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRMCS,G18USSDSIN,G18USSGGRE,G18USSOWRI,G18GOVRDUC,G18GOVDGAR,G18GOVGTOR,G18GOVOWRI,G18SOSRGAY,G18SOSDHOB,G18SOSOWRI,G18ATGRBRN,G18ATGDCON,G18ATGOWRI,G18TRERYEE,G18TREDMAN,G18TREOWRI,G18SPIRRIG,G18SPIDHOF,G18SPIOWRI,G18MNIRHAR,G18MNIDPIE,G18MNIOWRI
04001000080,04,001,000080,57.020779166654336,482.1327065155268,25.006964694202882,2.8589532115430165e-4,77.02806141557969,464.127484857787,22.00648998485421,0,59.02021373691141,505.14173266815925,0,59.022095489040524,493.13809877184,3.191713615926279e-4,68.0253076390492,491.1364904561778,0,53.01887859477159,505.14285656244624,1.0000296619687346,53.02134572658581,504.1403264926229,0.9999963859282963
04001000085,04,001,000085,54.93882329987836,345.61468802813675,22.97436355941395,0,86.90323672867301,315.64803728943554,16.981063580418585,3.969571694624027e-6,63.92877128358556,361.5968517388407,5.292762259498704e-6,68.92323887558511,345.6146602411349,0.9988879609995377,71.91987629477242,348.6113241241335,2.646381129749352e-6,48.94550479621509,369.58793954855025,0.9988866378089728,62.92990184725393,353.60576128275005,2.646381129749352e-6
04001000090,04,001,000090,54.77840451248993,665.3086220789686,34.85898468976632,1.991941982272361,88.64141821112007,625.4697824335213,40.8348106365834,0,52.78646253021757,695.187751813054,2.9879129734085415,76.6897663174859,667.300564061241,1.991941982272361,95.61321514907333,655.3489121676068,0.9959709911361805,56.770346494762286,692.1998388396455,0.9959709911361805,68.72199838839646,678.2562449637389,0.9959709911361805
04001000095,04,001,000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04001000100,04,001,000100,17.23950931961549,60.78743313821024,4.118449780682935,0.02701812191103789,24.89208543998182,53.249007531356476,2.2882024219759445,0,17.639712621518818,63.61571630077562,0.013509060955518945,15.937124837279912,65.22745617586943,0,20.790860237797958,61.32751387879967,0,13.524978358379434,65.6178659343608,0.013509060955518945,16.390073186267813,63.437736000029005,0.06382978723404255
04001000105,04,001,000105,65.99988444227662,619.9989144577502,23.999957979009682,0,75.99986693353067,597.9989529769913,30.999945722887507,0.9999982491254035,56.999900200148,650.9988601806376,0,65.99988444227662,634.9988881946311,0.9999982491254035,78.999861680906875,618.9989162086248,0,61.99989144577501,644.9988706858852,0,66.99988269140204,638.9988811911328,0
04001000110,04,001,000110,7,57,5,0,9,53,4,1,4,61,2,9,56,1,12,53,1,10,55,1,9,56,1
04001000115,04,001,000115,58.80915287999951,402.81814459206726,13.253585225977123,1,74.9434283301195,379.6652370411065,11.27966944433983,4.011183597390494,43.68241267105065,431.1723749664154,2.0074557315936628,55.87998955828271,410.9710268445261,1.0149114631873253,54.984402327239316,410.8368164476967,1.0223671947809878,35.7383089735729,435.1388241742439,2.003731479868535,42.78304336313487,427.08290257321977,1.0186429430558603
04001000120,04,001,000120,175.70091743119266,77.42752293577982,5.955963302752294,0,203.4954128440367,49.633027522935784,5.955963302752294,0,191.58348623853212,66.50825688073395,0,194.56146788990827,63.530275229357805,0,198.53211009174314,57.57431192660551,0,189.5981651376147,65.51559633027523,0,194.56146788990827,60.55229357798166,0
04001000125,04,001,000125,32.36807412928908,216.21874642152306,5.117463177682493,0.013050752684847906,52.45943420072216,189.1326124143309,9.12529266876557,0.005219660722053067,30.404603749944876,218.31011609823443,1.00783269284251,37.428113034630414,206.26572496890128,1.0078310919627949,41.44638985155618,205.25266621181785,0.013050752684847906,28.386328533898826,218.3257750804006,1.0026114312407417,40.41244124542653,206.2918312769101,0.005219660722053067
