GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PREIDeL,G16PRELJoh,G16PRESKen,G16PREISmi,G16PREGSte,G16PREOth
47001000001,47,001,000001,1070.2733190573142,201.64268995184233,1.7744716897781718,28.254316658153716,0.8725325900715467,6.127332470257546,4.43127813950625,3.490130360286187
47001000002,47,001,000002,242.2275204359673,41.86648501362398,2.9904632152588557,4.98410535876476,0,0.9968210717529519,0,0
47001000003,47,001,000003,1386.2495531586737,425.9007498694381,2.9660127975245305,75.69731568777807,1.9982194699818463,12.94789970315498,6.083388978465867,9.031594319117833
47001000004,47,001,000004,1333.271242069914,392.45481501067894,2.035680154045103,53.79757347011325,0.02390011195523708,8.131772682411839,5.07336643428899,8.087109158215355
47001000005,47,001,000005,1342.1712765110283,559.6940739017008,5.026137315342223,47.66214532200297,2.017424876894815,19.1132616998163,8.052274630684446,4.078411946026668
47001000006,47,001,000006,788.8385217192051,280.2446724933713,1.9848440210808864,33.06823463943173,3.9741399063799143,6.998150512291728,7.015957969164293,8.991898261808897
47001000007,47,001,000007,470.25648325074604,91.8838312111695,1.0468259645057532,9.817001547587788,0.037673130193905814,1.1598453550874706,3.0462950680324945,0.037673130193905814
47001000008,47,001,000008,278.7647058823529,75.73529411764706,0.0196078431372549,11.323529411764705,0.0392156862745098,2.068627450980392,0.06862745098039216,1.088235294117647
47001000009,47,001,000009,1015.0116861435725,877.5826377295492,0.9816360601001669,86.38397328881469,2.9449081803005006,14.724540901502504,18.651085141903174,17.669449081803005
47001000010,47,001,000010,543,117,1,12,0,6,1,2
47001000011,47,001,000011,1141.776424057882,315.9960435311715,3.080643905653709,48.38786608442771,1.9380036760107662,8.861780531560212,4.287743878584625,1.9616926818824
47001000012,47,001,000012,756.9792333023149,603.2023248332994,3.968436347587496,74.40818151726555,4.96054543448437,5.952654521381245,21.82639991173123,8.928981782071867
47001000013,47,001,000013,853.9077303495268,789.4727015871163,2.9976228228731787,77.43646192876678,2.0213310050875495,10.050506794107033,10.109843945020168,12.083067445460726
47001000014,47,001,000014,299,278,2,28,1,3,4,7
47001000015,47,001,000015,302.96086052994303,90.98750853661726,3.999393886633,13.997948401615899,1.9996969433165,3.999431958487763,2.999561278247568,2.5381236508841493e-5
47001000016,47,001,000016,1214.6489704327323,249.4529620466033,1.9989620109967536,18.09196381832612,1.0019740802906205,7.979033183277788,3.987178217842964,3.9767418156850476
47001000017,47,001,000017,505,111,3,13,1,1,0,3
47001000018,47,001,000018,540.422556847745,369.71166612909605,3.055838086229541,35.822527469933696,0.1274674099284533,2.759540713747596,7.172778004511747,0.5098696397138132
47001000019,47,001,000019,837.7154609222766,252.24785588327896,2.055164518867424,31.147266277707246,3.0619795817048026,11.241103263981833,10.105521771290038,2.085723873942246
47001000020,47,001,000020,917.796922590326,268.4691554157785,5.040379184041661,40.259978690012936,1.01134377702531,9.051180232906052,10.056445890547375,5.062418073097122
47001000021,47,001,000021,322.1807973048849,518.0746771476698,0,32.81471083660865,1.9887703537338575,0,6.960696238068501,3.977540707467715
47001000022,47,001,000022,754.0207666976851,610.7976751667005,5.031563652412504,84.59181848273444,2.0394545655156295,8.047345478618755,22.17360008826877,4.071018217928134
47001000023,47,001,000023,493.223160774585,431.54107573238366,6.960378678785168,45.740021309987064,1.98865622297469,8.949198698507363,9.943554109452625,10.937581926902878
47001000024,47,001,000024,53.75239619912175,27.12328383821384,2.008778921914316,0.01589464123524069,0,1.0027999968336339,0,0
47001000025,47,001,000025,658.0567895714753,172.81658578522217,0.976349042689685,29.289876232083415,1.9523580576038648,6.833933257164537,1.9527830923232463,2.9292171419568076
47001000026,47,001,000026,689.9388269161569,535.1687657430731,1.8646995322058295,65.26448362720403,1.8646995322058295,3.729399064411659,12.120546959337892,11.188197193234977
47001000027,47,001,000027,350,286,6,28,2,3,7,10
47003000101,47,003,000101,987.2344451494765,237.45566181415998,2.029931103105861,27.28503061366389,0.9982413820564633,2.0246593444400243,4.108710628863755,0.01893939393939394
47003000102,47,003,000102,790.7580809799251,212.13031643416127,0.9959169785641374,41.82851309969377,1.9918339571282748,2.9877509356924126,7.967335828513099,0
47003000103,47,003,000103,1594.7069430208912,303.80365487370455,2.9965357762771374,30.843563715860167,2.2003429500832214e-5,9.84172173254194,7.026490093570478,1.9632850114108784
47003000104,47,003,000104,1451.952953234542,285.0584309797272,0.9928049566159931,31.532591441796875,1.968041974719771,1.9812179286039324,8.869364840123131,4.9223009291134545
47003000105,47,003,000105,1602.047046765458,311.94156902027277,4.007195043384007,20.467408558203125,0.03195802528022895,6.018782071396068,6.130635159876869,1.0776990708865455
47003000106,47,003,000106,1315.830953336424,272.1902076535022,1.0200798466443424,32.01981030126697,0.9961281239000352,5.988744604772365,5.0285440649887905,0
47003000107,47,003,000107,664.4226877487956,146.85977069268748,0.01789264728797585,17.139665319784463,0.0014480278021338007,3.0065290109243397,4.005637187740728,4.981060606060606
47003000108,47,003,000108,479.2582445649365,362.6015171139634,3.8638774651856145,23.335051780575395,0.005697526487915508,1.9596238275004412,7.7503244609988275,0
47003000109,47,003,000109,835.7793102638029,444.2513867057231,0.9988310396816528,33.94606525211997,0.9984849397534522,3.9932475591574077,7.986495118314815,0
47003000110,47,003,000110,741.8424945792777,422.8991324455524,1.9699858758005053,15.888832285484673,0,1.1415693482124458,5.873116119092765,0.03684150830875134
47003000111,47,003,000111,1025.4388714733543,396.0206896551724,6.117868338557994,31.707210031347962,1,8.058934169278997,10.235736677115987,0
