GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PREOFUE,G16USSRPAU,G16USSDGRA
2100100A102,21,001,00A102,209.17280510088293,10.115487182304527,0.950973187572318,2.709078778970716,1.8252312904799757,0,174.64684075109272,39.26165151648564
2100100A104,21,001,00A104,378.0229653426155,29.625552196784554,5.921293830892038,2.948720013993291,3.9332169388514187,0,318.96269137229,86.70729079623159
2100100A105,21,001,00A105,274.7352823326053,29.737907263953687,1.9468490637585962,0.05864939510351142,1.8335705593256713,0.858408817662266,251.97086742693224,51.72609833046792
2100100B102,21,001,00B102,385.2630073276284,135.37893667344568,12.692978007170169,5.095151433785323,8.538957756330252,0.838501291989664,378.8675200925525,147.75939157977436
2100100B104,21,001,00B104,428.90971446322806,52.988582199447244,8.903882826789987,1.2970600085429453,1.1983690744894495,0,373.10592137477136,101.33895478855032
2100100C102,21,001,00C102,369.2192739040985,96.60459107772142,14.03859091985456,1.0385909198545595,14.02572727990304,0,339.55036462661946,148.19631851549136
2100100C104,21,001,00C104,504.65715064994976,101.8615129656592,9.643450547897954,5.238525813074099,12.350275046084725,0.050387596899224806,463.8121882459207,151.941322525975
2100100D101,21,001,00D101,342.58805913898186,46.932938829843536,0.9974368476511731,0.003581237882515589,0.9902137632956954,0,314.23757052755644,66.51660738541474
2100100D103,21,001,00D103,323.78771364057616,46.39636448394348,2.9614289876801263,2.9614090801454407,1.974292627631646,0,272.4560455995493,91.80503519686728
2100100D104,21,001,00D104,296.24296799334957,111.65531776890948,5.069270251877451,3.0075660616457673,1.0733472069667205,0,256.1350046527642,154.78501220842426
2100100E101,21,001,00E101,470.4832685962716,48.62390159439142,6.347126270641824,0.08612445219422477,3.31220043597724,0,403.02914756679473,102.08493486024643
2100100E104,21,001,00E104,496.91868418849003,162.22961305174567,13.082315280404009,3.2826712130909397,10.774370585221591,0.10103757429233404,459.48147468460616,204.79426219881722
2100100F101,21,001,00F101,495.5524675282436,110.69647571529406,9.584416337021633,3.1268659206543723,4.776260371651306,0.0016465166961274133,429.15537869656157,178.52233547849949
2100100F103,21,001,00F103,508.0299219593853,92.58062574250245,13.935709287112685,1.6069198457811833,3.184354870552331,0.1372411833036209,436.33597711029415,158.51748434008118
2100100G101,21,001,00G101,552.2782925795761,124.53504862135962,15.7734507776339,0.5113364075973228,12.22751861862061,1.0127770191567627,484.2750334727811,191.0798962073649
2100100G102,21,001,00G102,600.0227881706686,122.66449841510172,19.12157818624263,2.014074204008575,9.973357005332199,0,540.0376418159904,196.40861514635256
2100300A101,21,003,00A101,434,164,14,8,3,0,418,191
2100300A102,21,003,00A102,493.9281401448348,84.7515074418259,20.96005022754834,3.645226126530146,1.822613063265073,0,452.91934622137063,136.69597974488047
2100300B101,21,003,00B101,583.3204925165182,114.33270638555696,9.141780299533657,0.08911498398409731,8.015193284776768,3.0075966423883838,530.6202100235765,173.96666382167967
2100300B102,21,003,00B102,490.48099169133195,72.49642391492064,8.936439540134042,3.9734608877500617,1.9848067152232327,0.9924033576116164,450.75888705006804,111.22227774126937
2100300B103,21,003,00B103,247.21034136495103,53.545592537659864,5.2617653783663,3.996551992271754,0.029563932002956393,0,219.9675400290901,77.0283533372727
2100300C101,21,003,00C101,561.6281834309049,144.85753550325376,21.22970496782028,3.684117566232557,7.397693668134283,0.9191882330788161,525.6215027116092,195.61909807227283
2100300C102,21,003,00C102,787.1612902533057,158.3249206370971,25.475558190074455,2.2913210302586715,12.454937910813085,0.08081176692118394,741.6960411480399,217.87563876983242
2100300D101,21,003,00D101,672.6280958171662,142.9045519385922,12.923103247133167,6.886824431631655,9.47576438833684,0,636.4261294960792,204.07272931546171
2100300D102,21,003,00D102,343.4631956912029,62.10125673249551,7.015798922800718,0.001436265709156194,4.00359066427289,7.18132854578097e-4,307.3870736086176,102.2032315978456
2100300D103,21,003,00D103,570.7856703261587,121.46973992133167,4.42285038305964,1.0550433753256085,3.0787596164023197,0.0118491921005386,511.1159588259594,172.67237320066877
2100300E101,21,003,00E101,249.9736842105263,45.38947368421052,3.063157894736842,0.005263157894736842,1.031578947368421,0,234.86052631578946,59.536842105263155
2100300E102,21,003,00E102,529.9035087719299,111.00382775119617,15.746730462519936,8.746570972886762,3.0248803827751196,0.9696969696969697,490.70071770334926,168.75629984051037
2100300E103,21,003,00E103,349.3764829374125,43.14123560719535,9.002720928691009,2.0069484621412395,6.003173340600891,0,315.3861415661919,85.15529266256027
2100500A101,21,005,00A101,455.8115456871015,238.3633461923484,23.034811611242958,6.010878628513425,15.015230079918794,0,398.72886811039945,334.51347126583363
2100500A102,21,005,00A102,594,163,27,4,10,3,492,297
2100500B101,21,005,00B101,548,213,21,4,6,0,446,346
