GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
23001019105,23,001,019105,1392.8570826025673,1341.781258675045,64.52987443376838,27.221521105241074,6.9975892789894445,1056.5720477947903,1583.340551867354,165.08941133431605,40.27551835074619
23001020601,23,001,020601,1912.5534246575344,1368.9123287671232,70.88219178082191,31.643835616438356,3.797260273972603,1570.1671232876713,1601.1780821917807,143.03013698630136,56.326027397260276
23001020602,23,001,020602,1083.4485589239737,776.7548473938476,40.13684048899788,17.93397227054985,2.184589481706721,889.318477320919,908.4211860334243,81.12943043022882,31.982059865008598
23001020603,23,001,020603,900.2021038925574,847.7955068762001,30.67842230003159,16.153093912949153,7.029133692550762,711.9929276237756,971.4651797604753,83.56122684122728,37.99972355306731
23001020604,23,001,020604,1290.3834552573187,1208.1473250321349,44.53079115406087,23.630921670411404,9.766808631139776,1021.1029259984447,1384.376298139442,121.07275608014797,55.20118241140295
23001020605,23,001,020605,1337.11191308851,1205.5558430093085,59.7233816716084,35.14612509947225,3.224498145179911,1059.5605197016584,1375.8772904750701,152.05645868881805,70.59328012014215
23001029255,23,001,029255,924,1667,33,27,4,691,1834,93,38
23001038565,23,001,038565,510,820,27,9,3,397,898,53,22
23001040035,23,001,040035,2301.3071046600458,2913.081741787624,130.3231474407945,62.39572192513369,14.177234530175706,1833.3873185637892,3208.2826585179528,262.68754774637125,124.90527119938885
23001040665,23,001,040665,568.0273248126928,770.123402379903,24.526223005729396,9.810489202291759,2.9431467606875277,445.3962097840458,868.2282944028207,32.374614367562806,13.734684883208462
23001040770,23,001,040770,553.4001762891141,821.0330542089026,22.319524019391803,20.12780960775672,2.0383428823270164,469.8025561921551,852.3111502864698,66.42177170559718,31.17893345085941
23001044585,23,001,044585,668.0753792013134,1008.1461957090429,41.51837280804646,22.0392912000496,2.0307565562154415,520.2100881742633,1079.73368142609,83.45406205756011,52.80581939037833
23001046160,23,001,046160,669.2072016993648,1013.094875580733,36.86089152284063,13.862839437056586,2.078771760330556,510.746966101176,1144.07548588242,60.29319259805528,26.014996339184098
23001060020,23,001,060020,1520.5752494306844,1907.8403256578385,59.19078929210205,28.886539787752884,10.810312189435027,1161.5314649050915,2162.41398682321,135.26168250924093,53.7856740270717
23001064570,23,001,064570,1039.1557922769641,1759.1067909454061,52.703595206391476,25.854593874833554,1.988814913448735,839.2798934753662,1878.4356857523303,102.42396804260986,66.62529960053263
23001077800,23,001,077800,1302,2057,56,32,2,1015,2255,112,61
23001079585,23,001,079585,283.84420772303594,626.8932090545939,15.296404793608522,6.145406125166445,3.011185086551265,199.72010652463382,694.5643142476698,21.576031957390146,16.374700399467375
23001387401,23,001,387401,1228.6832945738804,574.1001610164828,27.739267164391034,33.930113411314224,2.075363051405022,1073.6852374381667,662.8756416031263,81.25761061051064,29.510064005750394
23001387402,23,001,387402,1496,1489,61,28,5,1160,1743,91,70
23001387403,23,001,387403,1777.0546049694985,818.6162773396816,39.43698854337152,49.595000743936914,2.987650647225115,1555.370926945395,944.6951346525815,117.11590537122451,42.424639190596636
23001387404,23,001,387404,1384,1148,60,28,0,1105,1347,129,31
23001387405,23,001,387405,755.3962118283727,471.5229996134519,18.059528411287204,12.698105914186316,3.6683417085427137,649.860842674913,540.0927715500579,52.203324313877076,20.59914959412447
