GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
23001019105,23,001,019105,944.6972551888873,1145.7563315723216,114.65478701083507,0.00718105423987777,174.28532962480767,927.1502340244676,1138.603308083797,3.96579476861167
23001020601,23,001,020601,896.1291696238467,811.5330021291696,150.50248403122782,6.885734563520227,200.66997870830374,727.9205110007098,963.0191625266147,0
23001020602,23,001,020602,1225.975088177597,833.6214388199994,148.13929831108527,2.0259446141412005,221.60630136562688,771.3924667149837,1223.3078387391774,0
23001020603,23,001,020603,829.8168520827178,931.3013419419708,118.90129766057643,0.9776566763807407,136.4262455681398,771.9578781453681,993.1292403986755,0.014574453457995325
23001020604,23,001,020604,744.8694336508782,759.5698003806959,131.2404546263209,1.0511799376871143,134.24300692676735,699.7325599011882,817.2873180872558,0
23001020605,23,001,020605,898.7216052105838,896.4120595447248,152.4380058280479,1.9426022846272322,175.38295581261596,839.9307482684246,956.632064417896,0
23001029255,23,001,029255,624,1250,152,0,114,1048,869,0
23001038565,23,001,038565,374,566,85,0,77,488,468,0
23001040035,23,001,040035,1609.7601222307105,2103.7165775401068,334.0863254392666,0.02215431627196333,323.52941176470586,1781.0954927425514,2000.6470588235295,0
23001040665,23,001,040665,429.69942706037904,570.9704715733803,83.38915821947995,0.9810489202291759,75.54076685764655,477.7708241516086,502.29704715733806,0
23001040770,23,001,040770,500.5980608197444,474.43851917144116,93.08638166593212,0.012780960775672102,117.98413397972675,416.2243278977523,546.5438519171441,3
23001044585,23,001,044585,459.77946565884736,687.3368218414759,130.35450610324227,0.9779994133176885,75.5179301566485,651.3311036517657,567.6589173342422,0
23001046160,23,001,046160,440.93458300849005,804.5617577866612,85.51003070251583,0.040012411238890655,58.731125795631456,685.2494826980735,597.8615323113326,0.03602364911315826
23001060020,23,001,060020,1078.372023104971,1430.6806861493963,202.64886894152636,0.9747009487144233,209.20605198117252,1268.1719229310627,1254.304931902617,1.9494018974288465
23001064570,23,001,064570,728.9006657789614,1192.2945406125166,146.17789613848203,0,146.17789613848203,1045.1222370173102,914.8548601864181,0
23001077800,23,001,077800,897,1528,212,0,139,1317,1189,0
23001079585,23,001,079585,198.09933422103862,463.70545938748336,48.822103861517974,1,25.822103861517977,413.8777629826898,279.14513981358186,0
23001387401,23,001,387401,1396.8708303761532,576.4669978708304,128.49751596877218,2.114265436479773,467.33002129169626,501.0794889992903,1115.9808374733855,1
23001387402,23,001,387402,1103,1299,180,2,204,1050,1343,1
23001387403,23,001,387403,1193,295,113,2,454,266,884,0
23001387404,23,001,387404,872,882,168,2,162,740,1059,0
23001387405,23,001,387405,757,298,90,1,298,255,556,0
23001387406,23,001,387406,946.4596478369542,1299.3967767739978,155.4174177495147,2.005386035477609,187.48081889412825,1111.263436991189,1147.593833715825,0.9998460898602807
23001387407,23,001,387407,851.0713012689604,870.1193167610778,133.35012007717032,2.004517678415101,194.40556349926928,736.9704006979442,939.2243230929782,1.5391013971928887e-4
23003NA,23,003,NA,10420,14508,2242,2,1837,10783,14818,3
23005002655,23,005,002655,249,492,36,0,65,403,311,0
23005007170,23,005,007170,1140.2693955259401,1200.025781373949,183.18760907504364,0,245.88283357131525,1028.5935268919561,1249.006425511661,0
23005010180,23,005,010180,3278.8242865137104,1253.011751538892,159.5193060996083,0,461.20089535534413,929.840514829323,3304.446558477896,0
